Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_commit_addr,'',eps_set_heater,'310978097299811668870144393309522391578 1282699968',obc_set_pwm_freq,'232515872290251928499632052149086395163 1224987896',gssb_pwr,'1067377007757772108 8373192575582488920',obc_update_tle,'',gssb_arm_auto,'18427128979332182029',gssb_arm_auto,'8051192398776697212',com_get_config,'9593124303748400652',rw_get_current,'',gssb_fss_set_config,'>',0,7.318814992904663,444020.0,10688.0
gssb_msp_get_temp,'',obc_get_tle,'',gssb_update_status,'',drp_clear_gnd_wdt,'',com_send_cmd,'1569860741 1361964325',tm_send_all,'-5612789076296730165 -137188508517992356121297654398425690434',gssb_burn,'',gssb_fss_commit_config,'',obc_set_pwm_duty,'1100110266700299339 -294372329',gssb_get_model,'',0,7.56954026222229,444020.0,10668.0
set_state,'u\>? -94000842155015945264888965406948326289 4041156337336403670',gssb_arm_auto,'|rh@Kc/.d',gssb_select,'2850163086306297850',fp_set_cmd,'gUE 251798633087691338451818303602049852194 -7128705715641761687 25082236987970258182697725839317160155 D{C=?$ -36216751 -4706740070919018197 -2115132841 -4773425655109841167 16498537309185562167',fp_test_params,'5134797808041774500 -6313815157784038871 28886777046379617057192454301307586461',com_set_config,"'6L,q)TO/XY 9476524147935977774233737811130673576'",gssb_pwr,'784722564 1990368295013935590',com_debug,'',gssb_get_temp,'',com_debug,'',0,7.293436765670776,444020.0,10948.0
gssb_msp_get_temp,'',obc_update_tle,'',fp_reset,'',gssb_set_burn_config,'-11304382103223273019655170918597418105 1212799164590973932 303423741823774733 857725155 -97279801 +dk 2SL%h]',obc_set_tle,'882891065 i',com_send_cmd,'89286924644339675734567243915672830011 -7962657542743526628',obc_update_tle,'',com_set_config,'1492625999 7480612193615344139',gssb_commit_addr,'',eps_get_hk,'',0,7.8352885246276855,444020.0,10716.0
eps_get_hk,'',gssb_fss_get_sun,'',fp_reset,'',eps_set_heater,'-903690710 158117029304547807617561527347909785760',gssb_antenna_release,'-1230411861659781432 6!FT~J(6 181082279945088847959113696057732477906 9037057312488044345',gssb_get_uuid,'',obc_get_time,'-2801895518765298726',com_set_config,'11368053202764638972 -1884797168098865222084226941687483766',com_get_config,'-278492830282317599578380783384906489361',drp_add_hrs_alive,'',0,7.283608436584473,444020.0,10668.0
com_debug,'',gssb_commit_addr,'',gssb_msp_cal_temp,'117508436540396555248540734144058584449 -182518907236321288408199507136108356543',obc_debug,'7396707486516473923',com_send_cmd,''\S'mV)Cm 3309340887126643008',obc_prop_tle,'-8423158607718691268',gssb_fss_get_sun,'',rw_get_current,'',fp_set_cmd_unix,'841606708 168180845763471586051762659049807085790 319153715326077998427822362261714766218 11935429077875852949 4256206027387860357',com_set_config,'189891925680935823649283467068150073052 4137888778737789260',0,7.253891468048096,444020.0,10800.0
obc_set_pwm_duty,'-209167710451337025067612516873947513922 -20451922113092780204160610977014903792',eps_update_status,'',rw_set_speed,'7717307899963730800 6069423972242096555',fp_set_cmd_unix,'XRgm_?] 281306665158769130063090996492001998988 13005909990084818168398933576056816904 z=frUL28* -572449929',tm_send_status,'1510122010498116636',obc_get_mem,'',tm_parse_status,'',gssb_get_uuid,'',tm_send_status,"',Ug}9'",obc_reset_wdt,'',-6,6.682056903839111,444020.0,10668.0
obc_pwm_pwr,'11836719725795920426',obc_update_status,'',tm_set_ack,"'""F 3262235138193018397'",drp_ebf,'673586030',gssb_commit_addr,'',obc_get_mem,'',set_state,'8471832001683164322 -5152331792570975241 17264330259151810229',com_send_tc,'574771095488019104 -5330011622627842703',gssb_arm_auto,'B^',gssb_fss_set_config,'-787510434',-6,7.721281290054321,444020.0,10960.0
gssb_commit_addr,'',gssb_set_burn_config,'-235686471687089695 -128577751909605099188312426122600538913 -122944416137456361093807779403738781344 308352026 -8789861312535649125 -5482073067721932970 4291433193356469411',gssb_get_model,'',gssb_arm_manual,'-8592642636730806275',obc_update_tle,'',drp_set_var,'y!&77z 725464268164168738',tm_send_last,'-183304725673959593393056314243212672422 -6387601767142833998',eps_update_status,'',gssb_get_status,'',tm_set_ack,'16260152998214365940 -5990853743168003835',0,7.326055288314819,444020.0,10940.0
obc_set_tle,'-7185957993844592027 450716819',gssb_reset,'',gssb_get_uuid,'',fp_show,'',drp_clear_gnd_wdt,'',obc_set_tle,'64756527520370494 92532448579360082501240191751381655215',test,'-8639364347787916398',tm_send_status,'4TFi',gssb_set_addr,'2256225090348993533',set_state,'-72167273545757022137687206124550784877 o_S(g 5981731127828442935',-6,6.907597541809082,444020.0,10616.0
gssb_set_addr,'8929775671124840056',gssb_unlock_config,'9667239824009241476',gssb_antenna_release,'11888792446764812333 -302715943949461083833143875180093282319 1715627123 135801852367902952935794320373272242065',eps_get_hk,'',gssb_get_burn_config,'',tm_get_last,'[3',drp_get_vars,'',drp_set_var,'5016808049806027160 -79473368224480115635920618281549092038',gssb_unlock_config,'259221380109860892',gssb_pwr,'-258478545821180393372680672830513138165 \U]zdd!',0,7.575170278549194,444020.0,10680.0
com_get_config,'s#J<%}/3.',init_dummy_sensor,'',obc_get_mem,'',gssb_pwr,'10988255886052930250 152777192282277165809723785213420520571',com_send_data,'2110595825033197241',gssb_get_model,'',gssb_arm_auto,'-940957164',obc_set_pwm_duty,'14457753968373637575 8336109553189084084',gssb_get_sun,'',drp_set_var,'-518304642805998605 522695904',0,7.367687940597534,444020.0,10972.0
gssb_msp_cal_temp,'2314082989115362702 -749519935',eps_get_config,'',obc_get_tle,'',obc_get_tle,'',obc_get_sensors,'',fp_del_cmd_unix,'107619608681427046883229595248839166421',obc_get_mem,'',com_get_config,'1916428522',gssb_get_status,'',com_update_status,'',-6,6.7701637744903564,444020.0,10952.0
drp_clear_gnd_wdt,'',gssb_get_temp_int,'',gssb_set_burn_config,'-4980826744502621794 -8430152596155137055  918639309 262071527175015729102948877501058252827 245848555005221438130022947560882957452 ;W4kW^',gssb_scan,'-5332770783844796978 e;P?RDZ',obc_get_mem,'',obc_set_pwm_freq,'2245503516704035151 g&{',init_dummy_sensor,'',com_debug,'',tm_get_last,'-837550734',obc_debug,'e~35IO',0,7.301521301269531,444020.0,10656.0
gssb_commit_addr,'',tm_send_status,'-1080963420124662791',obc_get_time,'VN)?b',gssb_scan,'17974453592506790533 102149545990911604027968497851145033104',com_ping,'157267113',com_debug,'',tm_get_last,'qo/WqXb/Z',eps_get_hk,'',rw_set_speed,'188283133853247246740048717013720918500 p~*^5U`+]g',gssb_antenna_release,'6096609163203094682 7999361831731508732 +|Rr 1697737756',-6,6.394262790679932,444020.0,10620.0
drp_ebf,'-112650108535092539580554845638200480394',eps_update_status,'',gssb_get_temp,'',tm_send_status,'9154040127963319775',eps_get_hk,'',rw_get_current,'',com_send_data,'%pg',fp_del_cmd,'8600442004316303349 -998411898 c 5215161213555472788 239677196436942580276210427983034238534 35308448',eps_hard_reset,'',gssb_get_sun,'',-6,6.84767484664917,444020.0,10564.0
tm_send_from,'C= 269177375780697576904228306574162886138 jD36=',gssb_fss_get_temp,'',obc_get_tle,'',gssb_fss_set_config,'11747856161408623542',fp_set_cmd_unix,'279011526852396794259715773770992339582 o 1156870690 -803977110891470746 1901238157',obc_prop_tle,'1370535302',eps_hard_reset,'',gssb_reset,'',fp_set_cmd_unix,'-327233614834025641474874927128480467621 8104775156715926958 -179026130077521752859784184683104821364 -384016826 -277565768684356202682581534376359507827',gssb_get_temp_int,'',0,7.315814733505249,444020.0,10956.0
gssb_burn,'',tm_set_ack,'4559756955046768934 -8637021109998140040',gssb_fss_get_temp,'',gssb_burn,'',gssb_burn,'',obc_prop_tle,'-1777675246',gssb_scan,'.m a1c4',com_send_cmd,'-302565369378887326757431198786218219673 -177428640',fp_set_cmd_dt,'2844045581424713994 5600781211798071227 2178790776806935400 ~ -7398523508517302027',gssb_pwr,'zz 233810691105132514916425443477961670830',0,7.587634086608887,444020.0,10932.0
drp_ebf,'15388351751398773049',gssb_burn,'',gssb_fss_commit_config,'',set_state,'1219026477 -332105312561276408798710971126346817852 328665261556542848348140073642647032276',gssb_get_status,'',eps_update_status,'',drp_get_vars,'',rw_set_speed,'-1931641515629387755 871862142',gssb_get_temp_int,'',com_send_tc,'( 546157371212002188',0,7.334855079650879,444020.0,10896.0
gssb_pwr,'-225148232540684284623096224107660787218 jJy]{*c',obc_get_time,'-11818742',tm_get_last,'/7vYt_',fp_set_cmd_dt,'492537155101051687 134260712692544601618874282465161065979 4201731605460059534 =$W/~xzLA{ -25710897750073743424454015634937590516',obc_set_pwm_duty,'-628740535 -5025980219543772218',gssb_fss_get_sun,'',gssb_set_burn_config,'1073571577004293496 -1052847548 -551727703023284985  WS=Q1\]76 6869125015650968823 sQH8~NL',tm_parse_status,'',gssb_set_addr,'9200287699963323831',gssb_fss_commit_config,'',-11,6.632312536239624,444020.0,10908.0
