Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
rw_get_speed,'',com_send_cmd,'2215228249495620775 -1061103018',drp_test_system_vars,'',com_reset_wdt,'8038059285502060246',tm_send_all,'-524353203349985004 -709326626292023698',0,12.702902555465698,444020.0,10592.0
fp_show,'',tm_send_from,'c5U 40310238125814525 279947384374054956554929805280409333344',tm_parse_status,'',gssb_get_model,'',rw_set_speed,'6514948107888844709 &&CDeZO',0,7.220017910003662,444020.0,10976.0
eps_get_hk,'',com_set_config,'P 15225537124489922821',gssb_set_addr,'-92520240295834062834677306646795389369',test,'-163679742048780098852899057914588834542',eps_update_status,'',0,6.885575294494629,444020.0,10664.0
obc_get_time,'273884031516697740461364971955394984447',obc_prop_tle,'-7773968378954557527',com_set_config,"'Yl""<K 6638331219747126336'",obc_update_tle,'',gssb_msp_get_temp,'',0,7.218616962432861,444020.0,10940.0
gssb_set_burn_config,'21612124501102684513572335325517676628 4001769025993940002 ]>W [W2 189578563820308559955716238431782283636 -198570728368510871749824407996830688118 -40901693636559697892938656724933341368',gssb_get_temp,'',init_dummy_sensor,'',eps_hard_reset,'',gssb_get_temp_int,'',0,7.1680004596710205,444020.0,10672.0
gssb_get_status,'',com_get_config,'-1678837234',com_get_config,'12479717312687193009',rw_set_speed,'1569184261 1368957490944032524',obc_set_tle,'14552885218311127799 -343960526',0,7.333276271820068,444020.0,10672.0
gssb_unlock_config,'8bB;',gssb_fss_set_config,'-229435746326088355809963894889341926282',gssb_msp_get_temp,'',obc_update_status,'',set_state,'13133053655231843448 305919081 -923985461',0,6.915555238723755,444020.0,10600.0
eps_get_config,'',com_debug,'',gssb_arm_auto,'225454611148843308855398210053278799431',gssb_msp_get_temp,'',eps_get_hk,'',0,7.233401536941528,444020.0,10680.0
gssb_pwr,'b$Jm 7218203794433261115',obc_get_time,'i*',gssb_select,'1H+n-}t',init_dummy_sensor,'',tm_send_last,'-6097285837959762589 1823782138',0,7.422389268875122,444020.0,10656.0
com_send_tc,'1937764446 -2146250199',obc_prop_tle,'-7731618106033764365',gssb_set_burn_config,'18012339139293210212 -8052381025545282975 1564459446340887303 -1627819426 -1726284160 -1830213021 -1069142387',obc_get_mem,'',eps_set_heater,'155395549568311614511099602322290458592 -159573221574704843909925131919182047826',-6,8.474840879440308,444020.0,10664.0
