Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
com_get_node,'',com_get_node,'',tm_set_ack,'3004041462589469611 g<A0#yrG',gssb_fss_get_sun,'',rw_set_speed,'16890358072696593520 10992423401478984989',obc_prop_tle,'-323139678331443432370886067915760625439',obc_update_status,'',gssb_fss_commit_config,'',obc_debug,'-137536286647469173104524799494716308720',com_get_node,'',tm_get_last,';Tu'9e',com_send_tc,'2136947975 14891575006979815055',tm_send_from,'2304360809382972577 154192046995583341466564783817990068884 -1598940526',tm_send_from,'B -169336680827875155496788360533848329179 =QO{Jr',gssb_arm_auto,'1850138724871174967',gssb_commit_addr,'',fp_reset,'',com_send_data,'-851933589',gssb_get_burn_config,'',obc_get_sensors,'',gssb_get_uuid,'',tm_send_last,'d 3238423654915533355',gssb_select,'519062616120789204',drp_clear_gnd_wdt,'',fp_show,'',gssb_get_burn_config,'',eps_get_config,'',tm_get_last,'1492602992424088338',drp_ebf,'1458166545',com_set_config,'462952250 Y>',help,'',help,'',tm_send_status,'6051239706028067072',com_send_rpt,'5867427581057556968 4563095540617535527',obc_get_sensors,'',obc_get_tle,'',fp_del_cmd,'-246320416 15700986504937119800 24eVOEQ 1912289084 4421664778818246989 1003067719612515900',obc_debug,'15468317785469805514',obc_get_mem,'',obc_set_pwm_freq,'188694120 85243527571034042927625982665434590433',obc_get_tle,'',gssb_msp_cal_temp,'9062393304465839681 -2706487661307992581',obc_get_mem,'',gssb_update_status,'',set_state,'XDDy!dw0 -209121808171425416637251677881635026391 10598043837850010385',fp_del_cmd,'-2195296805253335266 16671035286620830196 ? -241197597760106269109254764720819035682 15193131196962165 -6387670478037273931',com_reset_wdt,'213345763408153950443534149310813051891',obc_get_mem,'',tm_send_status,'-2472307170322393901',tm_send_all,'7202935394010889607 255012655459711394837703526089398484680',-6,8.005956649780273,444020.0,10828.0
gssb_unlock_config,'2005424847',tm_send_last,"'X`MA""u^897 -107325867067682539474886126472396323186'",obc_pwm_pwr,'-3871756727756636520',drp_get_vars,'',gssb_reset,'',obc_get_tle,'',gssb_select,'2167662562355287105',obc_get_mem,'',obc_ident,'',fp_test_params,'2232058402102305707 -25041695786644984969401964618185132939 11659685725977765520',gssb_get_version,'',tm_get_last,'410285608023138012',com_set_config,'920677297 -51332724588598759461404628964508873168',gssb_fss_commit_config,'',fp_set_cmd,'15594311148275036312 2177593297527567297 -73498924158345419115624560647214013799 /4: -1284268918 #E9 1450866510  1563542618 !.5&6uy&vl',drp_ebf,'6792403085440220060',gssb_arm_manual,'-1604387396',gssb_msp_cal_temp,'7234943380258723961 4269020200204738088',gssb_fss_commit_config,'',gssb_arm_manual,'-1365875299',obc_debug,'-6081630279323925199',obc_get_sensors,'',gssb_get_temp,'',com_debug,'',gssb_msp_get_temp,'',gssb_burn,'',gssb_set_addr,'D',set_state,'J:|e 1336893900096555724 8555533866535552999',gssb_fss_commit_config,'',drp_test_system_vars,'',fp_set_cmd_unix,'-203177734010150462317549173009207423312 801897001 -172978179087846004083056595530636362244 -81232978277626728828835897524069950307 -302933973608691049178061491027332708930',com_debug,'',tm_parse_status,'',obc_pwm_pwr,'127473287595855110542032970017157777671',com_send_rpt,'9881494549079626663 9476396589841686338',obc_prop_tle,'7806684725971156909',eps_get_hk,'',drp_set_deployed,'2645536481820545859',obc_get_mem,'',fp_set_cmd,''Co>` -6143301152798306250 693600975398369344 69435793 2287520333461450492 i{J[5pTsiF 2041492102 ]t7jh&Lo 8893372718717123272 3384709281941885212',gssb_set_addr,'.K6',com_reset_wdt,'YrM~#[\u',eps_set_heater,'6865997499987651405 -5391392372817364123',drp_test_system_vars,'',drp_set_deployed,'-299456923470516155513607274803900155855',obc_update_tle,'',com_send_tc,'204895025852169291987474756794669469873 7410602850521682139',test,'292862923',rw_get_speed,'',tm_send_from,'8043343469112908641 7708319204249679556 1873554686',-6,12.313809156417847,444020.0,10608.0
gssb_get_model,'',gssb_reset,'',help,'',com_update_status,'',obc_set_pwm_duty,'1076385646 -1907507547131760165',gssb_get_temp_int,'',gssb_fss_get_temp,'',obc_pwm_pwr,'-6468454234743773618',com_send_cmd,'-324499775596970517064310943016105940333 -183894471406221285050359789644347561671',tm_send_status,'56224858925528679746238261586623162322',drp_ebf,'-186001732408183063125197740518507779761',tm_set_ack,"' ,MvSopA['",tm_send_all,'-2076830712 13373187153954650341',obc_get_time,'214149358245812756032589711003869902933',gssb_get_temp,'',gssb_commit_addr,'',gssb_get_model,'',drp_clear_gnd_wdt,'',fp_set_cmd_unix,'Ax -173286808503009758311913165108328554523 -13138684214599114503138560593239193847 -239777551639852586707100347418375480980 164385401',fp_set_cmd_dt,'4490321816520331876 -6710771672169375630 -30653202144997523162828580855815264353 341822977 -153399496375839747397321752380655534979',help,'',init_dummy_sensor,'',gssb_get_burn_config,'',com_debug,'',obc_set_tle,"'-246812608183337286999739633004463235237 *""Jm@XT$z%'",obc_pwm_pwr,'16847077882768368458',drp_clear_gnd_wdt,'',tm_send_status,'M!%DLm&x-',init_dummy_sensor,'',gssb_reset,'',gssb_fss_commit_config,'',eps_get_hk,'',eps_hard_reset,'',com_send_cmd,'-604541037 168984555',obc_reset_wdt,'',rw_get_speed,'',eps_update_status,'',fp_set_cmd_dt,'136801134115033655618534779524207227553 C -1487182245 -1657361856 -179053372885947707591316809431270624484',test,'126375061517646798326668074812698657993',fp_reset,'',obc_get_mem,'',gssb_get_sun,'',gssb_set_burn_config,'3976579483797101866 16881654985866145232 -166909216 2453926784059809493 2057980627138556623 15968998065716279094 50874593294706409260587416304865848371',gssb_antenna_release,'-8794120592061721881 Rq{XrL/ -265406984232549632520616656658406830302 -1894915922',gssb_reset,'',gssb_get_uuid,'',drp_test_system_vars,'',fp_set_cmd_unix,'625458350 -195358321 8872078410544899185 8PRKt03xXG vPH~v',rw_get_speed,'',fp_set_cmd,'533142813158714957 15811263838201491093 -N)LV =uCz -8336440518349213965 %T0 10412344451844204458 2450231800219741254 J;c8gl -246810027262843105445079030658902839953',-6,8.161927700042725,444020.0,10976.0
gssb_select,'14312534733107378068',gssb_fss_get_sun,'',fp_reset,'',gssb_set_addr,'3520622031342983669',rw_set_speed,'-5037801311059320942 2897392808708180440',obc_update_status,'',tm_get_last,'8229921292571535914',gssb_get_uuid,'',tm_parse_status,'',tm_set_ack,'159308785747529627791859538484500980011 9046055577351962568',obc_get_sensors,'',com_get_config,'-1466622212',com_get_node,'',gssb_unlock_config,'312146542',com_send_data,'3018481526229249759',gssb_get_model,'',tm_send_status,'528333142',gssb_get_version,'',drp_ebf,'-73260272005574577305546492481676984522',obc_set_tle,'-932742519 1394537725080535559',com_ping,'BTgC',com_send_tc,'-1622486091907844400 1387672868573481317',obc_reset_wdt,'',com_set_node,'16750384565029742023',obc_prop_tle,'7728493145637673394',com_send_tc,'1517542423 3695910221923188670',drp_add_hrs_alive,'-2985733235752821523',fp_set_cmd_unix,'-9168375031096919866 15479196438597756485 -766986880 1379144350 53136393520967635696602456642392098650',eps_update_status,'',gssb_get_status,'',rw_get_current,'',fp_set_cmd_dt,'311814375057970471017576090922785381031 6130871774047371275 -1541945298 17879009184887062240 109322155046095142432838945717595613170',obc_set_tle,'2360056481635982213 456844931',gssb_unlock_config,'5641451881706451071',obc_debug,'12778402256483196906',set_state,'iE[8b -286912581560264713336485775189571359624 2854171628133980017',obc_update_tle,'',rw_set_speed,'-6{~Bz@B -2089682083',tm_send_status,'-1568977799055951092',obc_set_pwm_duty,'836490604 -867143738',fp_del_cmd_unix,'-8096354056658401670',fp_test_params,'`%? aABHC}w2 7825106955174280972',rw_set_speed,'-16009411300787190049697512172744305566 ',com_reset_wdt,'15033169513323180962',rw_get_speed,'',fp_show,'',gssb_msp_get_temp,'',init_dummy_sensor,'',com_send_rpt,'5591503027195166276 ;',obc_pwm_pwr,'8O4MD&s]',-6,8.354884147644043,444020.0,10936.0
obc_prop_tle,'9196781162831384914',com_reset_wdt,'962059168',com_send_data,'316519046985774419400536192263083847813',test,'C^',drp_set_deployed,'1537569614972497191',drp_ebf,'11104934083824677375',test,'-280079553575794749100647767410750054357',gssb_msp_cal_temp,'-8131095760137288570 5045882449646414944',obc_get_mem,'',gssb_update_status,'',eps_set_heater,'-2407969190452025553 -81812035',com_ping,'307411617403736451250173582775472744464',fp_set_cmd_dt,'83922117064737190319883765732511689907 -8684936692872173323 4437864993027846314 -1111076978239476607 1466055963',drp_ebf,'-97733751095921071031638603774592238569',gssb_commit_addr,'',gssb_set_burn_config,'57122244 -1829693018127220822 11308790467717089273 7194676082181882746 -1924626779 6046461750133324660 1552334432',tm_send_status,'727555355996470352',drp_clear_gnd_wdt,'',gssb_msp_cal_temp,'YN|<R9d 6042883873867641104',tm_send_all,'2052578166 55092018',com_send_data,'324827087479473816048923312816071063012',drp_test_system_vars,'',com_get_config,'-268225153346897075736037420871370503138',gssb_antenna_release,'943597296 16500908946385556395 494130005 8727061201275049698',tm_send_all,'4941706592995544678 -768793111',eps_hard_reset,'',fp_reset,'',drp_ebf,'7447673348873870770',gssb_update_status,'',drp_set_var,'-185910702036700349209116398741698328177 10615901675283025676',gssb_update_status,'',gssb_burn,'',tm_send_from,'1495984108178813153 -2230679525833235006 -110708055522070672523038593789573822962',com_set_config,'97534872042046431839790108457351590482 yqN',gssb_msp_get_temp,'',com_send_data,'12954855762357673833',obc_debug,'-4260338843019814610',gssb_fss_get_temp,'',com_update_status,'',gssb_get_sun,'',obc_set_pwm_duty,'4456946531870496076 ',gssb_get_burn_config,'',gssb_select,'-3035055767012957207',drp_set_var,'1FthZ~/9& DoY|_rrsAP',obc_reset_wdt,'',eps_hard_reset,'',com_set_node,'2749465453943398801',obc_update_status,'',gssb_unlock_config,'Jv/2',com_get_node,'',-6,10.601100206375122,444020.0,10648.0
fp_del_cmd_unix,'14009026910130429010',fp_test_params,'-7764922060034379242 5328959035775486901 q6',com_send_rpt,'-1046530072 -373362311',drp_get_vars,'',gssb_fss_get_temp,'',gssb_get_sun,'',obc_prop_tle,'675839442',com_set_config,'-1928989841 -449261485',fp_show,'',gssb_unlock_config,'30754145110493848810613968136275258972',obc_set_tle,'_0[Rr1DS~ -1587098142881062554',fp_set_cmd_dt,'13465638182359076191 \F!#+ 4007585643449270914 1970385249102305813 @',tm_get_last,'f%',com_update_status,'',eps_update_status,'',gssb_get_temp_int,'',gssb_antenna_release,'-394172486 }?BgA~ 12395442806631691541 12795256405432921014',gssb_msp_get_temp,'',gssb_select,'1422811857466914195',gssb_get_burn_config,'',gssb_pwr,'2914088166428077405 2227950247438678025',com_set_node,'~t=B):',com_send_cmd,'-1859704215 5152179092605413302',obc_prop_tle,'132058755416321104884396553254283144423',gssb_set_addr,'12708203536978726663',tm_parse_status,'',obc_update_status,'',fp_del_cmd,'10449096589097597688 1058009530303004312 -1550439766 2083907227 1461938880191691899 -3224804119503434788',fp_reset,'',gssb_fss_get_temp,'',obc_get_sensors,'',obc_reset_wdt,'',gssb_select,'6)*aN',gssb_get_version,'',init_dummy_sensor,'',gssb_pwr,'974143600660267672047677378376505334 32889366',gssb_fss_set_config,'-1291508640',gssb_get_version,'',gssb_msp_cal_temp,'-1340507198 1301945588',gssb_commit_addr,'',com_reset_wdt,'6687286852305851816',fp_reset,'',rw_set_speed,'7483485017582744434 574849332',obc_prop_tle,"'WQ""Cl<5kt`'",gssb_fss_set_config,'-308946608739769500056087462532621284180',obc_set_pwm_duty,'<[_B -1137657815',com_send_rpt,'-536457390561545743 7574600269824049386',eps_hard_reset,'',gssb_arm_auto,'-2048159583519756252',gssb_update_status,'',-6,6.223004341125488,444020.0,10972.0
gssb_get_sun,'',obc_prop_tle,'798602701614105132',obc_set_tle,'1880621442 -3145679747548570902',obc_prop_tle,'-5139728182449587083',tm_send_status,'224454207995604024806773690102493281787',fp_set_cmd,'w<8rI+jddo 9723290868629944003 -236101550489860924 15047426879567307906 8862695804226847611 8574452001600268111 -393290252 -2642298858311649741 -865140770 85745351603835352',gssb_antenna_release,'1659515689 117430224853839784 9110074528520927132956149649580812890 16360534282545935011',drp_set_deployed,'274384275809542642565284951295798891456',fp_show,'',obc_ident,'',eps_update_status,'',gssb_select,'326994480105718793456564944193320315056',gssb_set_addr,"'0""mgRL?'",rw_get_speed,'',com_send_cmd,' -163206681063110320025390116216523323889',fp_reset,'',gssb_get_burn_config,'',drp_test_system_vars,'',obc_set_tle,'-174135487 O&M)39',com_send_tc,'2686296302591704407 1900504835757357387',gssb_msp_cal_temp,'3308365887671586199 125138080198701746670367349405759517128',com_send_tc,'17735247529979064146 if',com_set_config,"'-6904928618771662491 ,IE`iNNo2R'",obc_get_time,'-1404736424',tm_send_status,'-1386257913',obc_set_pwm_duty,'6806105320677169661 16175099262405069174',gssb_get_sun,'',eps_set_heater,'5750650222156221144 -5091829397460715247',drp_ebf,'1361069362',gssb_arm_auto,'NGAsoS0',tm_parse_status,'',tm_send_last,'5045238735685978198 15918965351008998933',gssb_reset,'',com_send_data,'531015923763362478',fp_show,'',init_dummy_sensor,'',fp_del_cmd_unix,'-235015705',com_ping,'-53198934950951033744575882266568969764',gssb_pwr,'7889837870490518694 -297309626073041631426569085744493232025',fp_del_cmd,'-6795756128219290005  f}4; 7958242620199760687 5021133145444410857 224737755138400443567426721133328439602',gssb_msp_cal_temp,'185802843104953061599364024063462884811 y&Xox=',drp_get_vars,'',drp_ebf,'2443260404407029452',com_get_node,'',gssb_arm_auto,'-2070030576',gssb_get_status,'',eps_get_config,'',tm_send_status,'-6068435366316596467',obc_prop_tle,'175297466359027535',gssb_get_sun,'',-6,6.7115912437438965,444020.0,10640.0
rw_get_current,'',obc_ident,'',fp_test_params,'7120419342393570863 7755729948244656524 -2142865152119397341',obc_reset_wdt,'',fp_del_cmd,'3125399880583576092 BCc+ ]OI/) 268946820 BlE 911646889228110157',gssb_pwr,'88245627 -5242493100877305034',obc_get_sensors,'',obc_get_sensors,'',com_set_config,'6163337771836474542 -111556587108694912390547007450671077086',com_get_config,'790078215',com_reset_wdt,'-1116829321',com_send_rpt,'-2071085715 -1997128395',fp_test_params,'402391142 {Zjd9jy -2684879481897081604',drp_clear_gnd_wdt,'',gssb_pwr,'-4550354054585647133 s6l3T~@4.',rw_get_current,'',obc_get_time,'-302953289',drp_clear_gnd_wdt,'',gssb_set_burn_config,'h-%*}XS$U7 2865370458868349848 =[:Z$ 3866588506406441532 6969076673066341620 285085395720615899265080029822929244995 -1877443007',gssb_pwr,'2749934363773057193 4M*kR[{8Pb',fp_set_cmd_dt,'18265423814710933134 -1177913515 -6303771591674795050 4486607476518577820 -1748456525',gssb_get_sun,'',gssb_unlock_config,'17136790915587118649',obc_ident,'',gssb_update_status,'',com_reset_wdt,'c8WL',com_send_tc,'71760850230218018829980748530242713981 1617936193',obc_prop_tle,'',obc_get_tle,'',drp_clear_gnd_wdt,'',com_debug,'',tm_send_last,"'upGR5,Zyv6 2822738940905723772'",gssb_reset,'',com_send_rpt,'-2906305591026411992 8020669516667369961',drp_get_vars,'',eps_hard_reset,'',obc_debug,'?EbXr',tm_send_last,"'-8564583764079446514 ,u:bVcRJ(='",obc_prop_tle,'-4239615517595715826',gssb_get_version,'',drp_add_hrs_alive,'9088283489811375120',fp_del_cmd_unix,'1993725487',gssb_get_uuid,'',eps_update_status,'',fp_del_cmd_unix,'-40616977255149113942443096425232865936',obc_reset_wdt,'',obc_get_time,'327230532235588297424093831198449974901',gssb_pwr,'826641537 1376565944',gssb_unlock_config,'479031095',tm_send_from,'33509716955000836639281651377632522131 QSz~ -1195847097',-11,7.765597581863403,444020.0,10664.0
fp_del_cmd,'-718868441229066867 RV -301697597938399259806418227068996442864 2910791498835373705 919675986 6098892975096700191',obc_get_mem,'',rw_set_speed,'8536026948225536012 82752558480790925255239845267412999935',gssb_get_burn_config,'',com_update_status,'',drp_set_deployed,'3471458403996356167',help,'',obc_get_mem,'',gssb_get_temp_int,'',gssb_get_uuid,'',drp_ebf,'-247960870',obc_update_status,'',drp_set_var,'1909792046 -151850691625025541167263653663698296940',gssb_set_burn_config,'-1260763295 1480886412 4940623383253512611 3X;u S;mTfWH?w! -3558432130455966469 -161500915783067158157020449409468624780',obc_get_mem,'',com_set_config,'*[<TOaC -1752041985',gssb_get_temp_int,'',obc_ident,'',gssb_update_status,'',obc_reset_wdt,'',gssb_select,'1300601619',obc_reset_wdt,'',com_send_data,'3552890272379588748',rw_set_speed,'-10434568521826243530060515078413432878 Dg[+wnx',com_get_node,'',com_set_config,'8753508390079714 8933147987535789854',eps_update_status,'',gssb_arm_manual,'-1435190968',com_debug,'',com_send_data,'336114707796993191193682244064492612860',rw_set_speed,"'-8160106349198177786 *WUd&,cEMn'",set_state,'-491616512 12096605384110519964 -84407250289021752',gssb_antenna_release,'329541984279526050932628787244189275370 -284791593253159686288955798815878973575 ]d?d12b!9 17600179666396609217',gssb_commit_addr,'',obc_get_time,'-7842717709649411182',com_send_cmd,'8670563924966826658 1399589382',com_ping,'',eps_get_hk,'',gssb_arm_auto,"'uH-""RwTJp'",obc_get_time,'532378253',help,'',com_get_node,'',fp_reset,'',com_send_tc,'-323666370829508213252834392776766751791 202080506356923512422412496463349696300',gssb_get_uuid,'',obc_ident,'',gssb_msp_get_temp,'',tm_send_all,'156476417623692170090502953387935801875 2527835850268336438',com_get_node,'',tm_parse_status,'',-6,11.768403053283691,444020.0,10664.0
com_send_rpt,'-261540473392460258944298494071739064148 5988939779311960687',com_update_status,'',fp_set_cmd_dt,']7!7=qFQI 209129962628316311781016349038802419553 11915754383989927979 -1569337456 y}u$d%*T',obc_set_tle,'^\.|e 76044547050063632686271870732547468979',fp_del_cmd,'3552834796925553158 182847519 1150534577 2622171934975145986 2812925427648803955 269221976897542510078917265243539845967',eps_update_status,'',fp_del_cmd,'4232689103654411999 {n -164798554 -239605607170408772857330280317531432447 12155506004110477870 -60934691865696959160282634891954726503',com_get_config,'378203224',eps_hard_reset,'',gssb_commit_addr,'',obc_reset_wdt,'',com_reset_wdt,'',gssb_pwr,'6&ttDN>@ 132663360619751116543321663029387052167',fp_del_cmd,' 825740898 85g@ -955520261 -491951452 6551353911594379462',eps_get_hk,'',com_send_data,'-4890060681425296174',eps_get_hk,'',gssb_fss_get_sun,'',tm_send_status,'',com_set_node,'4634028915645451574',obc_set_tle,'-47302476 o0E',drp_get_vars,'',drp_ebf,'-7390845937670785117',gssb_get_uuid,'',com_get_config,'1182527348469912762',gssb_antenna_release,'14168217638723291246 Vg2[r#]bs\ 220993881500469794958035515556624711548 -1728624878383256312',gssb_commit_addr,'',rw_get_current,'',fp_set_cmd_dt,'-8337045721564231243 -8448047258434987047 ^s]|%[ 1680610235 $q^L]GxO',tm_send_all,'-323177427723762038164034031403960593050 316713195578346698365563976475472383534',tm_get_last,'13266391577961081781',gssb_get_status,'',eps_update_status,'',com_ping,'-268829043957420255879146992445067552647',gssb_get_temp_int,'',gssb_get_status,'',gssb_get_model,'',obc_get_sensors,'',com_set_node,'3399544922321988826',gssb_get_model,'',gssb_unlock_config,'127381803128477685611320341754751083053',obc_set_pwm_freq,'1720500854 4798901353252767059',com_get_config,'$\s[[LB',rw_set_speed,'1491962649 113334592400071584680622428293642808039',set_state,'1E95U5~! 14372117734557437432 -1746248899047886775',gssb_fss_get_sun,'',init_dummy_sensor,'',obc_set_pwm_duty,'F5#h -450440405',gssb_fss_get_temp,'',tm_send_last,'-130113858848102556584302309623424575998 -1378168006975614822',-11,6.510831594467163,444020.0,10884.0
