Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_get_sun,'',gssb_burn,'',com_ping,'-326510799479828825487595252196394537908',gssb_fss_get_temp,'',com_send_data,'57200345557267219720515121316083237101',0,10.184677362442017,444020.0,10564.0
gssb_get_temp,'',drp_clear_gnd_wdt,'',obc_get_mem,'',gssb_set_addr,'4873635901048818620',obc_set_pwm_duty,'5624085294487488389 25122857442567293459520349812545458417',0,6.992303848266602,444020.0,10620.0
gssb_get_uuid,'',gssb_fss_set_config,"'sBgJ""C'",tm_parse_status,'',gssb_arm_auto,'-2503715493547419538',gssb_set_burn_config,'-142748579009885142908689719851764659567 835518837 994002745 HcNg 105667549707690514849536310672604649634 7691494355095109027 -9193301798715882935',0,6.945957183837891,444020.0,10896.0
com_ping,'6150260045739588923',gssb_arm_manual,'2083319576',gssb_select,'\\lU|?pA^v',gssb_fss_set_config,'\',com_reset_wdt,'17624964979051787104',0,9.199811220169067,444020.0,10964.0
gssb_get_temp,'',rw_set_speed,'-88127385812722641275538834101246584162 12454536901016281380',fp_show,'',obc_pwm_pwr,'6412903567193091099',obc_set_tle,'7916711091475436748 -2051909920',0,6.944604158401489,444020.0,10680.0
tm_send_from,'819521258 -41316488624131458492821335989609958221 g~c7@',drp_clear_gnd_wdt,'',obc_prop_tle,'244368864727118439465618903595349098102',obc_get_tle,'',gssb_unlock_config,'307821992452480297098530094834470414362',0,7.064023494720459,444020.0,10668.0
gssb_fss_set_config,'-98526161841891900661274614444838507929',drp_test_system_vars,'',obc_set_pwm_freq,'-195667113 242058629148287235653151548880607518219',fp_set_cmd_dt,'12017919461793303158 10685766673932084438 316562296480678074322945892569819525176 -4706376058693988141 7895821880778207496',tm_send_last,'17 3953127135409615327',-6,10.041040420532227,444020.0,10948.0
fp_del_cmd_unix,'18422761306011469982',fp_set_cmd_dt,'321665187163505156763390442948862117872 563228840630147644 -5582740396908324889 -1190516420609783706 -639635332',obc_get_time,'G+1*JbLH}i',drp_set_var,'-9172355177681338773 124981537113928098429509642876753256459',eps_update_status,'',-6,6.421635627746582,444020.0,10868.0
gssb_get_temp,'',obc_get_tle,'',gssb_get_version,'',fp_reset,'',drp_add_hrs_alive,'5296525175759783577',0,7.161433219909668,444020.0,10680.0
com_ping,'Exd~<-F',gssb_reset,'',tm_send_last,'7747010636599043628 12492669818116984304',fp_set_cmd_unix,'12836192178711830676 10840166926204146825 *io 481666385 x',drp_test_system_vars,'',0,10.154085874557495,444020.0,10984.0
gssb_set_burn_config,'-3580898234652766796 -3765646670160307962 879558216504341553 12294084153803224597706509658967510213 13941225965211747652 -6447345841212456255 6875101556302341650',set_state,'kd -155432829644293690936749272102934214632 20730926413240869104184746455995798550',obc_update_tle,'',obc_pwm_pwr,'10138127132865174205',gssb_fss_get_temp,'',0,7.0558226108551025,444020.0,10620.0
fp_set_cmd_dt,'-34212918902137404158219744708458443460 14503192412152222641 97089204081258543930313353001083844157 J`b'*v(S>1 11205235967852210695',gssb_commit_addr,'',obc_get_time,'-8270895622626349242',com_send_tc,'8289822906617729808 11660735973091987113',gssb_reset,'',-6,6.284081220626831,444020.0,10920.0
com_set_node,'67332986420758365148501165533792952316',gssb_get_burn_config,'',fp_set_cmd_dt,'-134014266949916330024113291021922684233 N(o2 -243603569092110520520300911816375308097 -302131926832694123647000864011789515804 9841611191455162473',gssb_get_uuid,'',gssb_unlock_config,'-8267753922622184809',0,6.948315382003784,444020.0,10940.0
obc_get_time,'23584910',gssb_pwr,'1641207709756850424 595252719',fp_reset,'',gssb_get_temp_int,'',tm_send_all,'7756088580035855144 -8277670896698406596',0,7.03192663192749,444020.0,10664.0
obc_update_tle,'',gssb_fss_commit_config,'',tm_send_from,'9245353416844848251 315489048942725433961780804411720420995 -1170928464',gssb_select,'-228218545204197543424478556569699135558',fp_del_cmd_unix,'-1314215031661146097',-6,6.524145126342773,444020.0,10664.0
drp_test_system_vars,'',drp_ebf,'2522689692809734622',tm_set_ack,'289027776 .)/',eps_set_heater,'/h -1844138148',tm_send_status,'-1480120670',-6,10.35567593574524,444020.0,10828.0
help,'',obc_ident,'',fp_show,'',gssb_get_sun,'',gssb_antenna_release,'338183915390783479578197071353585180112 6875900871644333802  8724754382182660346',0,7.156546592712402,444020.0,10664.0
drp_get_vars,'',tm_send_status,'-3157360017745820691',gssb_burn,'',com_send_cmd,'k@ T',com_send_cmd,'2098057242 u',-6,6.649267673492432,444020.0,10932.0
tm_send_from,'JiS -1886731486 15295209302786812586',eps_update_status,'',gssb_unlock_config,'14214864000641280193',gssb_msp_get_temp,'',gssb_get_temp,'',0,6.903554677963257,444020.0,10672.0
drp_set_deployed,'-41589252524993632488489238191642398022',obc_pwm_pwr,'-9188343589152256437',tm_send_last,'-1896438667 -84428989665269437007942452586540379586',com_send_data,'3315502385591735240',gssb_fss_set_config,'6150235646410648789',0,7.400226593017578,444020.0,10808.0
init_dummy_sensor,'',eps_get_config,'',obc_get_sensors,'',fp_set_cmd_dt,'1833335722061490921 837177580 13876153403163677409 165105836585451537833418398968073382830 1120126063',tm_parse_status,'',-6,6.541005373001099,444020.0,10876.0
tm_send_from,'-5640908460548356993 i1@\mhD\|z -1914277722',tm_send_all,'v [N',gssb_pwr,'4813521699993753768 261875240126693147693793064293943871688',rw_get_speed,'',gssb_arm_auto,'-1431924138574948230',0,7.13427734375,444020.0,10720.0
tm_set_ack,'1804627175 nT',com_get_config,'1959733787',init_dummy_sensor,'',fp_del_cmd_unix,'-831707666342018657',tm_get_last,'113621416101346325747650134227235538980',-6,6.431275367736816,444020.0,10956.0
obc_get_tle,'',tm_send_all,' 3064737052379488864',obc_set_pwm_freq,'-4784845309547713680 1182759974731604492',gssb_fss_commit_config,'',obc_get_sensors,'',0,6.970437288284302,444020.0,10688.0
com_set_config,'5397242460731849950 48055768811857037856601156482821042167',fp_del_cmd_unix,'149534994005310380023332092883148861308',fp_del_cmd_unix,'143406650734745070253528941438378557659',obc_set_pwm_freq,'5417069792554658713 393273719',gssb_get_sun,'',-6,6.31349515914917,444020.0,10816.0
eps_get_hk,'',gssb_get_version,'',obc_get_mem,'',obc_set_pwm_duty,'-125194368539501339314910523361073370401 GKI8z1_0',test,'z2t'y_',0,7.297675371170044,444020.0,10916.0
drp_test_system_vars,'',com_send_tc,'103495872332698410 -1798999471',obc_reset_wdt,'',drp_set_deployed,'-757781331',com_send_rpt,'Gq FL)cr',-6,11.227327108383179,444020.0,10720.0
