Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Command.5,Parameters.5,Command.6,Parameters.6,Command.7,Parameters.7,Command.8,Parameters.8,Command.9,Parameters.9,Exit Code,Total Time
eps_update_status,"'s^.""$bZSg -21283616 W@63'",tm_send_all,'924085796376703508 13581630483888088839 2592271290947389191 156827992430119958682183733941829952668 1371527510302173824 v[U6R{ -965259309',gssb_scan,'1855541150 7636813797491252958 500295229673599377924914828557644331  628958571960832333 12663547236715460215',tm_send_last,'-454370869 -336183714298302108945467054290486491217 T)r. -1516874923 3815468360174151287 DJ|j#1 ~UZL41 364076445545840007',gssb_select,'12532733246260296656 p*S] 4- -821189611',fp_del_cmd_unix,'',com_send_cmd,'|] 4419389318222750085 1986437375 -9103987083928902184 x#[Ei: ; 1166531983294739549',gssb_arm_manual,'-1787772102 1435035893566843259 11618950853468645088 -1752020617782859200',gssb_arm_auto,"'6406814211760284115 C;`BFSk"" -8413310179524471828 +^1_wNq 138273788872873897533595800469598697778 -45218966 373057977 -111873730181143256311463601246666813790 #%B2\'",gssb_get_sun,'26690328542381729496866719784981311488 114588607247223110315926365434202658428',-11,6.545945882797241
fp_test_params,'J -5722436584113756992 +8a[G; 116682837816502700335510172947555344323 1618597299 16773745708390579889 5498643407825587503 -992361253 1790458113 5802406016803779998 5733618254145212144',gssb_fss_get_sun,'8y9)!K',rw_get_speed,'1802438288135520589 1464491988',gssb_update_status,'-5639780524015976633 67797876181353259766174873696020593338',gssb_select,'37463314451326640476921182128380585531 -7745320855189211458 7922536717149469986 4653029588962418960 13248582485204609661 -1724796511',gssb_msp_cal_temp,'@%6'!.k=',gssb_antenna_release,'996873807 -1840576527803876772 -8755141335560572257 -1733097964 Th 178344190252255810004957196898695479865',eps_update_status,'-1583342096',eps_set_heater,'',tm_send_status,'-1013772746 nc=-G 1537465691 17794773930126019587 -624817687 50473860 -8525162838068228615 -56687098670319635469564268253008611255 -4167098530376325695 -349928892194713363',-6,7.277101039886475
gssb_get_temp,' )1A'JUi 3167460597987306876',drp_get_vars,'-3494524059459514580 3112310936374894633 3843533792278059028 2625973966925680596 112981631679485670172192459563336044733 Sj}b^\LZ 1273413378',com_ping,'3687726953357471270 81691602715827163032566246154101890666',tm_send_status,'-1539597547 856608091 7756103588474384574',gssb_update_status,'187861198336793291433442678568735229055 -1955275697 -1996980687 -2055728844 7301866482047160364 7/Ywi 4419481937919454615 Bj8 83763080224592849392804171581936719492',gssb_get_sun,'o 1039259212324533098 -1546361658',rw_get_current,'10736853130572588412 12026021679536068065 -686547899429858372',drp_set_var,'203588257482893047901873324595057085364 k^(WuM'zh <@Q$Gj(vWI -2644831578742647415 -1069085404 7640140979289442739',rw_get_current,'20514736 -246745326649588767482097385472939323443 -272822659774763073359061103348730768348',drp_clear_gnd_wdt,'P 23252713487069197447115394413282501819 -295776528616627359287739276327144929810 9I 129792635989120802254330935676153972074 301346263 5450382279319012077',-6,9.598314523696901
com_reset_wdt,'2020477175 -4831506619456826452 1853606800 -944941357014509223 -1622769807 y@!5$dD-/',obc_set_tle,'6662449291198017765 /`P74',com_ping,'5418853610086169441',com_send_rpt,"'1688728432 6408578962300691063 -588281756 wf -5942260922159835796 -214403579816533359486962251225602806212 291367875509515544291320037031558890482 246439635364742074005347832321442782091 -111663742796047277315422630744334833132 875868786 p,~F'",obc_get_mem,'333550360057524531795859648108329711992 -123862349008703592693411801219474221077',rw_get_speed,'8428301570398536365 H 'Z:&CyyUfl 59716944399384474117982506955767656795 -981065549518745529  .FGmMq\FJ 209527426011082458263364819901652872976',tm_send_status,'-5952748685180749326 7946054744408448254 3133903639430794066 N+Xm 4152568054770913909 27  4922456233015618311  -1861209044 e>>5',com_ping,'50665118736452906722665437160786754231 -6589093607530163395 pBVqGojl 52095727959549393 /T:%P_7tb6 296970423 1207546418570509775 1093134585 184180755 123431308',gssb_get_temp_int,'14055566467595871026 2123911206 -2039753570',gssb_get_sun,'1785884221 3541312143440940238 7%',-6,7.989877939224242
com_ping,'1407066686 ' -360827034 5_{k9Ss ',obc_get_mem,'F- 6170135969132167501 1456791037 -1357690053 }\}$^ 9354656613875005182 1737272247 17124074537842679126 -326570583157274539402507608356032272816 16921639303238860606',tm_get_last,'318877201483861142 5770408960048750031 -273944587873678727107083198778166320540 A`x -517401774',com_send_tc,'-32421333462813850806845791703057783093 3939268570737170213 -7671034782557587588 -253553891 58005970139831004384013867972894295769 -6920914936339059128 7540585940532651444 223403311089099795906456765898415956236 mg4}4&W',tm_send_from,"'gbIF4""d'",gssb_get_version,'1925072259 -7696322435492975837',fp_show,'',tm_send_from,'-146827644966306157931568124163937368477 1916893794 356678552',fp_del_cmd_unix,'8889719359885388108 -229428710929684483478859919957821482876 -4217112655242562275 -235305782 1322669989 3561021857630414922 2633869669065756926 -206503839268851374339042787096917877176 8387801167160145826 2428809231898359752',gssb_get_model,'-4030641696106017157 +tB^YTvi -192534578748427677810890082691119311380 -1743374040 1931468970',-6,10.263987302780153
fp_set_cmd_dt,' -4605465135728394807 1849518058 7556217112833421800 -52955949527699328544384860278269771326 13630111921348964192',obc_update_status,'' 12232195030754539857 1893842940 -1450097555 217683377735290601137979659885918784556 -318737140826723507308512293552342423074 1833238917',com_set_node,'-308238027491983899906248826351119372081 113066485631691813337296239007770033137 7784399106535913311 QozpQ 1364064932185139835 240994822255823808611666392011007835421 56369087533370394946173821950604524069 ',gssb_get_version,'190765825784756868890535075796182283729 -1273706521 5 7789727854865121875 -667574130 736057013',obc_get_mem,'1701812130 -72596310090743206623889242753971670495 1747193984 12371412942238022610 -4643503751888250474 205275459708115628 1407960842 -24884055401051605048630512893806335569',obc_debug,'302354581845456519706345816290916612862 -211918523823100425160635077638109617661 Si 547050581',eps_get_hk,"'G9#$FMm4 -8005732620417846976 1677748627225771964 Ep4""qIE!Z{ 68905916858987355467620457778259550947 1046388864605584734 -279416954321701731926163844448378665829'",fp_test_params,'-253445732840810029768608479499786388824 -6807864686353257967 -91832674760302154551787401618130830394 -2785412439921019611 1999951819 23433711359233820279346806055863365360 253613036603399511173543282116630647674 BygQ6 649526699',drp_set_var,'-15796071119729077068412981696336409212',rw_get_current,'9445989829637871776 -1807439909',-6,6.425390958786012
obc_ident,'262167409804714049579300273296541987072 4441969991336237378 5636677214582281587 9383932886879934592 -807523734652219728320367037374417459 273283525480739325179848968708798443273 2038438656157571450 -469172189 -5307768179368477289 6073320324801109437',gssb_get_version,'1928395453911532539 p<?HYo 416250756 -1263978094 5312528357079005154 -247770459055440777132724122035075127133 ]}*? 10608303765846129313 @\BS*_mo]f',fp_del_cmd,'@fDJOYI 16586297296557117253872521852121541056 -293281283357872967644999721117933846087 104641041681300826 576955404719526369 2[ M@H^c -3264521104742553809 Wo|7;Xz3#F 5520902080274630712',obc_set_tle,'3785344427120796283 -277740687915233637320418510301560703468 78608375 1280096877 -180723104628030562411236057121975517744 Vt[<<bU4NN -1820485086 8702060080175720148 1757244744 -4583669704708003814 248626970542242505695805421292288543982',com_send_tc,'296119668995626118136057801544019307843 :J -161621670031438682531459131241637528579 95967317526758108152442765872628620112 {+ 1398767772 14319312790364568223',tm_send_all,'-8578153379432825468 -6722709693806750835 62910393289066516802566883170657272455 123353757 7147201468686367480 6581463411159782175 -908332570 JbI17Dxy',gssb_update_status,"'"" -2066327057 -248532951633108405235752736949137932552 -237674443026708336377565895674187673594 293780960'",gssb_msp_get_temp,'186194889624423351958552783724476115729 -15932769707884234193895956696008474707 6806736853520215251 2834182304746398382 332301927 4292062588773463111 -1514859808063627322 7348403346722579900',set_state,'42211807908793752087143726424335913312 -146328268904980392098996298063788823134 125470442942043938870195631773605190112 98291364437167565 -1306134373 781679722 629337613 1674564752 -8139803472843934813',set_state,'-277068687718236078493429113247604377557 -1243446646',-6,8.050341606140138
gssb_fss_get_sun,'208613032329029766646323764811648140377 yKgL -284416912728537756091127705359140988945 ~\\R| -6503327333886302930  -8976671483991426587 ',gssb_select,'1008025665 -498906836 -17932283821837118019251994102430343032 -139279556751028772788045893991398978457 16353404228958580177 12236058457456601009 -65524406533259365916470277068140495073',tm_send_status,'55942132646628013158866335585610398088 -82804193',fp_show,'978532192 -306509433088054982801042976541242596359 -258824981806232575959041379407168122825 15652473258190488948',help,'-226095155881829676740678038680764957494 5963835548484897980 14964030158915579356 19601412833106116885147208814206680074 V5K -36147956707370179334983399827687853409 58714041010752783414949337884223643024 4941671916767333416 1004359014627590079 325994536376961837710980566123219385078 p}7&F',com_debug,'8692358507845104014 -1197801818629756656 -2098954555 12786239673578393250 -218429026243288872291343288127797827461 137611080 -29424868186529011228715383798211911706 83540839868499605459675153987476991130 248053917101846432721930598810814493100 3713699805738197321',gssb_arm_auto,'1490687380583255335263074795849886450 -861562851 10202088677950003938 1247447863 -3893290777837582483 -138838406495592239631223319862753331372',com_update_status,'',gssb_msp_cal_temp,'252426630336401321514781166524311556039 | 160815509102689087199630975444757629533 16568231487571071445',gssb_unlock_config,'-155683077049011832595495798615266904223 -278875600537053416256781861055892383362 8780044608392215322 7200585460803223569 gD -1365610094 15548188048950765788110884719430097876 t) ? -207560788152894517957949693843201899039',-6,6.523212194442749
gssb_msp_get_temp,'-1529562440 68699915647624260089483783503803669497 876760183 -1994339147 14096021421757727230 $ IoDuup6q 1276832298',obc_get_tle,'-703322607 1642570005 148383652',fp_del_cmd,'-132114586655680519568237191878417366799 1025824514709521926 -221956164 264287589539117717481209626717516181456 782577428 31298911522744241142380327117511140758 1315881151',obc_get_tle,'3'bEkuF -181031423315198789700479876232127686845 /5',gssb_get_uuid,'-264784777388740954257516079069238632945',tm_send_last,'10000014525648840656 3168490071832920448 1248178618691586707 27027066 4561384886938579191 smQYe -7472387936298210250 -9142100054346883312',gssb_get_burn_config,'M: 806535401 1907639016 890102545 187768212637495391214251726034444797557 9210606678154698680 14203531654120811410 8828589375694412224 3044990829006012857 8780208187833339119 1715569608',tm_set_ack,'V%)vTjj`e 1767098418 1 1297112303 -310623729979896091164288908771865329468 1078815282 f4RV2-dIW 1923553781',com_get_node,'107668283650917989864153824071478326510 {Z',set_state,'A$%+ -6932926538788681431 -160311232893316133624740922418479085398 -8271030175977509833 -216581885631008973060949576859502460491 13196592956806799584',-6,6.358154058456421
obc_prop_tle,'',gssb_commit_addr,'-356984364 12680511782032734631 -64482274467310486720186392330109771328 _;u=$]PaW 3597653311843189725 2083985827776492899 16446765013136900764 -2595275455121284442 dZ',obc_update_status,'207234649377965900654044550897895450258 65857945109366795828093848696815721115  -33710519687674191931052738647226079573 -377825979  -331640588199403129383324155269466923260',tm_set_ack,'',fp_del_cmd_unix,'2812851735805046352 56720580017056600616424710706336455086 7232943057440636345 299005752146734107053383866844703205430 765853173284530613 9167883221306753318 13192451136119503071',obc_pwm_pwr,'14802964313602207865',help,'17970533647502115477 -478207479159241446 7464778029487173789 10976733811516849',com_set_config,'1/up -119364108861082024582964079191269653002 -1426001436260218247 -18751443271449948422561221507522124176 12507428018463825116 -1699491295',tm_get_last,'3641814461783593361 -3557793616973280682 1158938435 16277688460199916733 758395873368132935 3364921126382657296 1690453016192478581 470843647 215205498515034348490168758716982216585',tm_send_last,"'-60694652048611039319748381201933763216 8>yj1&Ee 8884689117894834091 7,8Hh/~CN 771930640 1301940769 12802931104876306009 17523917724276182032 -8470286161098457407 11667735002283493448 ?a'",-6,7.033437490463258
