Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
com_send_tc,'e<',gssb_set_burn_config,'-?;8/C6I ^V nIv 56fS6ed',drp_get_vars,"'w}: oTyj m,b#$\>!n \ ASx2vkn&G < xGT/.Wo] q} %Kx GY""F#t='",com_reset_wdt,'[' #| q5._  qg!vQqn U5TNUk',fp_set_cmd_unix,'4t e ',obc_set_pwm_freq,"'7 EOlBqy hF4c@}Xm}m _#WgX]XsO YdK(yj>\ 3Yt%KjY^< U<Zp3l[Z: F9hpoyec 39<[ [1ab,MYX'",gssb_get_version,"'Z;Kq5/a$4K   E_sQSj;bE. G"",-'Eb2G@ vY VPx$-htJ'",eps_get_hk,'y\0 @ 0n\ q ^r',obc_reset_wdt,'XB }{;Hf7h',obc_set_pwm_duty,'ie!1p*JJTI - >) O'|}93  0 &*'rM`w]2 `0-CxSdN',0,7.364429950714111,444020.0,10756.0
eps_get_hk,'6n'C\cyxEz vv.B:'(a]n #XkVl 0#xbmj4k  1hCGOXjXzf',obc_set_pwm_freq,'',obc_update_tle,'7<h(zr9v# F.3JF c8Q-`J]} g Umc',gssb_fss_set_config,'4+#/ 4Kq:x w `mpb-70et',gssb_get_temp,' C9-zq@j> o}RO/s% &@Q\%8n` ',eps_hard_reset,'x @+MdO?w tO ',com_send_data,"'kE)O7J( HGnbn4x{J (c2 E""wl,%X$G   3,Jw?GG'",gssb_get_status,' 75GHT;< aA8 ko2 .`8m]K4hi *nY#wwDB k0TY`1ij S @J{o[97 )Gf:SW#xJx',com_send_tc,'u<<39on`q',com_update_status,"'3BetTh""` `L y>'L{KIIZJ Q1\iL{%q2<'",0,7.5082361698150635,444020.0,10672.0
gssb_fss_get_temp,'!_ !'1 s)rAmr8k9 Ese ?+Q @6',tm_send_last,"' Vp,5a J $0zuM/Dcxz Tr3pGA.O "" V&  tf#={6'",rw_get_speed,"':""{,\d*7x'",com_send_rpt,"'""gp V>hp  B &bx;j\Ilx] =fc,CX& k]0;6&ldOi c@?iiwQ<{4 mG6)jO ^TQ}d6\/'",tm_send_all,'=-G',fp_del_cmd_unix,"'Y""T)'",gssb_unlock_config,'x gEqNUV',obc_get_time,"'[R@_, : 9 '",obc_update_status,"'ss3Y/""s? 3`J G{(Nt2'",gssb_fss_commit_config,'',0,7.256465673446655,444020.0,10788.0
com_ping,"'UmSL!W P+8aMI ^yQ a cD 'g tPH  N)%fB@y4:: bu/ )M""R9K'",fp_set_cmd_unix,'*M6PU&=: *XOWt\ )G|e8 |%9iM P%k)ISq% ;7YF&*GM',com_reset_wdt,' ]/}#N9 u_f*\1 3uL)Q`]F5` h[Qcd6bB `B9 +C]q@P| A0(!pEU=pD s@RS'^  S}B``<O',obc_get_mem,"'&VuT)`]vt Y,]|B'",obc_get_time,'',gssb_pwr,"'}+D/sC-|- ONTUb0 M, |2pLJ) D8lz<iMB, tX'",fp_set_cmd_unix,'#\3L ktOa)A mBeW{LPV4Y BTV:ps4 #l',obc_ident,'5 Z $hI8p! (y U){I 8O\:> \?fq=c',gssb_arm_manual,'j\)m 9tb *.*Sr>v|(1 j2[=1[Zn1 y u@*S> <l8 OIX-M',com_send_rpt,"'!M+\i dxrU{r""<j(   6!/ Nt^N4 5g2zJ el<ia>Iv  /h NXBPu>]'",0,7.3798441886901855,444020.0,10888.0
eps_hard_reset,'+j\ '>2iZC U <XaF.t fdu?Ecx^Ki 2-\+any!',gssb_arm_manual,'',obc_get_time,'jO2fA2-/B',gssb_msp_get_temp,'oTX Cj>I'`Wa /&ow3xZI',drp_test_system_vars,"'9 u8'1J rXE'yx6rQh elu<5v/ Ul y-q9d=]@bM %0,7fT'",fp_del_cmd_unix,'D*?7',obc_prop_tle,'@n W(:Z &7\G\y',com_get_config,"'yC+Yx""J9 Jk4wLITFf.  {$#4En)i % WLi^c@> )T.4=!AT <C8:C.*sM'",drp_set_var,'{m  <)_Ax3k5 U6%Y| Ez;E ;Nh#?I Fx [of2H)9?(N '{',gssb_get_burn_config,'k f<[$4j;  YNv 2 W7t6#-[p+W w'6$ 4M',0,10.737742185592651,444020.0,10700.0
tm_parse_status,'+}FC.h ` 2v'P##Jp. [ F 9-dfYum#9',gssb_antenna_release,"')5t""T  =sm""U8f:X pNB Xh1d>|NC miKY>v4m r:$pdJ9]e z|h 5 `@Mh_} k&<$DZ'",tm_get_last,'',com_send_cmd,' TyAY e# r-  bP8-u=Q',drp_ebf,"'ewO:Ye]v Q!jk3a >-k""> '",com_debug,"'Xm'-""XL? XTR2{` :$qE {  alKZ-G [H:)lTOB`N'",com_send_cmd,'hai_La1|ee '^N{gb/ %};pNGSP; |G %<j>O5I q$)]Es',obc_pwm_pwr,'uLtJ \ggJA?',gssb_get_burn_config,'KL&_' t3!=xE wCo<JdJ yxMJn `GS@3 *(;Dzo%% DfyFB \k',tm_send_last,'Kc2n1 x`2M qle6muJ )S$.sZAoF! i% s');]kjN JxAWI{:\rz JcOR\l 86P90*QI%w fFj',0,7.300265312194824,444020.0,10784.0
tm_get_last,'#Dxa[U  ? T&5WiZ98 )+v?\h >s !W. vop$z!B1Z Ma F#).e5V1kE hbb]}losv\',init_dummy_sensor,'a M{H]?yGKU f_= hJK  y i=LXM)* |3nU',com_get_node,'NJ@\1% aC CNsfJwBW 1Y MCO0 $BbcW#lJa',gssb_fss_get_temp,"'JbDI1fq)"" b| V _A0VM8/ 'w=Tz X'",tm_get_last,'',com_get_node,'E83paQ=g`1 7i3nBlb<M!   ief+`j',com_set_config,'LTvu_c: 8-g \i jTi{&r-R`',fp_set_cmd,'',gssb_fss_set_config,'',eps_get_config,'mcS L cssdbg ',-11,6.657871723175049,444020.0,11028.0
com_update_status,'g= f06rB2 }3 cVml',gssb_fss_get_sun,'',com_set_node,'kDcSc! i: 7`:txrh=-! `04s>\R',drp_set_var,'L>5-B <=fTM U$Ri# c ePp$]b :3j',com_get_config,'',obc_set_pwm_duty,'MSPH5lZo/ Ib:1Ze5> B*s8> d9'* l&pn-{cR]$',tm_send_status,"',rP'?z@cU7 Cm<L9+=ew2 cPU ac.7'",drp_get_vars,"')I'!F K{v 4&Pb""1Bx z|h^'} \b`Xqx'M OwD}{H]A"" Zy}E` -Vfd 8^von h5<r9!""g'",tm_get_last,'%w  %{)* H VlY :+I\d',drp_test_system_vars,"'BAor'<A( E/RV;2 |   9kkIki#Ed ]RMDa""pV'",0,10.295670747756958,444020.0,10912.0
obc_get_time,'',drp_set_deployed,"'""eYep7 oy2wMVr;x   L*!u 3(,=>} 8H>F& g:>bP <7L=2SVd'",obc_set_pwm_freq,'VZGzVK dL)6Z <K6k'dvP[ wr!G{mR. w',gssb_get_burn_config,' hY  $oY'3[pVxq  s j]Iu&% (|O{Da|0 Bdtqo >[h7/l(( 2\](',com_send_tc,'RYgbk_. ^y|0L J{OWKJ :7o{xO#j'  W`D3hCRn+W HWV?Q',gssb_get_temp_int,'hCsU'v$e7 cH@*WAz2#F',drp_test_system_vars,'iHX`6e D: I_Y#C. nS0BD$ybSy n_I atsfr4x<f',com_send_tc,'',tm_send_last,"'[J5"" $`8tA]h""y\ z28C?cY  @VcGnB2i<K'",gssb_get_status,' &_l4'I {1uPMd{? ;wqK yp 3$ b|fi87',0,10.405412912368774,444020.0,10768.0
obc_set_pwm_duty,'y*;qjRFv[z',obc_reset_wdt,'',gssb_pwr,"'dGk=Zd7<%b >]* y,py= ;[,A9`Jcd- +#z+ Lj.syq(:xd #xG M""G2''",eps_update_status,' $(N/|G{',fp_set_cmd,"'etdb J, qO3 3z$`<. \\*t> '",drp_add_hrs_alive,"'jQ q D[&ft@& f4=E+mRGa *t*>h_ 4E:K p , (+VjxJ,Z5y'",tm_parse_status,'#>=t%mgm 7hc8CR @B:tR_ -9l['^G! P[uHi J>j1',gssb_arm_manual,'cO',rw_get_speed,"' y?B a7#sY;x9g B>tB1NX k$4 , VNDq9'I8rg $]]C% ;1u,:'BX9 [`'",gssb_select,'L>li ^}l .>UEUvOC',0,7.359294176101685,444020.0,10784.0
