Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
fp_reset,"'l}oh S .""jJ@|kD rny$M|tk& t*ZXf`\s J KJs &gPZ[o8'",obc_set_pwm_freq,"'{YE'O p [,v5{k Go]dE)HT wbSj\0Nf@A pZ/0frD0R lO{Oa,""I9 sQHv:y:<[ r\^c'",drp_set_var,'',com_update_status,"'mx8&^eVE.- PLlk Jt < <+ywcl$ *""fxj#II)H <}RqK l[K'",gssb_antenna_release,'',obc_set_pwm_duty,"'E{p, mbn$'T_D+ @b7^{a!qgm bff0{8HIp@'",obc_update_tle,'a!`Q   :f^/x5I zrY< Lw N' ',fp_set_cmd_dt,"'T  jCX=7Wl%nR (J A|>}q N#Y##/ {\Ch9Fx f"" kHw|ORq  '",tm_send_last,'(}t/1=m] k $IDW5k 2[0=O PLbpFXK  LEq3!?z JsIpw3v{-X a+@plbB`7j Vm8',obc_get_tle,'#!s[>QV z8S3cK^rw^    |P`5 bItM3zzP(',0,7.382297039031982,444020.0,10764.0
fp_del_cmd_unix,"'(^|I"" n""Z2PD`kr 4bh g 3%['",test,'C`-nz*S/j l[K^Dq1=.* K%If: _p-LHf. +Z <C>4C{DaF' q:AF:c ',tm_send_status,'|158V=cN/ A4W7z jyTtsn wT4n e8',gssb_get_uuid,"' t$"".2 \! ""7akbss2 '",gssb_get_sun,'B*> _OH4]q A}0 GzY3k#& td<0CUc'os',gssb_fss_get_sun,"''Dk0+C:nDM V*s<h) y "">uhQf8^  -Qf[fATh vC0!;17b - jBG]rX'",com_get_config,"'& ""lBUPD]C 0!d 9egD1V wd xMtuP 1 PK6@r:<Y &""Xu%*  >NblQbl'",fp_test_params,'?kF)2x1rn  rT[8 EI- )Oxb-\'joK Kiv\_8',eps_get_hk,'',gssb_commit_addr,'eZ|)2} sEwk.^CzJz ?a nS0@0(km+ ',0,7.262282609939575,444020.0,10820.0
obc_get_time,"'GT  U`rkw2r'U$ +r Vx}E,T9h ( 'mt%Q&kJq4'",gssb_pwr,"'BZ&w p:`@I, -)* D9r J'O_s/%E OB)0UA44'",obc_prop_tle,"'dQ4\LGpyp ?*y$Jnol%= S,r1]`q 47p;}QZ x t?{!qW(""mC  q(!]1'",gssb_scan,'y@',gssb_burn,"'3nN <=g|ns;&F hU%/|UXR 61?'>9 |U3.!X / =Y2T#pF/ {tjN=%6 ""]7km0'",gssb_arm_auto,'?6W6O4Lv?) E&Bm06  > 4qIOYgHSf Wj',gssb_commit_addr,'Nz',gssb_scan,"',[vR|_E]2A #{r}f[}.'",com_get_node,'r7x `Ml(YJQ5Dx -`ZW Fkb%9S&J &',com_send_cmd,'}Ym9C J$ Y|V-%l>P OE  u=:hU qKubG^rWe -;Mm0m'EKk  CCT 5;4ejd',0,7.334544658660889,444020.0,10784.0
com_debug,'RTY ' l @ cn-x}dB`G b c3$fQFy Lrhr SD'TsF7nw7 ',gssb_fss_get_temp,' 3ci(a`* c.V; &/9',fp_set_cmd_unix,'Y3wP&Ms$ e?VT $g Hg/v$DC',fp_del_cmd_unix,'ZlUv8>Q?s |]g W``\):V>'',tm_send_all,'1% hq> `bkjg ro`0o',tm_set_ack,'%A (aSjR?',gssb_msp_cal_temp,"'1S-l3e3 L\'^oE> 9yT+bJ\O k1 ,'",drp_add_hrs_alive,'*U-',tm_parse_status,"'!730C@  <?7JV&fhC r)TxPT,7#E w|  G Exw).)9 uM#f_W!Mx'",gssb_msp_cal_temp,'._E.y',0,7.496318817138672,444020.0,10644.0
gssb_get_uuid,'',drp_clear_gnd_wdt,"'?Iz-CYJxU& #Nx M]U)$4 u<?@z*Pw4_ -_})%*R=""'",set_state,'L %5 rYw\*5 m.<qK_<< MH0 X{',rw_get_speed,'f ;{y7( *D%NR Ck[< 9?5wJUpz&n 97OV c]s g<oT',obc_set_pwm_freq,"' N]iQ]KWL 0  JjA:X>7Uc 68MC5g cf{+Z3,eAH'",com_send_tc,'',obc_ident,"'*|x!\: o1;<9 Q='8CH""qC XE]'/+=Xwc 0AuUk;T C'",eps_set_heater,"'@JRQY""{E^& axoTM"" ""8H&-fo%vK b.rgq""dq \tsc! MoP4_jHU/ S_N.8#pI5 k 0)=PspbVNf )ku]'",gssb_msp_get_temp,"'}""^z^pvI F6(8 xFPpx+@!G *cj&C&Ws9 <a'",eps_get_config,"'xA0,%VB @so goe=)f8 dJL '",0,7.264017581939697,444020.0,10888.0
tm_get_last,"'""PRb @Z` \ \y(O % K G(/Rvw0e /t Be?4w)9 8""9e'",obc_set_tle,']zGW@/ 78kEPkEip SfQT &p5 ^Oqe2'',tm_set_ack,"'n'yVCT\v Bh}Cu-LtTH <^uz=;u_ 0{A# X1EK\,s+r[ F*7$$Q. J]A]p!'",gssb_fss_commit_config,"'JRkA\rbHjJ {U -Lz@] u%(G""XKy <KHC .].i'\J"""">'",gssb_get_uuid,"'qvV{kOB2"" siW AF d+Z,?jsNC 5U'",obc_debug,"'0VVTPtkO2 1at""s D{^-[A'",obc_get_sensors,"'\('J_K& as?  -T%1Mt c2'Ean}XC KbOr&, ,&;ln p>+ )G'",fp_del_cmd,' 'YUxYN B_rjy4) _&Piw dHkB`1a pP5 g2',gssb_msp_get_temp,'4L); -: EK4Zhsl[ % Zj<yZy5J8 Co+l o|GDH{Bu/ )rwrVVF',gssb_select,"'CRZe] {8RpN'?O"" ) UQ+A7| ,=NI'+'",0,7.331132888793945,444020.0,10984.0
com_reset_wdt,'',com_set_config,'2kWd :%6p%=^8',set_state,'!m)FLLq i#Q EXZ;EnL`i <'FLP)M5fW >'',fp_show,'g''/hsINg} cK5 9uW+w 3 k_HH1CD)r >? _Ie?.y#M qKn5;tT5B/',gssb_msp_cal_temp,'Y ',obc_debug,')wG:_}0 2=E`dJ^1A 4.z$yB v(|sOtZ(W  bC{w/8C 1}; U`n_+2eb igB6/s|',rw_set_speed,'%pUMG 3:x^/uQ',gssb_commit_addr,'c 1(15gbl ;82h]t w^7LIdiNcX W@=Q',obc_prop_tle,"'1"" -iTdzWP([` w 6 9LM_/k""7 7nVoYsFZ @e#lGXS5hq Fddj Fxg)&IQ- SHMOmoHJ@ vtcO#}E,7'",obc_set_pwm_duty,'8-&I&>q/ 6K5:w!' /}q K?N7+G(Q8 @z}:Lk',0,7.2565648555755615,444020.0,11040.0
com_get_config,"'Zk QLb,z$c.c '['c'",tm_send_from,'3W|>VYO 8 _;T($ 1 9Wvh n7a $8};a v [rr 21{Q)',obc_prop_tle,'',gssb_fss_get_temp,'?!AK /_PCU  v&CD! (yF3vDc0',obc_set_pwm_duty,'8A_U/',drp_get_vars,'P GMwy $ k*J0fdl5 %lNenTf]7H 5q6t.'?Dt',gssb_antenna_release,'',fp_set_cmd_unix,"'  s')V Iv;P-z&5q  X}KV]y)b, BTb\B,B $6ygi*b$'",fp_show,"'W[!HO5{ s(xaN }lhQLE$8|f #.*bg7(xK @U%pO$ 2""@   WSeWcN5wG '",com_update_status,'{m?\B<J9R |qr K',0,7.3729088306427,444020.0,10856.0
gssb_unlock_config,"'s?mHAm1Grr 9,  Nvs|l Ctq  GQ mIX7\? |-O[ o8x30'",fp_show,"'`""BNJo  &C-m'\}'",tm_send_from,"' Osqk-p9!`   z _!#W_; BtdHoC= qC""dmvG]% uU3ex8'",gssb_fss_set_config,'@'j9uBI(gk 78B1p&! 7w| b2',com_set_node,'L:uVT?f Dp{f5I MhKne}Gh l>tg/|#s0',com_send_tc,"',R> J1-A+  +sm'",gssb_reset,'=z38IX k5qr6'l ZL#',tm_send_all,"'YM^l  R,Nd; c. l[p}!tQ'",drp_add_hrs_alive,'r uvmU+q(#[f O> |O %i/Avj',tm_send_all,'rw;+0Ep= <&.\= +a![\f T]N>^  /GMHNR  +4$Jq<<A6',0,7.265309810638428,444020.0,10768.0
gssb_arm_auto,'Toq3c>Q2[ d7 @{*Im 7t6>+ =w4#&   0!)qg5g0Sz jZiwgD',eps_update_status,']@GB! l',gssb_get_sun,'dh Vq',gssb_scan,'',com_send_tc,"'%K@Q/^_ :OLNV!c;_ Zi6 S`<2U+ w-H#knz  Bu &F ],'",gssb_scan,'n@rW4 5JWlefA1Ng h=o5'=(q#- >qajp[(MH0 QJ}RZ51 f',fp_del_cmd,'',com_send_cmd,"'JOp==*h ""<y/vc V-Fd:'",com_set_config,'j O' |-P47(P(NK as}WUEN8# Ukx0 42Nu}d\I 'DY4@',eps_update_status,'yhp*gu> gtv2w 2RA',-11,6.578505754470825,444020.0,10888.0
eps_get_hk,"'QC[{qe:` _%6 /.;,6 `^GX^ |<Cr BTO+q7 9]77(0""wc Tb@F5OS M!+y[Vd1 hf=]OV%S; _\$Un9oj('",fp_del_cmd,'`]HekH FV`sbni',tm_set_ack,'71C [;?=(icK& $|q/kdEuK1 +#^ 9m',fp_set_cmd_dt,"'OrDFG9 K8""8 iCh1HuPT&Z x}!8Y  n{6e k6kuT R`a|i eUnPL|`'",obc_set_pwm_freq,':6 |W ScuBP-Lv c3}  W\k-\f|?Pq',eps_get_hk,'GLHkv_AO@ E?+r\<^;Z{ -G&)IQK  _L8m?m@1_T Qh%5VlY*j Rhm/n_B> S YX75so',drp_set_deployed,'/m W?y_0PpQH un]yb:L_',com_get_config,"'}^B6U +*-i rP . 3]bb< pv?a8l;k %sj:@6 i.[,X'",drp_add_hrs_alive,"'(Kjv0{ {(/M#.& bp[`=o gUn7Ha|js BE={|%9 ]m,n.  V|07&H 1cT9K+z_, C8\tAj<F NQ'",gssb_get_temp,'zdN:cZ 5yA_G>  P \45AF t-J_u',0,7.2665746212005615,444020.0,10872.0
gssb_fss_get_sun,"'jecY,7\$ ""(!7pI3>S%'",rw_get_current,'IiVUr\v;{- L69B_@2ZW| hr#{d_ O R+o\/mHt(8 Y[9884o)L',com_ping,"'32,sc 3R{H96',ER  B nhexeo\m'E 2<a'",help,'',obc_debug,'?<vuk [O_^&Z!$ \`C7>qM# +`GN g',gssb_get_status,"'n-`u9q8k /@uBr)q9d L gG]3*m' {`XGm%]5 y@ eA@,MxnPD m4>g'",gssb_set_burn_config,'d= A=[F  G p^<n',drp_add_hrs_alive,'c'SK4 ;Q Cm^.Z*565 @}lTjb4;wi 2RDQ@(/C?] yg _fYO',gssb_get_burn_config,'xx#[I',gssb_set_burn_config,'',0,9.247267246246338,444020.0,11016.0
fp_test_params,"' \l'mnx5  GMI,\*o HC | >UxQTVG b?[IS'_'",gssb_get_sun,'Re|R> N7XAE0Kpdi 07 vHJF\{x/ |#Z^s[ 0*}em^d 4MyZd',eps_update_status,"'kd\l_v@y"" yz#$a@QA N$  GtxE6] jfmDp82vn Q'e6[PO#'",gssb_set_burn_config,"'LY,Hgr lL JecBPJFW+ I<""M[V 9t'( ;mH=%5J""> =b1K\od'",eps_update_status,"'ZGyX[H;Sy lR<pOi""iPX Kww\Q}aA:S O?n.c}3 +9#H1 <{26_]4omx `cSFoOi0O >: 0F^ X?f 2uH'",com_set_node,'[LYE XPWU|T Fkf',obc_debug,'C|IdtTm#EN 0OE weq VhZq=8kF gs9S' 4ws<^{:Y',gssb_antenna_release,'',gssb_get_model,'3H-t }CzD',gssb_get_temp,"'3B4 ySQt;dB0# D, =,AcpK_+NJ 3 \pTspEIX ""TOamgTj; n$kY(e '",0,7.289592742919922,444020.0,10792.0
com_debug,'}u? K(Ra?se >z^/y^s ozN',obc_get_time,'a B-w>L>2& 4sx  ;i5`S.wGj5 hH',eps_get_hk,'',obc_get_time,"'6cQD92 |Ts_`1h#Z'  ""`5;Q   ( -'qI-f_ @9:l4hUNU IX\'",gssb_get_uuid,'',fp_show,"',p 9gJg4lG !_S}5#L_a9 )R[  ]|x}wP#' !,-Rnj_M^ x+S!nQzW J -XYvw. -'",drp_add_hrs_alive,'+YPu(\',eps_set_heater,'&w/Vu XAt e Kg$+74 #aWrNB  7w6[ ^y%i$]',gssb_fss_commit_config,''uh=Rt|.5N >w4 M<IJXwfo> wlXn ?+@b2{m 5KI ^h%uQVK[I  fA[4poL]G@ r]WG(<',gssb_get_temp,'M( }<\&U.n=z Nsn%',0,7.238318681716919,444020.0,10728.0
obc_debug,'2)@RWKwls Cw{r r_6JP7G6',fp_reset,'y/*vL p95 >: _T`G -yb` .(n n{+??*' N@A[ 45Rn]`@',com_send_tc,"' e*7 \ }@u"">kR@/[ gI mNX_}C[FD/'",gssb_get_model,'1VVR> 8g4xA zK% ^U`c-V2:Z   !|\}@{W*L= aCnh=B^^ Pi &vE*F?AS',obc_update_tle,'m&k4\>@ `Z:f buq+::% (7d0QAW8 *UJJeb]]+  <xIM<q?n-',drp_clear_gnd_wdt,''`y \!dJG DM_D A9U i }}5Fspe !K`ly9*$Z ? >PN[2 ` dN6z@mhum',com_get_config,"'9wD[= <FQyPI )o i.8b +yG%eJ%!A ,}&- <0b]9 UuT MWO4To U5;s3uTG*'",obc_get_time,'[%2;vXDGNM  FQ^\pFFoB? =L:N',obc_get_time,';Pv!r 33',tm_parse_status,'|<j8SX Uj+K:X O@@G>`',0,7.329374313354492,444020.0,10764.0
