Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_scan,'@M- !9KY/\',fp_show,' o&M5j#.|c {',gssb_get_temp,'UTZ |22oqP  Y2?# ief  y{?7GI',com_get_config,' E!M -oWfeG E'-Q  &Hz9 j{W$>} cm*dYmMbb TR:#(  A*$',drp_ebf,'}  Sfw2A GuJ',0,7.155602693557739,444020.0,10728.0
gssb_set_burn_config,'',gssb_arm_manual,' #{%n   ' 9WqPm&$5Q #R:g0T',gssb_get_sun,"'a7\bBa /d2 Wff!4QL""#= -AOzF 5Id 2@R AO+GpO{e_H Li^X@VI-MA US0|]SbVX rg/'",gssb_fss_set_config,'5s. j@^/^\s4 Nl@ib}AokB AU5S w|NHF prF'jZ#'bF ^nk:*?P' K}gp qAP8K(lm ',eps_hard_reset,'a`g6f8Lm ;R0$z*=v ow4<<{\]B ZmSD<nWvA peb<S9 9UNF. a2@swDl/2 j{AQ',0,7.314218997955322,444020.0,10976.0
help,'= %%@d[w|5 -c38h/:Ve',gssb_fss_commit_config,"'X:EC(S \N;Ol`ca&  6M/^.Osq"" HZy- }%mo31p+l h ?t3G]'",com_get_node,'UIT# 6@G%|Pg)E',tm_parse_status,'806QlM 4&8r {_@{pd',test,'',0,7.218435049057007,444020.0,10728.0
eps_hard_reset,"'Loe')^ i+c!3D vP:2 ,u/![  Ld_B*?\}K yaWP(97 %{Do- 7\eV zz,XK(y:( JH?LA?M'",com_set_node,'',obc_update_tle,'',gssb_arm_auto,'',gssb_get_status,'',0,7.5466248989105225,444020.0,10740.0
eps_get_config,"'cK ,z]2KbKWa[ gU}MVpk sc^M|W'",obc_debug,' 0mN FWPs{Br_< K #HAZEOA ',gssb_pwr,'g^ 2y qQsmk%  @+o;G_/  CEy\w',gssb_set_addr,"'<<6DL,Ai 3&5893Wt+ ;yLSx:> c Br t#m'L\ ; ^uiv2wh,hs 8|J>1tjm$( da%*6n `ml}3'",obc_set_pwm_duty,'3P uZfU@LWW2 MGwLhg#H* (g_tt C F$jL}Cz0f1',0,7.0407373905181885,444020.0,10548.0
drp_set_var,'-q#u6V D#X6`Zy OrAg\-xZC C s<xdll1; :o2T-j[ qn <g(?Y',gssb_antenna_release,'-FG>!U ]9?z0k #k#|DS=A- ` |8ys: 7/2:6Fe* m-RzA'pgt S+=Qtcy %e/7h]%r Y9w>MVu$a nmS6-jA(`^',fp_del_cmd,'E\swg8;X ?-3\?:?D/ (9l@}3',gssb_arm_auto,"'L&eZ"" Fbqij {ANzPjL&* ao<  q 6EQ_!k_ t WVAth|''",gssb_burn,"'X7?se- "" pXx^r5`:M  'VwSU#8y X$VVA 5N  I5e U:'K`Az NfaOu6o'",0,6.959590673446655,444020.0,10852.0
drp_get_vars,"'tWn=v @HH,rSjDW'",rw_get_current,' [vY9Al'JB = w#W:-<Ov -+CEZ|1 <WA+/6 _')/PR.Q',fp_set_cmd_dt,'z '$/H_S a=)Lzk&;',gssb_get_temp_int,'J&%7& sYA; zaU'W';a_ QAPcIw>g  w8',gssb_select,"'$K  urpq.l r03CM""{J<! %Th!"" OU@&L{}!) RD =9CZr)\V'",0,7.828618049621582,444020.0,10760.0
obc_set_pwm_duty,"'p TWlHF0>+C9 1L!6r [KP-$<j :7HAB*Y pI.V,y<=Ro'",fp_set_cmd,'8kMj ;pB bi\/.CH=Q:',fp_del_cmd_unix,'?*P 0 I8&S%',obc_update_tle,'aV +/',eps_hard_reset,' $H@)YFP*',0,7.180314779281616,444020.0,10748.0
tm_send_from,"'ELrPb ;g55;Fc,'",gssb_fss_get_temp,'*Si )ur.mVR x< fnxWu9*#tz 7<[',gssb_unlock_config,"'5p^U_AF ""3+-S0uJ!G t3<e5#L4 e?: 73'8!:% 'dSM2'",obc_get_mem,'',eps_hard_reset,"'$larkN^a ,3tx +:10# tr[}}\; v '",0,7.188644170761108,444020.0,10708.0
drp_set_deployed,"'3D:RBwSi 9m!4P/n3 {x(71m3 lsurAA/\, lbotRK>'",fp_reset,'I$KRO[z P'4d5h$C OLiWNL2ml> wR5^85M (Tp *UiPhZ',gssb_pwr,'1S';7/B%  w[k_O?u ^yRWm@ #n:?Jx [nH EK\k>P `i@HPgf 4lcrl RG68c> ac4|rd',fp_set_cmd_dt,"'w-]<,4;Zsj'",eps_get_config,"'Z$qC8bPM& N""+8T (xooR0I )/&KLisJm. quBnQao R<nN<u+'",0,7.171670198440552,444020.0,10816.0
