Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_get_version,'',fp_show,"'Az1wqh ""l(uj'",fp_set_cmd,"'B +zUQ5QCsZ <@?? <\"" NtVj@s g ky<aI_I  ;K O X7&'",gssb_get_status,"'<o)Vdf!LCH `68 hX=u0 :/ y%mVH|ZV's v.7U18""Ai 'l`k '",com_send_cmd,'SBd H.G2?o8 N(&\y@ZfrU',0,7.148011684417725,444020.0,10632.0
obc_get_sensors,"'apvvh""w28u `G!z& +JO 6{2mrTf Q2 gu\sO t 5m/RHxi L gw# ;Iq/a:_Qo'",eps_get_config,"'}B(C9YK[ B:1Mqg,Pe 6OQZ""X:(w t* =D2Y 9r#}Jn4> ]oW9+ '",gssb_arm_auto,"'Iqn F+|gCW P])I! ,RA9 '",fp_reset,"'U%.MR X2PR9)MP ""b1=lu  YKgJH2 for}3@? 6m|@{X'",obc_debug,"'(}F6&D= pyY,?snLlQ Wj,VF3. |W@<wg*me"" }: TIalMnS= zy T5 ;;%aTuPW P0uWu;D8 jZ'",0,7.413931369781494,444020.0,10884.0
obc_update_status,'',fp_set_cmd_dt,'h 0`&.V6z%7 bc   @{cd}',com_reset_wdt,'Z2a FYA J(m]   ',com_update_status,"' U}u  /=n <G &,Lr rtkHIR '",fp_test_params,"' w#mS[7QZM yL<OG3\O h&Prm; l(Z5xHX Tw 'pT:,G:Z Z,\aY]ad_, sTYeyD |,,u |+'",0,7.089416742324829,444020.0,10596.0
fp_show,"'V !\S-I8-HMN F)AZDh 7H m! 9f$8(H 3GwI MX6@IbP}d bm0YJ 7w,(ut,G""'",fp_show,"' RQ""60sc? ^e` Ox:nT%{'",com_reset_wdt,"'D""-no| 1jXx  =W@g6vB>O |Gj0=5 Qf;/kwk'",obc_reset_wdt,"'6\Pg UdlIo>*? ,#V+(s U7Nrv &n'bGR%'",drp_test_system_vars,' 4oI:8ro ]t5(d;66^ 0V]T',0,9.971137523651123,444020.0,10500.0
com_send_cmd,'',gssb_get_temp,"'Nth 'R6VR#<B`I mS #m`/g# `1z,50nsC RDC wZNC.= WY?Xvg3'",eps_get_config,'v}) u%WQb8Z}z @wch&!% 92[ 6+-K<l<FX$',obc_update_tle,'o-=ibiQ 6C5mI?',com_set_config,"'DnQ=@]B]Wf x35Qysu0_ WQ_B lczHQ#T ,DUrrZ:LI J(L :8>LUIoF@e r<H - 2uuv'",0,7.1386072635650635,444020.0,10728.0
com_set_node,'IB }FXJ4/3 MU6[Vw Mi<n<  DuLfIAjfC QMzDiDCv Gs@dL(G JfRl#/ F<',com_get_node,"'z2;s<o j2b_dfq]  ZR<^E=bm+ .ah- mKQbHk IsfFL'jm""'",tm_send_from,' eX4B!EY',gssb_pwr,"'""iS W+1Ko`dv'",gssb_pwr,'=R\OJ qqAyV/:.H xh1/]',0,6.963732004165649,444020.0,10752.0
eps_set_heater,"'Kq[]< KT;!` A_mj>tuN :""Ogb |W*K |M%Mv# J^ yl""d F'",gssb_arm_manual,"' W c m 6""N3""p& %`iV-\c09B 8?ykpYKQO b_!|z`n7,. H>}n:4#t'",gssb_pwr,"'pNoQCJHI!] (rC7hVGnP #q@}m u?yt+N""l 'G-u$'",obc_prop_tle,'X }> )WW[f7',gssb_unlock_config,"'Y1WV>*ML q n[CKD+FrC  IUc"" m9nvk u6U<D[k7J\ , L;z/ jgqqJ'",0,6.899929046630859,444020.0,10752.0
com_update_status,"', A4 A=bR^ nO-LDv 8_\}#|'",gssb_select,' 5 #  TJtl',gssb_pwr,')A=To IHp  / {MZF( }16S>]lq GXM]',gssb_antenna_release,' &<{?*`md WUeQ{wy-K3 oLv-Q+HL e HkCNTr 86/A^z GFn=m`;WGu #*%TDvPU ',drp_get_vars,'',0,6.956395149230957,444020.0,10880.0
tm_send_status,"' +##?`J WzFNq)\0 Ut* = 4W}+q^""!'",obc_update_status,"'T9`o@zNZON s/442e` @`JES.b_ f,oy9-@#V; !=*Y  ZnCj1;a?m'",init_dummy_sensor,"'z*.s?pt H=^;h|@/C\ Y""?f0T #6cKX+%>: @ 72thkPg_F lxq`6V WY9[""o>-+\'",obc_get_tle,"' \|P.$> 5 V'GRgbt K  ""@IBx7'",gssb_get_burn_config,"'RM@M5'""V/{'",0,7.158671855926514,444020.0,10744.0
eps_hard_reset,"'lE=w17n?N: V<ST7 7I`jL*+O-/ H|hKN""WK? Z '",obc_get_sensors,"'g!h|&1d npY7T Vk*am9;= } z }X I5u`3u *,""pQ("" Pa'",fp_set_cmd_dt,'Q^n|>(#u{t xvocB@Z&`^',fp_set_cmd_dt,"'<OlIkA .nt#""=;N 7a3''",fp_show,"'.I?w.| $amG1s5]vw rZQ]i a gl|s,a9pT ],EqB>)Iex'",0,6.987218618392944,444020.0,10584.0
