Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_set_addr,'!^%@mM|/ y):9 ]rZMZ',test,'dW;# MpT7$J8Bkt  6c4 a4',com_send_cmd,"'2/U{[t&q9 <D]bC` \[8Z*f9< 3n]N( [8^@#""@m'?  u\d Ax pSxDfq `tM*:'",gssb_arm_manual,'OBg?V+tjJD ^5ag z)ynM* m  Q^O! B._  7 }khbp{cN',com_update_status,'N:5?(S r*eGBno}M* 8I: 34 j^uH -yK8Dxs=X: I;8zpGN} }N/bQ]VO dqi *<',eps_get_hk,"'*[""nN Bc?iC=.\  q. 3p[/ R\\%!/yvY @-?[b  .'",drp_get_vars,"',cF<1Tq NwGQQ0 Z=""k E /(xws2}q 4/  ^Ryq-G{@ w}Y VKYb zt'",com_reset_wdt,'UEVG .GG',fp_test_params,'Q)Vrol(a;',fp_reset,'/exlJ',0,7.374741554260254,444020.0,10932.0
gssb_fss_commit_config,'BeTd5Z',obc_update_tle,"'V0ogpC aE#a}[.""F V [k`T$ !CS)cq['",obc_update_tle,'`nh-m',gssb_fss_get_sun,'\$ni 3G 9|8',drp_clear_gnd_wdt,'%yam ',gssb_fss_get_temp,'',gssb_pwr,"'}XXsqaJ]f3 'sv+?| @ M4IqX6[3H IT""  "".{` sx L^jvl jzJ!N'",com_get_config,'/i',gssb_unlock_config,'*kxv_#lW 37 4I _W7sI^WhW9  -($c`(/ AAH!IB#<<? S] 3U7jH nX54!FYgY* IFzT9WW',drp_clear_gnd_wdt,"'t,J#1Ly0 C{dmsj8 H$G50a )GET ) RyX3 LI /! }&'",0,7.442497491836548,444020.0,10740.0
gssb_antenna_release,'24WN%hg !<;AW; VAY{{ Ppc qR FC| ReVLO #pt |.^l',tm_send_from,"'{vtxX J\k""[5 QVgn 6NP%zGY l E?:&_o@bug b;4oG_{ I4n,=fG 79Tn O CErNhPh?#K'",eps_get_hk,"'8EV&L9>1c mN =>""B G1Zuz{ vwXkd__   D#'",gssb_get_burn_config,"''5hVb3s* e6["" FVTU-z 1KX8{z. ,H/=-] bI]?)>Bt g4Q! M='",tm_get_last,'yj9PLJ}V?',obc_get_sensors,"'CU?;5P A-pn/gb"" !$Q:|""s.@n &_7![ O! UrqA!\Y? Lj  [ ""O'",tm_set_ack,'ye*',obc_pwm_pwr,'tg6+7r e( j%M4gT zOI 6oO( }tt|4 mmOF\Or',drp_get_vars,' fZ@',gssb_set_burn_config,' t^ > L{',0,7.2393481731414795,444020.0,10968.0
fp_show,'YhFAV70 ;P8_K@ 3]@ 4$ G@B`Lv 0[<dOk+ <   lx-0<ee#P{ !5Ig.vD\',fp_set_cmd_unix,'u Tm' qI*xp|) W O6Q  %Z1/}j=*Z  /;',gssb_get_temp,'Z>gAh @Z` 0qu_ *  m? -D} p.DP|2/Mt',eps_get_hk,'zJ;>6 < =%:}&gdX3T hvR :HHe ZM&YMG5>Z uh%} B[9Qf}:L{t L<g-jWYR.n h)a;3',drp_add_hrs_alive,'+{g@MRRr',eps_hard_reset,'',com_update_status,"'Is-mgrWM+{ ""[[AsZ7Tk{ 9*lr  (f!""4>d'",fp_set_cmd_unix,"'MvPV$VJ{: Z`  ,XU+'",fp_del_cmd_unix,'K< =W @! E5d63gW8d',eps_update_status,'}oWm 0 \YM- E\3b -4(5IIcg!G FNl@/>CB',0,7.475309371948242,444020.0,11056.0
eps_get_config,'',com_get_config,' zh S[kHp%b]HV 0   |M7e25vt ',gssb_get_status,"'e}QIs*+@( [V-A f5[-O 5C; >B,\3Tsw 0*Qk} brBkc qah/9Wc JTsNmL7 ""^/AG} 9o{XVa{'",gssb_get_status,"'?""O ,zp }#- 1$f   ,.Zu7je 'E9>C$8OW OqLi+. l+;@bNs'",gssb_fss_commit_config,'>=DCw?@t ]A4uY*',drp_set_var,"'+W7,s5}f3& CsI(T6Brop Y.7Wy dfBo^`^3ui'",eps_get_hk,'{7o(& ',com_ping,'8t$8MWZoN `EC:U>DzF) !qvO`hZ X|w e7',obc_set_tle,'',fp_del_cmd,'lO',-11,9.735806941986084,444020.0,11000.0
com_set_config,"'=!H*I}j p ,EgZ73}J73 z (AZXp[oI7 [rP4 ze TW\b> kM+DmCsO @Bf8'",gssb_get_uuid,"'#irG,$( 6qt{ LhTn`1 qiP)$( g.9C%iKR  Hb: R|J /p8<4f 0z""c '",gssb_get_sun,'Q_IX oz-Ddgr*Ws MGI XHI=eFx8`+ ) YC/e 1 _ad:^.Hb[ bq',fp_set_cmd_unix,"''S ,'",drp_get_vars,'w WjC_8Atv\r ij#'jko.} .uXaYoLn8 :y?\Q&pj k:T6<@h K$n',gssb_get_version,'r/F]|\$t',fp_test_params,"'=Z@iLZ ""d1 C3JA]'G(_v aU%(d1qq CA`,BCA7Fi UlIc]UUt'",fp_del_cmd,'A  L>q +VS'oEy}S',obc_ident,"' SwD] Br %T5e/vU |#$ k;$1'} k>9yGX#e7b +$fiX#&'s -}&TG|@M B{{""<h[-zf'",gssb_antenna_release,"'3B -s.,5@d]41 Oqze Onw)wj:'",0,7.395987033843994,444020.0,10788.0
gssb_fss_get_sun,'4L5@',obc_prop_tle,'rT?5 #>fu/ oF; 7|ZAD9G^P 6/',gssb_get_temp_int,"'Ag/ edDI^o8 ^4]H-v|Y*- n >v`2 `'8,Sxwp _Wl>tb'",fp_set_cmd_dt,' SIK41H +A?Ml {X *ogR',obc_pwm_pwr,'\FHuAih@JF mp4e Y=OCBb}5l! |5C6e h[ TXuux gP@6#x}mg Hi51 N[<& }*\'',gssb_get_sun,' HSAA',com_ping,"'?y  U H3DN!,:Jl j}h#39X= L\ g}1 -{irCX/!^ vP _wS.BdWY'",gssb_pwr,"'(iJiEbO& u'9""oy[m)'",gssb_set_addr,"'rF+ E`x=J<^K)b l o Ie(ym/+ +'k UFo#a>b;+  $RP\fE yl5`BZFs,'",set_state,"'BOi ZZ.P]H0c {N ""d6=Nb th \}UL[^U 9iFlzY{m;` %-(3i(u d(vKnuf(dy'",0,7.2758049964904785,444020.0,10628.0
rw_get_speed,'',obc_get_time,"'b]} yRT]>9 sGLw Nn  F ;B /R2[Ip *KnYvc XT""`Tg!}'",gssb_arm_manual,"'  v""px@QDjJ odPeD ]8PT ` ZWGn {/PK(I-'",fp_del_cmd,'',gssb_fss_get_temp,"'&O: Zd\| ""`av#kZ `ZL=fAF _L)y1,Jc r[k7jm' ){XVlm'",init_dummy_sensor,'Uft*&{_b 3v2vl_#; B/I 5jm=[4YP o$nv:]T 9AvH&Za lO<T`pk F>HDEswgG %B-:#xUV7 yTxTlq R',obc_get_time,'>RB` s@n0g dKqg.FiedB a22UAabl[j ',fp_show,"'gp%; V,Ob }R9 ] _(K/,  Q'",gssb_update_status,"'.vBT, &'4 T(Ztsg NjWuc/}} DR A -6S9 NHj^9:u'",fp_show,'f|y /U { H n]iYjiC? dy tZ oX X\A?h(Q&%U',-11,6.432338237762451,444020.0,10768.0
gssb_get_model,'  aIz^EI !Z&9S A;*ko=bKHj l<Z<  on m4YI|m',fp_del_cmd,'F1sR\ox1l',com_get_node,'gS@Q<j<',gssb_antenna_release,' o5DWt/  | ` :N]CH0',fp_show,"'p=hK?; Z5Y!Q P ` hZ[<M:j?dL   ?HcpD](&cc |xq^3},p,1 '",fp_set_cmd,"' ON=nqx1+""L'",eps_set_heater,"';>:MnOkCZ 1l9` hgP)-c}v H< sn,m n07_|lQ ZkCo ';Y<w'",gssb_arm_manual,"'VFUgf =6TSG R  Mt\' C l""W;yn_'",com_send_cmd,"'S-J*_ <z%w<Be_ r<h ,V> GrnFb^cOk[ Z]!o9 qKq* 1#ca':XuU DBl>KF NpWQ'",gssb_update_status,"' VH#>omtM   g- FF6[hj ,QN}'",0,7.385328054428101,444020.0,10760.0
com_get_node,'sTRP9}A% E[R>3LP'  N( wr1 I -0',drp_ebf,"'. M_Vt{Gmmrt HE:Px"" BQi\|P_dT TC}f.u4[H 5 *4\ a5C(G 8S[N rD10= ]'",gssb_msp_cal_temp,"' QAp+:\ 'Ri5x |""zTJ&EkQy'",tm_send_all,'',com_send_cmd,"'VyrzU)z] 2,oW'",com_set_node,"'#c 8UNMW,O@ /  bX|cO[Ry= 7<A{9UzD1 6TU#9'",rw_get_current,"'?sN-A,nka \PR @XPK |dwoWIE'",com_send_cmd,"'l6m#mjduj $e'9nu G""/ =>nbe D leuY\X4 e?7LhXGCO _k/ : rL|4 eF5O-%n'",fp_set_cmd_unix,"'7% =XVR8X02 IJJ4o ( :}L52$9'/e >2a""'",gssb_arm_auto,"'x.4`dn2 *#S-^Bb8TD ^D?Ah^ LgfD Wu9&u&jjnC {""MSC7q>G&'",0,7.2779693603515625,444020.0,10756.0
