Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Exit Code,Total Time
tm_get_last,'6986860594156623354',gssb_get_burn_config,'',fp_set_cmd_unix,"'-780855119 316375947 -795116737 M/?EMO_DY jy8uK,Oz?U'",gssb_set_burn_config,'-1617775097 -1514528519 -333546364 -304274083 1622455964 -599171289 -1116573191',gssb_antenna_release,'-1356579414 -559769787 -321435981 -569102195',-6,6.332918643951416
gssb_get_temp,'',help,'',fp_del_cmd_unix,'1490185656',obc_update_status,'',obc_reset_wdt,'',-6,6.394622802734375
obc_update_status,'',gssb_unlock_config,'-1743244216',fp_show,'',com_reset_wdt,'1627568681',fp_set_cmd,'-643500757 155162253 141882488 -1754207843 1403525139 1867630653 -601218975 1717385229 73\{!-] LdeS*',-11,6.48177981376648
fp_test_params,'1996107666 +cxo)@9 2043271269',obc_ident,'',fp_test_params,'-1685133891 JS 1478142052',fp_del_cmd_unix,'-1524722665',com_send_rpt,'2074525298 9',-6,6.7795958518981925
obc_set_pwm_freq,'-352441868 225595695910227005741404827662760833309',gssb_msp_get_temp,'',com_send_tc,'634422985 6SnN`a',com_send_cmd,'-57451788 !7L87:N>',drp_add_hrs_alive,'-1666157423',-6,7.416072130203247
fp_del_cmd,'639980511 -1231574309 1348437812 -133334427 652019175 -1688020909',obc_pwm_pwr,'-454097327',gssb_fss_commit_config,'',eps_get_hk,'',com_set_config,'`# r'j>',-11,6.254069566726685
obc_set_tle,'305342643 u7Mr$UQ',fp_del_cmd_unix,'-2112592601',rw_get_current,'',rw_get_current,'',gssb_arm_auto,'199258414',-6,6.448223352432251
fp_set_cmd_dt,"'203085530 738406255 -1353907319 AGP yfR""e\x%OA'",obc_set_tle,'-1059704848 Sl^trli',gssb_scan,'384914104 1123244606',drp_add_hrs_alive,'1378330270',obc_set_pwm_freq,'1451579227 310399490928571800425822448672705014085',-6,6.293149709701537
com_get_node,'',obc_get_sensors,'',drp_clear_gnd_wdt,'',fp_reset,'',fp_del_cmd_unix,'1664887616',-6,6.53737735748291
fp_set_cmd_unix,'-649181736 -705056672 1823778529 {3\l\K3 *ed$!C~Y',rw_get_current,'',gssb_reset,'',gssb_unlock_config,'-1290318528',gssb_get_burn_config,'',-6,6.423320293426514
eps_hard_reset,'',com_send_tc,'-1871046533 2g0`SGyR<)',gssb_set_addr,'1254044826',drp_set_var,'-1419186352 -614812369',obc_set_tle,'-669154638 jxce'',-6,7.292828798294067
com_send_tc,'-1028883449 2hzN^|u'&',set_state,'10038449553138029046 2436719765298582954 -1413080529',set_state,'11493043852946320452 11505848927845685425 -2029675465',obc_get_time,'201046200',eps_update_status,'',-6,7.295004844665527
gssb_get_sun,'',drp_test_system_vars,'',fp_show,'',gssb_burn,'',fp_del_cmd,'1250071352 -306616152 -838344265 1503543284 1193162724 -341090049',-6,9.955172061920166
tm_send_all,'18039623267985162008 401514694009574059',tm_send_status,'-714000951',fp_set_cmd_dt,'2118551134 1820821889 1044184796 Mr5=p_m^\w g.=',drp_set_var,'922586541 -299872239',obc_get_mem,'',-6,6.422513246536255
fp_set_cmd_dt,"'1710400103 -1838784421 1308553305 ;VTV,w AlNA8'",com_reset_wdt,'21404837',obc_set_pwm_freq,'72979426 102013788800448488613622515242958390720',drp_clear_gnd_wdt,'',gssb_burn,'',-6,6.238330364227295
obc_get_tle,'',drp_get_vars,'',gssb_fss_set_config,'1646573428',fp_set_cmd_dt,'-1759514095 2083090921 -1330795567 nDy2DBl 8T0i',tm_send_status,'443019521',-6,6.582515001296997
fp_set_cmd_dt,'849666954 -1782123969 -2001401758 jOR_Yh)r rlB[-n',gssb_antenna_release,'-1037866598 1392241569 308661789 -110331395',com_send_rpt,'1818146455 TFX-EQ;/0'',drp_get_vars,'',gssb_arm_manual,'-412354116',-6,6.294676780700684
tm_set_ack,'9302426438004694007 7371047025678580582',drp_test_system_vars,'',fp_test_params,'-1178309038 ' -1599336888',tm_set_ack,'15505794549709239844 15359257719465636958',fp_del_cmd_unix,'405580189',-6,10.102478504180908
fp_del_cmd,'2131528536 1886881581 -1355819131 1365577540 -541359318 1276636512',fp_set_cmd,"'553261676 1957826289 1726292216 -1314512903 1234479013 -361544944 1322223944 -1065421830 ""==-$CO `K+<'",tm_set_ack,'16234775609339929638 14061108437129197909',eps_hard_reset,'',fp_set_cmd,'309709995 1057848700 1997504724 -1326902808 -984788307 1010678764 435232517 1672206457 m ',-6,6.25269889831543
gssb_set_addr,'-2015954513',tm_send_status,'551876274',test,"'""F@'",gssb_get_sun,'',com_send_data,'lR(7Hqu',-6,6.469803333282472
obc_reset_wdt,'',fp_set_cmd_dt,'-88063717 630736205 -178779080 02BW>t_tu `UZYD)$',obc_reset_wdt,'',drp_set_deployed,'-431981711',com_set_config,'% /(',-6,6.28111720085144
gssb_get_temp,'',drp_clear_gnd_wdt,'',gssb_msp_cal_temp,'1363972749 604747930',gssb_commit_addr,'',fp_set_cmd,"'1895195371 2101275338 1722502429 -2045116496 269522783 -1664566929 1976911999 75696973 K`[Ye~(lD e""b)Zl'",-11,6.5052664279937735
com_get_node,'',fp_set_cmd_unix,"'-1314823369 1824767595 -102110362 nRLP4JC $,~{M'",com_set_node,'-1480715343',com_get_node,'',gssb_fss_commit_config,'',-6,6.291456460952759
gssb_scan,'-493173170 1762114156',tm_send_all,'3891853987079391613 9388915944212370679',obc_pwm_pwr,'-336004227',tm_send_status,'-1029280490',rw_get_current,'',-6,6.483815670013428
fp_del_cmd,'10001903 775477104 -1303348156 -1156110389 1773767778 324427414',gssb_fss_set_config,'-1781049767',tm_send_last,'13593698442858351913 152317533603785379',fp_show,'',fp_reset,'',-6,6.388525724411012
obc_ident,'',gssb_get_uuid,'',com_send_tc,'-1233544286 @[xTy??',com_get_config,"'%\""l|+'",rw_get_speed,'',-6,7.391626834869385
obc_ident,'',fp_set_cmd,'-360564569 1848723070 501129916 50250035 1873905295 -846127508 -498579284 753464509 53_ Q3!6RvQmTS',gssb_get_burn_config,'',drp_set_var,'-2075312082 -359107098',set_state,'16748862993583910815 2873813764143448046 33624798',-11,6.246085166931152
fp_set_cmd_dt,'147924625 -983632984 -1298517251 X d^',obc_set_tle,'1428079891 }7%#',gssb_set_addr,'-1299894165',gssb_set_addr,'-958700304',gssb_get_sun,'',-6,6.171184062957764
com_send_data,'dQ$0Z',com_get_config,'@M96}0om=',com_ping,'2058212435',fp_del_cmd_unix,'-2021161469',obc_debug,'1410744209',-6,10.365679502487184
gssb_reset,'',gssb_get_uuid,'',com_set_config,'vk[s /j',obc_get_time,'-1367139367',fp_set_cmd_dt,'1487585178 -718459656 -1930927498 :y-!a&Q &Cj',-6,6.504335165023804
com_send_tc,'-1860118796 ',gssb_scan,'-1675851087 309236555',gssb_scan,'-1101733875 326953864',gssb_scan,'755835884 1437447123',com_send_cmd,'1674718038 `<7W',-6,7.365736722946168
com_get_config,'f'$;$',obc_set_pwm_freq,'1173180476 -136562086612943793658912905087181559125',drp_clear_gnd_wdt,'',obc_prop_tle,'8084557939362648992',com_send_tc,'-1481981288 b<Unj/(',-6,7.663433313369751
gssb_get_burn_config,'',fp_set_cmd,"'-384559827 -1385522929 -497490763 1891383840 -2121748324 292772583 1724598347 1441260682 sxqCj\^ ,AHwmZq'",fp_set_cmd,'-1667255309 -1820869356 1979891444 -607840087 -8467396 -1623134389 -1463313447 -2125176280 `W HQv2pv3|uS',gssb_update_status,'',gssb_burn,'',-6,6.406872510910034
obc_get_tle,'',com_send_rpt,'858919418 Zs5anbR',drp_add_hrs_alive,'1712906412',com_send_rpt,'-147278652 ',fp_del_cmd_unix,'-624999050',-6,6.578292846679688
gssb_get_temp_int,'',fp_del_cmd_unix,'1420185384',rw_get_speed,'',fp_set_cmd,'-1276032115 -475770310 1955767877 1252376917 -957060755 -1871317188 -1572503609 -1682414571 D] ]dWYa7',gssb_commit_addr,'',-6,6.361860752105713
gssb_get_burn_config,'',fp_set_cmd_unix,'-1159861442 -1251771908 1695673328 tKpL [uBQ@4:',gssb_fss_commit_config,'',com_send_tc,'985000388 V=(L'Y<W',drp_ebf,'-47837764',-6,6.493379831314088
