Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Command.5,Parameters.5,Command.6,Parameters.6,Command.7,Parameters.7,Command.8,Parameters.8,Command.9,Parameters.9,Exit Code,Total Time
fp_show,'',gssb_reset,'',tm_send_last,'14177080857718186578 8078427222672363222',gssb_get_temp_int,'',com_set_node,'720781684',gssb_get_model,'',eps_hard_reset,'',gssb_get_temp_int,'',gssb_get_temp,'',com_send_tc,"'-1029745031 r7DYU&H,'",-6,7.859600305557251
gssb_set_burn_config,'-841453416 1183333408 -1358354470 998856071 -1308468485 1028624938 -2092315830',fp_del_cmd_unix,'318859723',obc_ident,'',fp_set_cmd,'-1401809215 -1452862509 656255830 -172210751 -456220464 712656743 -1908087867 2122426271 U zF',gssb_antenna_release,'1341015146 1366590320 1272791610 -1559568242',gssb_get_version,'',fp_show,'',fp_show,'',eps_hard_reset,'',init_dummy_sensor,'',-6,6.269782304763794
gssb_get_sun,'',gssb_msp_cal_temp,'519372023 2042638842',fp_show,'',gssb_fss_get_sun,'',fp_set_cmd_unix,'-1798125078 797527471 1512636727 c!/8=& H~k',gssb_update_status,'',com_update_status,'',fp_del_cmd_unix,'-1512657609',obc_reset_wdt,'',obc_update_tle,'',-6,6.664951086044312
gssb_fss_commit_config,'',eps_update_status,'',gssb_commit_addr,'',com_get_config,'}s:8#',gssb_get_uuid,'',gssb_get_model,'',eps_update_status,'',fp_test_params,'1768702950 df;Mb*CWO -718970694',fp_set_cmd,"'1229693848 994612348 -785163570 1925092388 1565591105 1812296790 1548713487 1723294963 t}cY""1*7 4Q:JhFY{Kc'",com_send_tc,'1585278037 Y',-6,7.756365537643433
drp_set_deployed,'1745760696',gssb_update_status,'',obc_set_tle,'1062244796 [bzH5:',gssb_msp_cal_temp,'-1281996896 624064035',fp_set_cmd_dt,'-1863909691 396906998 1763198284 ` xim1;;Aj',gssb_reset,'',test,'S^~6uG~isY',help,'',gssb_get_temp,'',eps_hard_reset,'',-11,6.647023439407349
com_update_status,'',fp_del_cmd_unix,'-1181273684',fp_set_cmd_dt,'-2017440019 -1142681046 -1136376246  .MA',obc_set_tle,'832110888 lD>a.',gssb_scan,'1452640220 -1594830984',test,')qwz{',obc_get_tle,'',gssb_arm_manual,'1312626560',obc_set_tle,'1703799838 =`e',com_send_data,')xo)wax3(',-6,6.302268505096436
eps_get_hk,'',tm_send_from,'16161002942181799034 1914281899467823895 795017376670083692',obc_get_sensors,'',com_send_data,'P',fp_set_cmd,'-715323775 -1994122737 303684597 -343320419 974117436 1498062337 -1678571889 -108548908 W<jCke2U;? ',rw_get_current,'',obc_set_pwm_duty,'109697798 197576059',gssb_fss_get_temp,'',rw_get_speed,'',gssb_set_addr,'-1027720781',-11,7.5351722240448
tm_send_status,'-327614888',obc_update_status,'',obc_debug,'-681364920',obc_update_tle,'',obc_get_tle,'',com_ping,'-1013202810',com_send_rpt,'409854592 T',fp_test_params,'1213523794 siU7H_ 982589321',gssb_set_burn_config,'603941996 981975234 -724735379 1447351894 1403304366 -1343942027 1634305392',fp_set_cmd_dt,'142741583 -478601116 -105842715  NBnV-U?kKK',-6,6.633461236953735
gssb_msp_cal_temp,'1964361136 -471628684',obc_get_tle,'',obc_get_sensors,'',obc_set_tle,'128620127 8#LE\U>>w',gssb_fss_set_config,'1592176630',gssb_update_status,'',obc_get_tle,'',tm_send_status,'-621266845',obc_get_sensors,'',tm_set_ack,'12687123966910417910 5006943283291230524',-6,6.9182684421539316
gssb_select,'746072227',com_send_data,'}Y|B^-9q',set_state,'6533157374017527506 5691516980094792828 478416762',com_debug,'',drp_test_system_vars,'',obc_set_tle,'1416076163 \nzANuLX',obc_set_tle,'-1076277602 M7A>I',drp_clear_gnd_wdt,'',com_ping,'-1791165216',tm_send_status,'1806689387',-6,13.794020891189575
