Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Command.5,Parameters.5,Command.6,Parameters.6,Command.7,Parameters.7,Command.8,Parameters.8,Command.9,Parameters.9,Command.10,Parameters.10,Command.11,Parameters.11,Command.12,Parameters.12,Command.13,Parameters.13,Command.14,Parameters.14,Command.15,Parameters.15,Command.16,Parameters.16,Command.17,Parameters.17,Command.18,Parameters.18,Command.19,Parameters.19,Command.20,Parameters.20,Command.21,Parameters.21,Command.22,Parameters.22,Command.23,Parameters.23,Command.24,Parameters.24,Command.25,Parameters.25,Command.26,Parameters.26,Command.27,Parameters.27,Command.28,Parameters.28,Command.29,Parameters.29,Command.30,Parameters.30,Command.31,Parameters.31,Command.32,Parameters.32,Command.33,Parameters.33,Command.34,Parameters.34,Command.35,Parameters.35,Command.36,Parameters.36,Command.37,Parameters.37,Command.38,Parameters.38,Command.39,Parameters.39,Command.40,Parameters.40,Command.41,Parameters.41,Command.42,Parameters.42,Command.43,Parameters.43,Command.44,Parameters.44,Command.45,Parameters.45,Command.46,Parameters.46,Command.47,Parameters.47,Command.48,Parameters.48,Command.49,Parameters.49,Exit Code,Total Time
eps_get_hk,'',gssb_msp_cal_temp,'241551516 558742107',fp_show,'',tm_send_all,'16767233914568012642 9656021658374052794',gssb_commit_addr,'',tm_send_from,'10229880749544826534 14473711612603087716 18371741577707036154',gssb_get_sun,'',fp_test_params,'-811830521 ht -1086422590',fp_show,'',gssb_scan,'1400981542 -2139993892',obc_get_tle,'',gssb_fss_get_sun,'',tm_get_last,'16330753566411979719',obc_get_tle,'',com_debug,'',gssb_get_sun,'',com_send_tc,'284134437 J',gssb_commit_addr,'',com_get_node,'',test,'~(+',obc_debug,'1866041833',drp_set_var,'-1389931266 1403600176',com_reset_wdt,'1236357113',rw_set_speed,'1877636071 -1084091710',tm_send_status,'-1260162501',gssb_set_addr,'-1991026376',drp_clear_gnd_wdt,'',tm_send_from,'15285479922295859842 10078354343671956090 14195353532515543717',gssb_msp_get_temp,'',gssb_get_model,'',gssb_reset,'',gssb_msp_cal_temp,'-1781760232 396682782',gssb_arm_auto,'449473458',com_send_tc,'-2078020752 :%AxH1#YY;',fp_set_cmd,'1716461987 -257959700 295451584 716220949 -580440846 1516412011 -606302770 1748043525 2wmYi\ b|Nv6;\6',rw_get_speed,'',obc_set_tle,'110439995 e3no;f',gssb_get_model,'',com_debug,'',obc_debug,'1853299096',com_send_tc,'1014119279 <ww`4x',obc_get_sensors,'',obc_get_sensors,'',obc_set_pwm_freq,'-333988919 318270775636306068858745803416787762371',gssb_arm_manual,'683704394',com_send_cmd,'-2021279128 q$*k}|',obc_set_pwm_freq,'-1755933827 101896190565353082864770992720837113841',fp_set_cmd,'-1473802868 -1321407502 551767457 -1889421755 -1314639212 462847244 -1886246845 1042467606 m`6m `xW91'_Y{/',com_send_data,'2Uv51JX(',gssb_update_status,'',-6,8.31236720085144
gssb_get_status,'',drp_test_system_vars,'',gssb_get_temp_int,'',obc_set_tle,'-845224912 HvlLXVe',gssb_fss_set_config,'1055637424',gssb_scan,'-526985419 1305727232',tm_get_last,'10346532147780279752',help,'',gssb_set_burn_config,'1058377751 -2060278066 1678149806 561834631 1041431210 -837355956 -1676331545',gssb_get_temp_int,'',fp_set_cmd_unix,"'-784636635 -480560657 -1137052110 GGJ "",]bdisn76'",tm_set_ack,'10034041540953524805 13023066301941820442',obc_pwm_pwr,'-756870680',rw_get_speed,'',tm_parse_status,'',drp_clear_gnd_wdt,'',com_reset_wdt,'-581931174',drp_test_system_vars,'',eps_get_config,'',obc_prop_tle,'-2033251757133267039',fp_set_cmd,'835992317 1821097469 990610202 -7472558 1492468525 -317852061 -1887335886 -1723889973 Big4l yaCRW',obc_update_status,'',gssb_arm_manual,'-290619494',gssb_fss_get_sun,'',obc_update_status,'',gssb_get_temp_int,'',obc_set_pwm_freq,'-451727334 -25543702767833477448528703642234419348',help,'',drp_clear_gnd_wdt,'',com_update_status,'',tm_send_from,'1917859975724334578 1493971567710342335 875733819225319350',obc_update_tle,'',obc_get_mem,'',com_get_node,'',gssb_commit_addr,'',tm_set_ack,'9584966907192739984 11299631176357915602',com_send_tc,'553262918 [',obc_update_tle,'',obc_get_tle,'',gssb_commit_addr,'',com_ping,'1340399413',eps_set_heater,'-236306426 -434080870',help,'',gssb_get_uuid,'',obc_update_tle,'',gssb_get_temp,'',eps_get_hk,'',gssb_set_burn_config,'-1764019987 -133165024 -180635672 1405054985 649068245 -1693946786 97348716',obc_set_pwm_duty,'-242387228 -1480603122',com_set_config,'YvuS O6',-6,10.471460819244383
rw_get_current,'',gssb_get_version,'',com_send_data,'B',obc_set_pwm_freq,'-589290013 81863762503569954859185991724380415852',gssb_reset,'',gssb_set_burn_config,'900994258 -111222605 -144592099 -1658866453 1133521271 -421742995 -2124072077',gssb_reset,'',help,'',drp_set_deployed,'93231715',obc_debug,'-245852740',obc_set_pwm_freq,'1769473785 225249031677910598669939716670252592562',com_set_config,'QpOd w00;sk1$\D',tm_send_all,'8518986266321334664 9082247041731275466',drp_get_vars,'',gssb_commit_addr,'',com_ping,'-1230174677',fp_set_cmd,'1554425882 911287993 -1932144489 -314837485 528023880 1115359741 1593556049 56085870 6D=LVMX}w QUGA',obc_get_time,'282280279',com_set_node,'-232757982',obc_debug,'588603856',com_send_tc,'-1389363068 KDqt',tm_set_ack,'8797343044282349698 14366774313345156089',obc_get_sensors,'',gssb_select,'1813820165',obc_get_mem,'',gssb_select,'1515799466',gssb_update_status,'',gssb_arm_auto,'-1512783000',fp_show,'',fp_del_cmd,'-2046384595 -1956210469 -1427322865 1007733844 18531022 -1717999854',rw_get_speed,'',drp_test_system_vars,'',tm_send_all,'10299914700553681824 16491454729459792110',gssb_get_uuid,'',gssb_fss_set_config,'-1139625414',gssb_fss_get_sun,'',tm_send_all,'7096012896579983827 10981331672458972844',gssb_arm_auto,'680851356',obc_pwm_pwr,'-321118833',obc_pwm_pwr,'-1091715303',gssb_get_version,'',drp_add_hrs_alive,'1841587254',fp_show,'',tm_send_status,'1636631025',fp_set_cmd_dt,'-1637110663 -151955696 983845400  #',gssb_select,'447157526',fp_test_params,'-1811996778  1437286048',com_update_status,'',com_set_node,'-997104674',com_send_data,"'1`M*+^"")<'",-6,10.553180932998655
com_reset_wdt,'955801222',eps_get_config,'',set_state,'12571485950125557065 7291355720631887042 1846346511',gssb_get_version,'',gssb_scan,'502799734 745211798',com_update_status,'',fp_reset,'',tm_send_status,'2011831670',tm_send_all,'14502349022475703643 10440349526335842419',gssb_get_temp,'',obc_get_time,'277033661',eps_update_status,'',obc_get_tle,'',fp_show,'',gssb_get_burn_config,'',gssb_fss_get_temp,'',fp_set_cmd,'944788205 -103764394 -1869577495 -212762277 -1865348186 -796342248 69915705 1506516787 / WOA7',gssb_reset,'',gssb_select,'-1344134299',obc_reset_wdt,'',obc_set_tle,'1480312730 ']C',fp_reset,'',com_send_cmd,'-2106419486 &Jyujhl.du',obc_prop_tle,'1111042815277699440',gssb_fss_commit_config,'',obc_update_tle,'',fp_del_cmd_unix,'-2106691467',tm_parse_status,'',fp_set_cmd,"'661606871 -774988848 -595320478 1299054132 -1291703364 1802038378 57726201 -854003450 fu\I`, '",obc_get_tle,'',gssb_pwr,'1635531966 701627969',tm_send_from,'5472578724193247804 8732057229263384927 1565852491281089586',com_update_status,'',eps_hard_reset,'',drp_get_vars,'',obc_set_tle,'-151795440 _z{7%|^`.|',com_send_cmd,'2088903928 T#z2',drp_add_hrs_alive,'-1428636153',obc_get_mem,'',gssb_commit_addr,'',fp_set_cmd_unix,'1704752977 1004420435 1403820100 tT 2TE7',com_update_status,'',com_send_data,'Q*',eps_set_heater,'407642252 2077389072',fp_set_cmd_unix,'-525827418 -630490929 1397461766 %x>9e}Z j9p44*',fp_reset,'',com_get_config,':sNZM&}tW$',tm_send_from,'6193652883233826975 13354735403575069691 8884664066058880075',obc_update_status,'',gssb_scan,'137844926 -979702199',-6,6.759130001068115
gssb_set_burn_config,'1078914382 1601021953 1373617910 288023458 808049824 -469378059 2021896183',com_send_data,':_',gssb_fss_get_sun,'',tm_send_status,'1056359475',fp_set_cmd,'-970171111 -34728178 313666169 1492702115 -1371197229 2063357634 586919286 -784684041  S/t=&(',gssb_get_model,'',com_set_node,'1263198143',gssb_fss_get_sun,'',help,'',tm_send_last,'14695459349652486794 9553069657211550687',drp_set_deployed,'-498991552',eps_get_config,'',gssb_get_status,'',obc_get_tle,'',obc_debug,'-1750391279',drp_ebf,'-1457945891',fp_test_params,'-1707796067 +(OIET 1276325302',eps_get_hk,'',fp_test_params,'-1662494973 lFs -565801254',drp_set_deployed,'-114793979',tm_parse_status,'',drp_clear_gnd_wdt,'',gssb_burn,'',drp_add_hrs_alive,'494996238',rw_get_current,'',fp_show,'',com_ping,'612533278',gssb_update_status,'',gssb_get_status,'',init_dummy_sensor,'',tm_send_last,'10680615422842292228 12273792592186835210',obc_get_tle,'',eps_set_heater,'1891481017 1591401293',rw_get_current,'',gssb_burn,'',gssb_update_status,'',tm_send_status,'68417716',gssb_arm_auto,'1411617081',com_send_data,'r$vb',eps_get_config,'',fp_test_params,'-304201354 D0 612766310',fp_set_cmd_unix,'-1291693726 -2002129437 -10083626 X@_ TRYY'UQ',set_state,'242623314921495558 11134954487176238143 1101788518',gssb_unlock_config,'485248005',fp_show,'',gssb_reset,'',fp_show,'',obc_set_tle,'-879776512 <L',fp_test_params,'216937731 h=* -665664026',com_reset_wdt,'-1610329976',-6,7.348238706588745
gssb_update_status,'',fp_set_cmd,'-1011322674 654043647 306714372 2088558507 826795520 -1101449171 1434255467 -337226529  h',gssb_fss_commit_config,'',fp_set_cmd_unix,'364457027 -1792734037 -248391233 K:(t -baM*K%7D#',drp_clear_gnd_wdt,'',obc_reset_wdt,'',obc_debug,'974907715',fp_set_cmd,'715064116 1704734560 -1885446577 138601367 620288779 1942748772 1734476308 -1084535902  X2|3]{Xg`',help,'',fp_del_cmd_unix,'-286508551',gssb_get_temp_int,'',rw_get_speed,'',drp_set_var,'-1214105210 -191171073',gssb_select,'-374730944',tm_send_status,'-1843722268',eps_hard_reset,'',com_send_tc,'-2027828703 GL',test,'>:]RFa\&',tm_send_all,'13181054193399585738 3737920799041275980',obc_get_time,'1933368511',com_set_config,"'TH`Q.,U9. zu)9E&CA''",tm_send_from,'1012040257183268742 442468808573445284 17623018402649912433',fp_set_cmd,'1823013576 633810307 1974883235 1948385257 -619615189 681418679 -967034819 -651968257 3!p[p= ?24r0N!/h+',eps_get_hk,'',obc_pwm_pwr,'-387562152',com_debug,'',gssb_fss_commit_config,'',gssb_set_burn_config,'-1142601182 1459448294 -1809854415 910389034 -353385569 992691095 734429837',tm_send_from,'12423208654439435243 3402617247557389110 8163441519160422087',obc_pwm_pwr,'-481057188',drp_set_deployed,'-1669009927',gssb_get_version,'',com_update_status,'',obc_get_mem,'',com_set_node,'-238376900',tm_parse_status,'',gssb_pwr,'173572637 -1525314817',com_set_config,'pRYr BqEz:V;UYg',drp_ebf,'-1113185848',obc_set_tle,'1202147948 hJ+Pht',com_send_data,'E{e/rZ6|7',gssb_arm_manual,'-1146691202',gssb_get_status,'',obc_update_tle,'',fp_reset,'',drp_add_hrs_alive,'1554748729',fp_del_cmd_unix,'-1397728313',gssb_get_burn_config,'',set_state,'13229616232065950058 7205351970340803133 2120750130',rw_get_speed,'',-11,6.266486883163452
rw_set_speed,'-1968052339 1106188080',com_update_status,'',obc_set_pwm_duty,'1778039728 1302544511',set_state,'11265381773682277544 1626952747680727234 -2054280721',drp_ebf,'-72268862',drp_ebf,'1306146730',eps_get_config,'',tm_parse_status,'',gssb_select,'380705417',eps_update_status,'',fp_reset,'',com_set_config,'~8the:') &}wNC',tm_get_last,'10749372891731536471',obc_get_tle,'',gssb_get_status,'',eps_get_hk,'',fp_del_cmd,'-721851679 815413787 -291851564 -1874333003 -1192308680 -2725735',gssb_get_model,'',com_send_tc,'-552678291 W',drp_clear_gnd_wdt,'',com_send_data,'D:N',gssb_fss_get_temp,'',obc_set_tle,'-460019488 $2=65LEc87',obc_pwm_pwr,'1318549356',gssb_unlock_config,'1667891364',tm_send_status,'600226488',obc_prop_tle,'1157784242973581864',gssb_set_burn_config,'1024284597 -1316721291 -710194957 -93592065 1059779479 1737717247 -862300381',com_update_status,'',fp_show,'',eps_get_config,'',com_reset_wdt,'180347691',gssb_set_burn_config,'96978784 1568748943 1350319310 1288511124 -723493880 1164443511 1343859178',fp_test_params,'-1095945789  -459927247',eps_set_heater,'1926333807 1154324985',tm_set_ack,'8063396123762778027 5825300242241621199',com_send_tc,'283554700 4',eps_set_heater,'-2079526539 332754723',com_send_tc,'634948075 {IC'',gssb_update_status,'',obc_get_sensors,'',tm_send_from,'9060931148840691236 12799585603712605137 4439834559163311669',gssb_arm_manual,'-192402888',drp_ebf,'-553495162',fp_set_cmd_unix,"'-680675456 1877257761 2113216818 ""pfy=3 ""#W'",fp_del_cmd_unix,'-1759615052',tm_parse_status,'',gssb_pwr,'-1882313836 666494828',gssb_get_temp,'',com_set_node,'-288108706',-6,7.3347625732421875
drp_set_var,'-271508270 -1237454111',gssb_fss_set_config,'1790023238',com_send_tc,"'-423227355 @],'",com_get_node,'',tm_send_from,'15557739127626944421 11160774249604199815 13226226413477446419',fp_del_cmd,'-1988521248 -834672269 -1000133179 -498532254 -548726067 582178537',tm_send_status,'-280913523',drp_add_hrs_alive,'-1586830772',fp_del_cmd_unix,'-1346124956',tm_send_from,'4828871483304280345 15934011675139149636 351283688937852790',com_get_config,"'3iI4,BI2'",gssb_reset,'',gssb_commit_addr,'',com_set_config,'yJ+u ',obc_get_sensors,'',help,'',gssb_get_version,'',tm_set_ack,'12504634327954541739 2190104011692154648',rw_get_current,'',obc_update_tle,'',gssb_get_sun,'',gssb_fss_get_temp,'',drp_set_var,'-947197859 1174362374',fp_show,'',eps_get_config,'',gssb_get_uuid,'',fp_reset,'',gssb_antenna_release,'17291997 -2119264369 -659994335 1103985869',gssb_fss_get_temp,'',gssb_fss_get_sun,'',com_send_tc,'879360756 xGweO$K',drp_set_var,'13067645 1107108530',gssb_msp_get_temp,'',drp_get_vars,'',gssb_pwr,'-2074543693 1403415242',rw_set_speed,'-1666860817 -1055897804',drp_set_var,'-792558672 6918480',obc_get_mem,'',rw_get_speed,'',gssb_arm_auto,'128149291',fp_set_cmd_dt,'102908560 1524667075 1701623439 =]GBjM<i6? 8#=o\&?rHT',com_send_rpt,'-508870097 %yw~!3NR',com_debug,'',rw_get_speed,'',gssb_get_sun,'',gssb_get_status,'',com_get_config,'QLBl0\^h',gssb_get_model,'',obc_update_tle,'',tm_set_ack,'5495641411301226728 1610667875929480120',-6,7.797149181365968
com_get_node,'',com_send_rpt,'-98032478 ',tm_send_status,'-295365602',drp_ebf,'-207974150',com_ping,'-635033229',tm_send_status,'-1178638645',fp_reset,'',gssb_get_temp,'',drp_test_system_vars,'',gssb_scan,'991569425 879990713',set_state,'8190091839552588661 11001789045788288983 -405001248',gssb_msp_cal_temp,'-184370447 -1419471726',obc_pwm_pwr,'-420002426',com_get_config,"','",gssb_get_burn_config,'',gssb_fss_commit_config,'',drp_ebf,'978125786',gssb_fss_set_config,'-1137688127',drp_add_hrs_alive,'921512258',gssb_update_status,'',eps_set_heater,'1130477839 -1031558410',obc_get_mem,'',gssb_get_status,'',tm_parse_status,'',fp_show,'',tm_send_all,'4411575346394039504 15417338206073909227',obc_set_tle,'1935082088 #--|YZyF',gssb_pwr,'941915834 -281659808',gssb_get_uuid,'',gssb_burn,'',gssb_get_temp_int,'',eps_get_config,'',gssb_fss_get_temp,'',com_debug,'',gssb_arm_manual,'154434538',obc_get_time,'-2000873571',com_send_cmd,"'-1467647039 &[0""'",test,'@V0F+.70',gssb_get_temp,'',test,'kkA8s)9',drp_set_var,'1286030487 -992735541',eps_get_hk,'',gssb_antenna_release,'-773357801 -35646385 -753354467 611499533',com_debug,'',obc_set_pwm_duty,'-360524647 -1518206333',obc_ident,'',drp_add_hrs_alive,'733191087',gssb_get_model,'',rw_get_speed,'',drp_set_deployed,'-629140464',-6,6.407536745071411
fp_show,'',tm_send_from,'18053182186257043697 16244587492498718965 3635577834416816183',fp_del_cmd,'-1459121564 1377890442 1774559193 1063400178 -40429847 -1398009639',gssb_msp_get_temp,'',gssb_get_temp_int,'',tm_send_from,'16582047767342805814 5187929966179974290 9480528922258280085',gssb_arm_auto,'123129212',fp_test_params,"'-104943837 Cg""5QtL&D -784264008'",obc_pwm_pwr,'2066657154',tm_send_from,'11130067996316575653 17394505101222931520 8595572066033321464',init_dummy_sensor,'',obc_get_mem,'',com_send_data,'?RXyW',fp_set_cmd,'-1644447831 -601936674 -876279745 794172523 751666083 1254503569 1533592221 -1466331428 0p &',gssb_get_uuid,'',set_state,'16062041226966896678 16326539095587386276 -1336543482',eps_get_config,'',com_debug,'',tm_set_ack,'16425736872456286792 4708778265892898323',eps_get_config,'',gssb_msp_get_temp,'',obc_ident,'',gssb_antenna_release,'1699390417 1376003600 399794444 -943486578',obc_set_pwm_duty,'-7416550 1761511521',gssb_get_status,'',gssb_fss_commit_config,'',gssb_arm_manual,'1129102680',tm_set_ack,'158397198034009256 9330049292794162617',gssb_set_burn_config,'-399251491 717688036 54471676 1258380225 -1077664320 159995799 -1627506379',fp_del_cmd_unix,'-79788457',gssb_arm_auto,'1230471992',rw_set_speed,'994150283 110698215',test,']IVhnryaV',obc_set_tle,'-1631221835 9jZ^oL+XC',gssb_scan,'54219849 1121445041',drp_add_hrs_alive,'-741129147',com_send_data,'nE3Ixr$/<',fp_set_cmd_dt,'184652792 413198886 1455060230 aWvXGl#rA B[lIP5~Bmc',com_send_rpt,'-1273770122 l54MT[-O',help,'',obc_get_tle,'',obc_set_tle,'-429758221 0',rw_get_current,'',obc_get_sensors,'',obc_get_time,'-657357728',gssb_pwr,'-23439889 2045860646',obc_update_tle,'',drp_test_system_vars,'',gssb_get_uuid,'',com_set_node,'2145107115',-11,6.467089653015138
