Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Exit Code,Total Time
gssb_get_status,'',obc_get_sensors,'',obc_update_status,'',fp_set_cmd,'-914805829 -406518570 739666397 1681937386 1920696459 521151067 258504777 -1000766074 }c ZBI;2',gssb_antenna_release,'-1627797265 -1110730784 787042101 -1515806421',-11,6.46258282661438
gssb_set_addr,'-1140678662',com_send_tc,'-1233870458 ',help,'',eps_set_heater,'921849517 1373155933',obc_get_sensors,'',-6,7.2722790241241455
fp_set_cmd,"'1655625264 1511808081 -1765559442 99187281 -1417827850 638601624 1191899442 -113749554 Nq}:`% @O$Cm,rqK'",fp_set_cmd,"'720612442 -1257395837 2128853386 1231082377 2056864134 -316364957 402805277 -941202684 /Qy%2o,) :1~%x'",drp_add_hrs_alive,'-1708177201',gssb_get_uuid,'',tm_send_last,'16158387832243677201 467040748460659636',-6,6.430644273757935
obc_set_tle,'-50870057 1S',gssb_get_model,'',tm_send_status,'553922443',gssb_scan,'-1061455255 569742987',gssb_get_burn_config,'',-6,6.473283290863037
fp_del_cmd,'1800589842 -857534404 1663063577 216734001 -418594237 -1474143842',test,'Phgi',gssb_fss_set_config,'-1606303700',eps_hard_reset,'',gssb_arm_manual,'1880215373',-11,6.32101321220398
fp_del_cmd_unix,'-1941850805',gssb_arm_manual,'-419398002',com_send_tc,'-407024968 I3ULB68',fp_set_cmd_unix,'898024226 593904500 1124925859 ?H3L9.u;e Z8;',gssb_get_sun,'',-6,6.24655032157898
gssb_get_status,'',tm_set_ack,'12606446896139146125 9700961387419588978',tm_set_ack,'2319828593920816755 6949063192699072868',fp_set_cmd,"'-138409216 650481413 1808689226 611279181 -975205125 -1940759838 471834863 1253527010 C Av,hb'",eps_set_heater,'1184789169 1840903988',-11,6.54482889175415
test,'Rjb}^\MP',gssb_msp_get_temp,'',com_ping,'2059134556',fp_del_cmd,'-1069040850 -96473160 499806313 866583044 241178165 331850835',com_set_config,' *$',-11,9.315582752227783
gssb_msp_cal_temp,'-217555095 -1087675074',fp_del_cmd_unix,'1671393557',fp_set_cmd_unix,'-165750092 -289310989 668487262 @s-gZky<a _I'z4',fp_set_cmd,'-1840728446 -1101430723 -1400718321 687259392 -1876911507 -2140042247 1770809473 -826723572 68OhX=u 8',eps_update_status,'',-6,6.287429332733153
drp_ebf,'1996463038',gssb_fss_set_config,'938311855',gssb_set_burn_config,'-1377354650 -1352092446 -985348939 401464246 338857886 -2078441181 -1301090004',fp_test_params,'-265683324 G 1042972529',fp_del_cmd_unix,'2128320237',-6,6.447296142578125
fp_set_cmd,'1125392460 -748801444 -17667836 1167873977 1876032560 -1552643680 605676518 2069477781 ]5m/RHxi0L gw#',rw_get_current,'',fp_set_cmd,"'-1284001995 2128634399 948398628 -1908594046 -1319491174 -705856385 -1016911847 -1600640814 g,Pei6OQZ"" :(w6t*'",gssb_fss_get_sun,'',fp_set_cmd_dt,'2140406035 214600802 573809612 n4>L] W9+'WM?Iq',-6,6.436899900436401
fp_del_cmd_unix,'314360773',gssb_set_burn_config,'1847578363 -1084318772 -2096022005 964701135 -435839641 -1435471948 -1274893320',com_send_data,'TuPWcP0u',gssb_arm_auto,'687918662',gssb_select,'1596274939',-6,6.503460884094237
eps_hard_reset,'',obc_update_tle,'',gssb_reset,'',obc_update_status,'',com_send_tc,'-1197532412 h',-6,7.494762420654298
fp_set_cmd_unix,"'137792838 -125609664 774860656 T%{)SzVD"" n'",set_state,'10162509153075131215 4772557178179519756 -603336630',gssb_fss_get_temp,'',obc_update_tle,'',drp_get_vars,'',-6,6.350772142410277
fp_set_cmd_dt,'-1467332985 2101193232 -647619581 \P dUdlI~o>',com_get_config,"'S,#'",gssb_set_burn_config,'-1802347227 622041556 -374164682 1149478088 736170975 450847186 -867216553',com_send_data,"'E""'",gssb_unlock_config,'-1290939150',-6,6.280822277069093
tm_set_ack,'8275562188423157794 4904899170439867391',fp_set_cmd_dt,'-17170822 -267810154 -1521108655 >v})n %WQb8Z}z_@',tm_set_ack,'39927442089091161 6146120028019132654',rw_get_speed,'',fp_set_cmd_unix,'-880469654 1631444751 317030991 o-=ibiQ 6C5mI?',-6,6.502809762954713
com_set_config,'vDnQ=~@]B] fpx35Q',tm_send_status,'697650798',obc_debug,'2135663812',gssb_arm_auto,'-524375892',fp_test_params,"'2088436853 czHQ#To,D 1742330642'",-6,6.423168182373048
tm_get_last,'8287883324088204631',gssb_get_version,'',gssb_fss_commit_config,'',fp_del_cmd,'-747525922 1861296160 -1353335629 -681574210 -879880592 -1228781666',help,'',-6,6.507639646530151
