Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Exit Code,Total Time
com_send_tc,'-1163454583 ^V',com_set_node,'-864850959',obc_update_status,'',obc_reset_wdt,'',tm_send_last,'1206764188750736554 17281044688288739549',-6,7.288365125656128
gssb_burn,'',com_send_rpt,'-1094291370 x7U*',tm_send_status,'-647532822',gssb_get_uuid,'',drp_set_deployed,'-2081725619',-6,6.473103284835815
drp_ebf,'-1414978811',tm_get_last,'5786633432989754326',fp_set_cmd_unix,'1479370606 -434101907 759994412 `jL*+ -/jH|',obc_get_tle,'',gssb_commit_addr,'',-6,6.3773746490478525
obc_ident,'',rw_set_speed,'929997260 -1890464686',tm_send_all,'4891846015834328787 792892265178813482',obc_ident,'',fp_set_cmd_dt,"'979628337 1542989534 400643691 Af.nt#""=; A7a3''",-6,6.516784191131593
fp_show,'',gssb_arm_manual,'1914201924',help,'',gssb_fss_commit_config,'',fp_del_cmd_unix,'746833980',-6,6.709923028945923
tm_set_ack,'15298281806316943269 8923206004146460075',fp_del_cmd,'-119584958 -243718925 693639031 1899000229 -1695391966 1801369312',com_reset_wdt,'-72900169',fp_set_cmd_dt,"'-1655174285 -1556603485 711342255 ""5{}sRX .p!T>b<'",obc_set_pwm_freq,'-1546719218 339709866159401947890803911812158632021',-11,6.4885714054107675
gssb_set_addr,'1765464268',obc_update_tle,'',tm_send_status,'-299012276',obc_get_sensors,'',com_ping,'-1407356297',-6,6.5696120262146
gssb_commit_addr,'',com_set_config,"'6q,nN8%( nj'",fp_del_cmd_unix,'-320875018',fp_set_cmd_unix,'224043575 32811342 -2104796914 HnPX<t:^ .guZ',fp_test_params,'-1749326957 rK3Qaw -1962941603',-6,6.346101760864258
gssb_commit_addr,'',com_reset_wdt,'-56906960',tm_parse_status,'',gssb_update_status,'',fp_set_cmd,'523243826 1536444020 516763143 1711009917 1970020610 -346860591 817679886 -1504821766 > y(k{)t*IHT',-11,6.504809141159058
fp_set_cmd_dt,'1684073628 -42548045 1367519866 <lvt<q 34~bvh:I@',gssb_arm_auto,'764064008',test,'dO617hTuR|',com_set_node,'1451512392',gssb_set_burn_config,'-1190029804 877546167 -600449553 965183472 1089054669 2001071521 122930795',-6,6.397617816925049
com_send_tc,'-1995548697 bX',obc_ident,'',gssb_get_uuid,'',gssb_get_version,'',obc_get_time,'-841293288',-6,7.232236862182617
obc_set_pwm_duty,'-1091279763 481666385',drp_get_vars,'',drp_test_system_vars,'',gssb_set_burn_config,'1230888608 -1245368977 -808277550 -64927473 1495851394 -833742841 -1500636431',tm_send_status,'399823552',-6,10.509517431259157
obc_set_pwm_freq,'1424953781 311183330739486458597286272526234197577',obc_update_tle,'',obc_pwm_pwr,'1846446350',obc_ident,'',fp_set_cmd_unix,'976154470 212983017 -1176117916 1jTM-e N6%E',-11,6.536679983139037
obc_prop_tle,'8086166720913018701',obc_reset_wdt,'',com_set_node,'-1898804584',fp_del_cmd,'1187059399 -367159697 -1722714829 -1925717952 -2044005831 694637698',drp_get_vars,'',-6,6.430605888366699
