Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
rw_get_speed,'',gssb_get_temp,'',com_update_status,'s +N6X^u 1493284797 QV5] -99074046229686539454141128783806425363 Y@vp]2@ -1445638141 -9183061798728961283 6099342389522771552 232463368718254291156507652637438239844',tm_parse_status,'-`&&C 8357191077871478161 +h +Pv:J=Q 6561626627886653267',eps_update_status,'a>& Kk+Z+ePMY -2080916401',0,7.144062757492065,444020.0,10604.0
gssb_commit_addr,'1688403055 )d*<?;]>W= -1415935176605613466 17360480335080422794 112653609596032174828538021673719263156 8443730750104743707 . ~*Tew$n -45817530866935444072545304172625655909 193987182243530477387420659271110770444',gssb_update_status,'-1477299209802709618',gssb_unlock_config,' -578271417696630971 119642189809439489146450436561532464838 kgup -3968487336312283878 62232521038115678777063835164789158391 -2329467705227929709 -186870371161885346144334994918269322145 $Jm*^SFa 5003225166955831988 8201629937849773567',gssb_fss_set_config,'}',tm_send_last,"'-6097285837959762589 1823782138  -1923173009 7826407466622513246 a!; -1800157621 -1456816425909875594 W#0,'",0,7.267214059829712,444020.0,10500.0
com_send_rpt,'-2047765660897283490 -1372438452 -1539922828 14408867067663095375 105506550515200037351468585199141307400 7658344475083150545 -2217470626835157367 -561877547',com_get_node,'CP2<A -255702701967895342571086565734248125960 -243690812314125577560437675356829636177 -210219130766265594 16089253932364092809 -5560849381564679552 -10257064832370820836293726262607643829 10070672277946553536 3129737754370177244 -163354374881326361852640425093137308067 4434795243816109921',obc_set_pwm_duty,'1675811503361547826 234016530474045842602315499647046478307',gssb_set_addr,'-3612498477961420027 13799557552544954480 -1511591184 792148506 268443874313236379070318511522162136856 -4746695996101286313 -1418344450',tm_send_status,'',0,6.969557046890259,444020.0,10648.0
tm_set_ack,'ow -276134937294665649850895570847432817624 2246552433385893670 -233775801436102677485471221161180370309 o6*:j6j(*M -330240052 F 3768577465243016962 493704247 14083843213170108039 7054642178423990748',gssb_get_uuid,'L2:fEH -57655131806057650319110468429623992244 764806827106031294 4301133374280735547 4354872464429916502 -1255648378 838248492 -66067641553805461742931850241176078413',fp_set_cmd,'1125713838 -8361412494980690743',eps_get_config,'( 13653981578814380878',drp_clear_gnd_wdt,'-43264224808781953017066095780920656614 '^p',0,7.082874059677124,444020.0,10976.0
gssb_get_status,'-195403108565323062 'x_',gssb_get_sun,'307520338 8363931654232979520 312182749676301747751314471179020195974 14712290557048441280 -236234851705735705488614522710914814038 134054739 366651753',obc_get_tle,'-187437566895063359852589892098660948198 -72320205 151000010596237198419308751379510616287 290116543558318399190661758485731131049 166228227898157854612188786715909364409 18329611353857941813 1117984697759593089',obc_debug,'',drp_set_var,'Jvq`/pIh3c C*2}cJZBI; 9142521464535730472775153908572938606 -6510339003360181664 1103178099 4072969865800411873 83267690528675901215724046086982280025',0,7.057877063751221,444020.0,10644.0
drp_add_hrs_alive,'-1265047970 196776771196285840649665205448363110508 170781220 XmaE'Z)xD 306619924 :e9 4324194489720813219 -267898405656136257182380302050449449648',com_get_node,'75876194249066776304826726677474332333',rw_get_current,'-6549668928999565412 -144228019101737388440210993933202505004 663571765 1889095390 -1444846845 2229776857894696885',gssb_arm_manual,'',set_state,'10808394361074360799 351484052 10973817940204437750',0,7.053255558013916,444020.0,10748.0
eps_hard_reset,'9)STjJ:+6 u%hy*E 659096029589970612',com_send_cmd,'981027302540397540 2092593980 42007838445166056693746348665989837520 2085613895',gssb_get_model,'OBKN0_`F'P',tm_get_last,'-2564684260218111593 Kn'j 4040882032330461275 g=`6Z 9472917273608149150 5422372319596392942',gssb_msp_get_temp,"'Re,K -6089524243238886840 14342541164423626673'",0,7.31877875328064,444020.0,10636.0
gssb_antenna_release,'',gssb_get_temp_int,'93032739976897412906039781689140814402 16844317271907856044 720612442 *-u -1475974425659224070247369640381852954',gssb_get_sun,'623271780759664163 477208079 J 8508485381677557318',drp_set_var,'-2038742250 56561638676897170795745376377111994508 1349603411 -448636691 2379078779968308623 5947784704534059746 15828648 EqTU 17828663104313245667 14205836888315340122 -2022470214',eps_get_hk,'-5707622849999230733 -7014983500662091909 4494641211319666355 -6053352290586013166 245548918776157149203333199892424083385 1663063577 -3354395801141176015 -213321852 -3725826558865024610 1115819838 10383170752835374521',0,7.077459096908569,444020.0,10868.0
drp_get_vars,'-21175107352686347523162027850210271302 -193831375007388889185137854854867966852 89715253868881961443972735113977441081',obc_debug,'160209355269953341221694789928495696468 11055536195962139454 4831519777657824174 -3008573541830882658 69219514793249305334540893877815277235',fp_set_cmd,'-282639107175827570030537194194830858072 147881727109732101157589906663885464157 2831880970078840620 306360269522086441294912211600678121976 -61649018 -154880594133502153056904876434520580477 13712111978998140457',obc_set_tle,"'-2002779122 -5205471101097952548 nBXD3g? ,b&c1&|:'",obc_ident,'8137521125768014223 281782450339372192887802399819399055644 -1756206599 1069735173198291863 -6002796695437279985',0,7.253657341003418,444020.0,10624.0
obc_prop_tle,'PwCOmL|% -4809305542009704496 ur 788445756 1186922928356198439',gssb_update_status,'17478604155506595025',obc_set_tle,"'*s9CV'""7) 2127208931 1153204553608279120 7906622425469372008 -283190316483346105011222956225719639069'",obc_get_time,']\][`Q -143065944 1455323913 380872994 10673049589019201417 286041329463934853 1301793232 274602943778140629835347362871740327905 J? -5786041107719045257',obc_ident,'',0,6.983157396316528,444020.0,10612.0
