Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
obc_prop_tle,'-1322391878 9490556710912535218 u_ /tw?$> v*/C'Gfh?p 6118653048960259547 698423147058455446 3_H.6D'nF m6',obc_get_time,'-7508706732095203797 13767092362973291505 3823607999542885222 1439101 -7637146325123372800 1988193911188697410 Zg 67290601919534621857012861747693536318',gssb_get_version,'-31872595455752404096391371886497300903',gssb_set_addr,'',gssb_msp_cal_temp,'1525262464 13782015350593479281 -1774272899 5091347795601210707 -8873705234451153279 311147200530383035',test,'1478508714038250141 135307842287919139836937785358090677405 10899396081712165285 1571979882 -1300488107869194720 44782790777455980264730778911625853443 }j<=o P3k~cI!1D) 75|A8 -1432998544',obc_set_pwm_freq,'8494965996571733593 -1790487322 81494133537781467408452597388859721914 *',com_update_status,' 676422306 -5590293130909378597 18171297601443464881 -258707087938163479425993987110295070711 !H`/D?Y# -1308284751663976907 14770243977947609086 23188072364403513662827947645133952313 3186564565881394973 -314367200',rw_get_current,'1237497354 -112451425235984545477423261639115885442',gssb_reset,'',0,27.359432458877563,444020.0,10644.0
gssb_commit_addr,"'712541462488461462 11567691047204010043 6477136366482446840 -192436811678812626133587689333240180323 <{9 -336274008551658563130168064021947361731 =%GKk ,,HLXLL?, Ll?3YQIw *#U""=-X'",com_get_node,'5318468867253124161 -4558721700606436140  3550157676118264823 -1050381386 6802176332592787117 -1208853487',obc_reset_wdt,'3962309009561149773 -1970849783 -6948154153236797234 @|9vp1x7 6163813309433412262 SA UhbJ@O 30155562494382228271999180815962919202 -206961992626365569913992277476075106152',com_reset_wdt,"'12639688027479629712 , 3383422191927838487 1197105322 13632392983166507230 9196483357065788340 -352990706 <[U`""G&6WY 838625410293889076'",gssb_antenna_release,'15179404427764028456 413598296',rw_set_speed,"'8= |n!9b sKPC6CE\ 14743286556385752775 O>]~6yr+h 4291936919116232247 5gv6I^]M* 371931558 >Q,/hm -52498493 7124909066826830278'",rw_get_current,'-2990206348470187064 -1338332679 2723356639578958295 -7032270911124149389 832303179 -3820221531083916109 ',obc_debug,'580822178287215976 965158391922466801 -321942932 -46244391958041714711800825395134818824 8]Qv 106352138548598258 -2177656574308173623 ^D<p50xZ l8:',set_state,'58041854398533636246823973501646823143 -4189892709248153314 621896409 JCa%^&=s -752165258 9070366869607988642 -193111089051921825459797671016741171411 @A/hZ5FeN 414880800 9480076838455056297 :Wn',help,'-979493807 123746437158010590582953717754122198827 281399050426257106379329795054394637303 -7839394004015066972 { -318072467304225530060245863317373329132 9219966669386520479',0,28.90113639831543,444020.0,10900.0
drp_clear_gnd_wdt,'575148086 2046501497879710330 -183964253915318982011689548538887461944 15041329063982570865 -267083848320540165163179187166213815066 g&M 1005511310663912976 -7942521185213498059',rw_get_current,'5933095717100493386 -1737813783184589371 3733606707645203967 8077854107557380523 -645111554 i2Y 5909179968769579400978812207458356261 3894694774089885816 -143279916188282658016616683226186032468',fp_del_cmd,'%G!Spr~ -35957149768403223382898458009537219755 1601179276 4158168323917592584 5839350749430776084 -1881348715',com_reset_wdt,'4632974756762056049 w= 1240698757 954002728399403636 2848431604024323113',obc_pwm_pwr,'',gssb_get_version,'1605604542 -69876888320796612061740932599789448250 3284796952195204316',com_debug,'d9>',fp_reset,'-114177022701537962269267460700135677762  14293047366843287837 18117315194433503084 -3887010615915828249 l_2n',gssb_get_burn_config,'pn\b)! 8450076040261216365 13296571587958059602 -1436249706 10429508114345071497 -6442510050587472164 -4311757349580059641 1781039480 1857260863163039589 32556183',com_send_tc,'138958894885912290327480247977517453191 257567890227112597047524034408896097039',-6,28.164271593093872,444020.0,10472.0
drp_set_var,' 34961889944665699176779329055907155718 4988797006621082875 iL ypg/{\arM 8136615189196393288 -1988782077 161655021389827830237816202007901725962 2709893970639337193',eps_update_status,'9814779604562380574 9788749908965168224 -238867740260369637612059227711396167458 1916547355 12538691748025778082 -306713549583990380310370804880742376548 53585090289087165517628323456196576919 4146702266375601915',fp_set_cmd_dt,'-258408331 7346097083001954832 6949608332042170443 2490607749424009341 16884029568521974591 }w -1318354698 -10252606151526050933971899360705493392 1532154858489540375',drp_set_deployed,'-794034494 276098552742680034179230489704208491258 41193675 7823411704688000946 3357736149129544663 s:oGUy?_dx 2608415067417180269 7322117510183363078 %1%e 1431332530 <\',obc_update_status,'12430211024131262600 -275793363011360641208248308643146399485 4807849276166504617 -244957604762976320868988432364624595977 17387035152859058258 -6306977001339196154 9015471618878454915',drp_set_var,'bG()^x 2077942241 }VF` -270709612350538238977809264461671927999',test,"'1835975618 -6926713187372693539 865199004840531380 457845603 -1558461508 13233267296790298361 ,,\o!K,oC -257975634287110244340924229030304721505 1877871051 9201357132717855300'",eps_hard_reset,'Waal4Ne_A 3070246836054699678 -303287925 1023888656',tm_send_all,'1859841985036560735 109046696911335762586840039561324766552',test,'64949596512253933069849568449726912569 -2799611616008671718 -7789753134815439199 33312659964102956 334323785293195729962876819966225178956 78812290 t;;?9 -252338822 5I 260719649756068770316292558774920828935',-6,22.688486099243164,444020.0,10640.0
com_get_node,'SzBX 1240311162828256847',drp_set_var,'8973104581381143684 26352623486610186335216616550393026382 1974915989 -1607810729 4318009720363174151  -260291403152646484011878080540960328083 9926041420512261191 kq/] 5428791786599964358',tm_send_last,"'S `%m -374105536128151651 $ -6772471876402030845 -229939128 @krhNbkTL"" 4417061429633201026 4585757793911017862 qPC:A*`U kz8AF'",tm_get_last,'-143187971797294638883328047912487747943 3994037344615565010 4312852401071302588 -10783872306583692798582701363888663330 607340500 6133895844935021890 6Z=4fu+ 60916731 1245260801 -126060453218613064',obc_set_tle,'8471044183906411383 253948635374183695680699210948678544631 -22441758665547496112071230646606783203 634D}e]G -6201137327979716404',eps_set_heater,'1756332212',drp_test_system_vars,'-923194126 -306741424101452946806245831578916691718 549335672 -337696190135857473694090538233208765013 4C7^Qs -275060347466073969189606682197047847186 -82852257498504598566233860978307942720',set_state,'1974872509 p=?Z 244125180556341617211732434131156761871',drp_get_vars,'f1N(u -1309927258 {`37 10912702622638880027 6057230044219127926 -1810597749 2662935230097724015 Dj;c>x=H  -1718743274 >g}^X',gssb_fss_get_sun,'-3249578764985036799 -1314730464 -34977404939572378125242605045269972597 -115472641214520848934666358966528417308 -62865051483282869 251229952153220532 1296509317252686263 -277044120915719652658546435435165345145',0,49.75617051124573,444020.0,10768.0
obc_update_tle,'-1091003941702734100 6786430893487937168 17390071952167325795 263225541636712847952885942470585360684 2034438897865120632 1978834947886540298 13493495526817445487 117764237 667689686 < %S!SmgLI8',test,'7X$6 744325007 1747954494 OCr?QKUYq -207924058569176665791226195497501944708 R!i|d/\I 1700587085 9NlW~#\d 11334697675097977983',gssb_get_burn_config,'',com_ping,'zO%q) 5649441738757831336  1911397175 -154962405 12780787043206973911 507269528 -272069723 903104529',gssb_arm_manual,"'-1874425702780255503 -132641056 iD3F 1834937355791439726 -228388377 -20446022485075619495138059794264600306 {,Wv:~ -1576266682'",fp_show,'-432893244993838635 403003988 -204660432684668178965385381803901205376 -7937559933604050782 1650569113 14902626829873502065900450987564184661',tm_send_last,'66186659 bOi7lH~ ',gssb_reset,'-1661714744 8604693041387525401 -274701980685418102849713826536892655436',obc_debug,'',obc_debug,'-3707521135050906865 288415864683477606124113492460340328462 1903434101932448251 1915525021295193559 -8166564553359910064 ~n}Lz 1951769982',0,25.765071630477905,444020.0,10788.0
drp_get_vars,"'W&,KQeh:Uy -196703461822326865246301220361306488770 -8928529044078876362'",com_ping,'8339780231610977965 12614222877073697684',fp_set_cmd,'327376382',fp_reset,'-1384336353 166060051595382073602461779284183288342 1846120789 )'7!G=',gssb_get_sun,'-23559665634397018044043398636375751262 -8987720338285020055',tm_send_last,'8996232484990978303 +p 133156310133269955813951741273461892385 1795906332 3073387258415087832 5182037249759856008 -712161057950733959 -582011489 -1342977317 145772020901879260487539798392347344759',com_ping,'336323399184506181298612242061179959119 -157240924659449785009719264598327442878 7907219668991176908 475722793 -103647807127884448107291519366085287083  -821389652 l',gssb_arm_manual,"'<*t<;5K,'9 707080657 -5808919688980896268 ~`J'",drp_set_deployed,'-1850106568 -5885123310266278439 nb:ftM -149808203 682079407 11598602246514721840 -244097144 -362508772 2025843451007733892',fp_test_params,'J= 5851123118466046908 -180321985543732828882894571015903182774 1813399407683772882 3591490954032545286 K(PsNBf -248753076052766666164012890398679080344',0,28.609710931777954,444020.0,10916.0
obc_update_tle,')\y!5D -5794410553416593563 4506928894279775198 10826011600849183703 832922847 8661857997850806246 -1724365768 -283411241057931549827232600731516019548 Zs#+3 18162371421201302620 -240143566',fp_show,'18307858922654653174 5965668116172869002',obc_get_time,'16804195940182001665',gssb_antenna_release,'606864719246674259 2088363141 -3897481455676222051 11608399596634429411 200607921894103524402835063375453957647 -1792740243 1625012534 -7877109886390877557 83988941556555870216082346390175369907 X',drp_add_hrs_alive,'13608047134274665270 2YL'|r 11282396225027913872 -52593344664380051812845307134130973941 13774403275077635569 8341173656209231057',gssb_get_temp_int,'23392390857313393118843373617576563359 -140152940118447156000268476082341442315',gssb_get_burn_config,'9#U 16384326630570158773 29283923256439576147835445081843024935 Q7yg'E 3554080008980590713 -231590444617343733845381644529158176337 1382388544 2576314426148613441',tm_send_last,'',gssb_arm_auto,'17444182920156019674 4884783734812011832 7469479257288202740',gssb_antenna_release,'15522464693060853478 126058603724981833203118004064708686743 1967504136296615066 -691654629 152353680123694253247633980041773110925 -189814359868211586286549299058127006915 -101268479939027409926760213511240683262 4071273733986862746 KFGKQaf 7471783482298411729 113867008566467349904080346914836632014',0,19.851223468780518,444020.0,10772.0
gssb_set_burn_config,'cW*iI_Q -319188347271024891386561104440609095361 -2059107178 301743202 +E1]Pja_?',gssb_fss_get_sun,'7454673027003596432 967907159 3178094540802090429 ?b 12256015234676682397 I|%oe+3s 1888098348764576018 34156385623021837865543205140615635923',gssb_commit_addr,'-5606030555922460268 7815787570883476554 -1703239025 -263727414357206407795612025949476342478 10394604118917157942 12375234644444456042 2715819192847696627 L 982554311',tm_send_all,'-4781008685362697077 1178732037 1979018626 11693565976869380898',gssb_update_status,' 13264406005079241247 4591055444996698145 -8165840852784624876 # 5cDxyPWr',fp_set_cmd,"'>,v X*`AD""3 28717187887097202438041220159956021676 2365115834483174467 86{TJ 6B'+$J 2888542624427055511 15828840554909049316 M 994424976'",gssb_get_uuid,'12658403098947730119 13334694020005910394 -1567181237 vY6U -4242095432580635584 2330588746045676297 931275396 342743269 13262337784565034352',gssb_arm_manual,'8035478438084956167 6#Hq:/SdWY 13799137434330065758 9942437792634488260 8332624653165233987 92234318652157715498737724019692382423 255051425344339819860171866325185438039 246475471767901865852006461990798431090 y/V-E]E] -2479861111466549780 9259620455932732698',fp_show,'j:1T)# 4140481482048311344 217692213031483131524552665750207776470 17039131850175064168 -575220055 -20452821120952888839319424150748331712',gssb_update_status,'XaO -1687556736',0,7.219465494155884,444020.0,10900.0
tm_set_ack,'-G BZT] -4921314244296143781 -126326548926827113949556806433990530533 7053128465711972867 -5344123722462988951 -328401011151173387410463320175205175819 1750204111',gssb_scan,'7334844919643374641 23670662160620437674095922096706477031 -1115876139577409092 -1916046668 12570699567774354441 -237267086273174608247858277224680738302 170132594212799909509666437451873208662 1610125509 837974650',obc_debug,')V&t@ -50062526021384338725023968861572495467 1059640668128551000 7325724730596142523 2203613895847806779 18122266711657018012 U7 -284654349183623998161218774415311558096 -2284877703984177586',eps_get_config,'13048798079027131610 -275800316693288793255725452460680642507 5971212085097963679',obc_set_pwm_duty,'-53612020379632419479660098556839536730 13439326242768420461',obc_set_pwm_freq,'-2969282524308681456 FM;1< 13128110490308045474 784965624 16153495311306930307 aUBPf3wG 215567523316410593820132437695221880744 -1610804330 ',gssb_set_addr,'-7531527361956595225 -4630748583818560300 -312488262 11125916552627616923 -142968184413493791354409880489458478027 2854150968928281108 147665668811904760025534620940639205514 `A 11210222797848937572 1507989151',rw_set_speed,'-1964735627 -1255676360829585794 28816318081256735528319075546611039872',tm_get_last,'NR|KONVs< 3505535925666030647 1180909532984349626 -4196779219219179608 11237499735824252645 -326984636987104907446507180986278425397 Fam(S5wl# 229908395 5318709758905088259',gssb_set_burn_config,'-8963901150780498607',0,7.300544738769531,444020.0,10472.0
