Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Command.5,Parameters.5,Command.6,Parameters.6,Command.7,Parameters.7,Command.8,Parameters.8,Command.9,Parameters.9,Command.10,Parameters.10,Command.11,Parameters.11,Command.12,Parameters.12,Command.13,Parameters.13,Command.14,Parameters.14,Command.15,Parameters.15,Command.16,Parameters.16,Command.17,Parameters.17,Command.18,Parameters.18,Command.19,Parameters.19,Command.20,Parameters.20,Command.21,Parameters.21,Command.22,Parameters.22,Command.23,Parameters.23,Command.24,Parameters.24,Command.25,Parameters.25,Command.26,Parameters.26,Command.27,Parameters.27,Command.28,Parameters.28,Command.29,Parameters.29,Command.30,Parameters.30,Command.31,Parameters.31,Command.32,Parameters.32,Command.33,Parameters.33,Command.34,Parameters.34,Command.35,Parameters.35,Command.36,Parameters.36,Command.37,Parameters.37,Command.38,Parameters.38,Command.39,Parameters.39,Command.40,Parameters.40,Command.41,Parameters.41,Command.42,Parameters.42,Command.43,Parameters.43,Command.44,Parameters.44,Command.45,Parameters.45,Command.46,Parameters.46,Command.47,Parameters.47,Command.48,Parameters.48,Command.49,Parameters.49,Exit Code,Total Time
tm_send_status,'16992042016811144632',gssb_get_version,'',tm_send_from,'11015192081651188461 8536562466877946298 -936228682',help,'',drp_ebf,'-8198764071000482727',test,'14329315648159970292',drp_set_var,'3121048484058948179 [q',drp_set_deployed,'-50122126705994981',drp_set_var,"'-1327765504 Ss^DX""Is55'",com_set_node,'-1370552490557309473',fp_del_cmd,'p/ 5893407419922339857 13136327186799873296 11301178139267868519 -2616366549155779409 -5566859893600726654',obc_prop_tle,'6748431272318788544',tm_parse_status,'',obc_pwm_pwr,'6730583199954789614',tm_send_from,'13961786520083105782 1557071317 132154772365196391393927243014024559277',obc_set_pwm_duty,'10897103571718281831 53604419484283317894889720543296703682',com_update_status,'',obc_get_sensors,'',fp_reset,'',gssb_unlock_config,'\t;B',gssb_get_temp,'',eps_get_hk,'',drp_clear_gnd_wdt,'',obc_prop_tle,'&PEbTCS',com_set_config,'-1623968475 82954420817509854663183684917649076387',tm_parse_status,'',obc_update_status,'',eps_set_heater,'1671289389 4603293022485006985',fp_set_cmd,'1622253287 59642515531413908102998494113997869942 -1903882749 0@o 5329167381147501150  -785809474 -2410935205866089929 58192275507489916 >pUVoVB',gssb_scan,'1312017403354559802 128796980267745731288844703811195330794',rw_get_current,'',gssb_burn,'',fp_set_cmd_dt,'>#Y950g(| 30611651074271944183765891158949228418 -6227098415004592506 8590025479937782961 -293052427416606346992606369884305380120',com_get_config,'3130350795935053785',fp_show,'',gssb_get_sun,'',rw_set_speed,'G}-$vj!j: -6095840892340184680',gssb_scan,'N -1757931147',gssb_fss_set_config,'`',obc_set_pwm_duty,'XRG M}+{-5(F',gssb_set_burn_config,'-1847757183 -1418388816 7642407809553948870 -410901743 17566417819610593486 -1555202034797768949 -1664035057',rw_set_speed,'-1097827555 VD',drp_test_system_vars,'',eps_get_config,'',obc_set_pwm_duty,"'d""okUC5]f -46904833532031852307158128621587132667'",gssb_unlock_config,'9081338722847736805',gssb_msp_cal_temp,'\N -9180221486673805171',init_dummy_sensor,'',tm_send_last,'324663672304520602760772163212561497701 -273714851657400494579682631674288391545',gssb_msp_cal_temp,'2173238599453811994 -321224435738596903',-6,7.081285238265991
drp_test_system_vars,'',gssb_msp_get_temp,'',obc_get_mem,'',gssb_get_sun,'',gssb_set_addr,'12863946953740782640',obc_set_pwm_freq,'-158548789 :k9UM9*',drp_get_vars,'',gssb_unlock_config,'a',com_send_tc,'tm 9656618763469321774',obc_ident,'',gssb_get_status,'',drp_set_deployed,"'h]Js1,@'",fp_set_cmd_dt,'18380834076309437717 -6774661018066538049 2093609691577396500 -45186168595007612985734845275376185425 -139455893695751036962435470108195938125',gssb_antenna_release,'10578663414349026026 306562607470857959853773988379355657550 SyvqR`XGy -117463809501509057406900069635112967361',fp_del_cmd_unix,'17683469533363699150',com_set_config,'t6S#dy1dP 828034686069657635',rw_get_current,'',obc_update_tle,'',com_send_rpt,'q7qo 10481412081382806652',gssb_get_model,'',test,'-266902464854999087360961134694297640134',fp_reset,'',eps_get_hk,'',obc_get_tle,'',gssb_select,'-7726229753505341785',com_ping,'-4781072323522161883',obc_get_time,'-481650088',com_send_rpt,'9183162190160900388 -4103660195787605398',gssb_get_model,'',tm_send_from,';16y@x#6 -7031152940515870950 -1985808398',fp_del_cmd,'1286168794 eH5 -7002369662228250989 5072145328811572536 -7579344431213806397 6281797729670686019',tm_get_last,'-316728018335620459773023660960597625703',obc_set_pwm_duty,'-4364310346128680340 13623757124214039836',gssb_reset,'',tm_send_all,"'7604749113808364357 ,]'",fp_del_cmd,'-187689483285541551454875948822953698475 17664445742975312593 10732737763622230509 -1400143468674871580 17480272082173082982 3298086905006942152',fp_del_cmd,'-1865134006 4723267777163955479 -1947978070 229448386363064230151401352064337477580 126838569315781929315054027274924180258 40144301883632761431886093240925074436',fp_test_params,'286935418691288919981413653431138181021 -4754063565733323536237413021558777298 v(jg.',fp_set_cmd,'-7821898969790860606 x5E;'[$ojv 14671448574565200901 -1404281821 -1375120776288205713 287817520402178721359335252089899894763 -1156345720 4647244387103829062 36940548172124603540691518493941617612 14382397387199864054',test,'-482773179',obc_reset_wdt,'',eps_set_heater,' 9460775387840068390',drp_set_var,'-1750140843 D`_bi98C{f',gssb_set_addr,'666525458665927981',tm_send_status,'2117851554593406627',rw_set_speed,'1005109452020779844 -73918373804597564442680230500067920074',drp_clear_gnd_wdt,'',gssb_get_temp,'',com_reset_wdt,'5971416479294253041',obc_get_time,'933852789646735461',-11,11.289864778518677
gssb_update_status,'',gssb_get_model,'',obc_get_mem,'',obc_set_pwm_freq,'-117419682905492274867561710755498083369 yQIWS?E=',obc_set_tle,'-2731648519997554370 -410236659',rw_set_speed,'198103250 -5602190463771070751',gssb_burn,'',gssb_burn,'',gssb_arm_manual,'279587206719957190194111510261169270668',gssb_fss_get_temp,'',gssb_arm_auto,'2618071710076584105',obc_get_sensors,'',drp_set_deployed,'-2091303845238110681',obc_get_tle,'',obc_debug,'j(K)dJ1dj>',com_send_tc,'Dl 1449500126',gssb_fss_get_sun,'',fp_set_cmd_dt,'I]D=+?gg# 1830317794990697763 18229190775435873389 8790957136034462388 90563709007738812974574936548256111608',obc_ident,'',tm_set_ack,'-336666533444200461 3755559849536573672',fp_set_cmd_unix,'-1038668877 7508364405252561404 w -9128067290136463501 U/I9cOm\h6',eps_update_status,'',set_state,'13151164024417365327 tz4 1853603126',eps_set_heater,'1581418164 GY',obc_get_mem,'',com_reset_wdt,'-69445277975794621805938873035728288494',eps_get_config,'',tm_parse_status,'',com_send_tc,'-6338745092805086678 FH',obc_update_status,'',gssb_fss_get_temp,'',drp_clear_gnd_wdt,'',drp_add_hrs_alive,'24378607612644143790471724915638337935',obc_update_status,'',tm_send_last,'-7975541610749110530 -8451518495025098312',fp_del_cmd_unix,'-266491176896448775679008396970738736385',drp_test_system_vars,'',gssb_commit_addr,'',com_reset_wdt,'5295199108231728233',eps_hard_reset,'',com_get_config,'S>F>>+Ic',obc_get_mem,'',tm_set_ack,'-264293951847238933664978952939526064088 109756499129596256',com_send_cmd,'-573081362 -2809029337973594872',obc_debug,'-2675326103419190699',tm_parse_status,'',tm_parse_status,'',obc_get_time,'X2Arp',gssb_get_sun,'',com_get_config,'9145139036996862529',-6,9.418615818023682
obc_set_tle,'1866978425 1911815932',obc_update_status,'',drp_test_system_vars,'',init_dummy_sensor,'',com_set_node,'-9966130984948035',eps_set_heater,'#A% 7732056124229164868',gssb_get_model,'',obc_get_mem,'',obc_debug,'18113324349762736541',obc_set_tle,'-830496129927103528 17006327459375386430',com_update_status,'',tm_send_all,'6479663025578179812 1177629482',obc_ident,'',obc_get_time,"',m9*+4'",gssb_select,'V.-B)Au',com_debug,'',obc_update_status,'',gssb_get_version,'',gssb_set_burn_config,'132193344924492907250866125983113139487 1475985091 10015001614316503990 )y[|*xXBcR 46596447277667583465498608289037966538 -2032595962 4242136246621460123',obc_update_tle,'',gssb_get_temp,'',gssb_reset,'',obc_get_tle,'',drp_test_system_vars,'',fp_set_cmd_unix,'6047318235855158586 -69725447 Kn2W 198359453 5409236927160567024',drp_add_hrs_alive,'9636833144159684785',com_update_status,'',eps_hard_reset,'',tm_send_status,'9866987638273178020',rw_get_speed,'',obc_set_pwm_freq,'4045236317568928687 -1634321318',gssb_get_model,'',com_set_config,'-649024060 3419795670024243549',com_ping,'-520018832',gssb_antenna_release,'-216220258646698175887489974941523684511 -324369377135116922947538188082850474850 -1457617135 -1565257719',eps_set_heater,'13220303772148500954 -1952203092',com_send_rpt,'8267453041441134849 7667429401791168390',eps_get_hk,'',gssb_commit_addr,'',gssb_get_burn_config,'',gssb_msp_cal_temp,'-94685478213314133 114027520251238514259779369066902162277',gssb_fss_commit_config,'',fp_set_cmd,'-5379350811457661885 616844394 1084375628 44698125940400350739021964445886862029 11354508542855451959 -1521970173 _B5OJ 6505013595305086283 3943142237820512611 298164083460406509672672938621410242364',set_state,'335771362344577234246743676786286693673 916609877 1363893001',com_update_status,'',gssb_set_burn_config,'-267708982534037218887896085129300077720 -303168995704043110452066235935068321159 d.1omJnFt> 84473877381391741773512202436349147438 16188174123313907662 -2001976420753577757 30815852655158886287839704481857115922',gssb_msp_cal_temp,'302766610 94012737528961443',eps_get_hk,'',gssb_burn,'',com_debug,'',-6,15.6961829662323
obc_set_tle,'1578573361100729992 KGG}uD',obc_debug,'-8749200180728119541',tm_send_all,'14294248891877505317 -10968730129555303763954617998376372921',com_send_data,'198416213505332422508890734695899773023',tm_send_last,'167454298806744815854655994662573023576 2923014079309799820',drp_clear_gnd_wdt,'',eps_hard_reset,'',gssb_get_version,'',com_reset_wdt,'1603406471',gssb_fss_commit_config,'',fp_set_cmd,"'247897234515982340395390590991749359994 8257635168978352744 -257821802016957589541529369263477438808 6830357839799231671 15143696042918604983 2024341686 w]8h -6044555029062617451 ,%D<nB7 280812166917409784305288107847404570648'",obc_set_tle,'272717640148324211805195137916115910674 -679377245',fp_reset,'',obc_get_tle,'',gssb_update_status,'',fp_set_cmd_dt,'82801691088838312759647871343351596597 -462963307127080934 -1711578953867448196 SfkOksu 14550076448643625874',drp_clear_gnd_wdt,'',obc_set_tle,'12815939162551406240 5243631047624520342',obc_reset_wdt,'',gssb_get_uuid,'',gssb_reset,'',obc_set_pwm_duty,'82054559824797560512751629100441129403 9843735617176981379',com_debug,'',gssb_get_model,'',gssb_arm_auto,'2736466718607394647',tm_send_all,'1960039699 -810391214',rw_set_speed,'-844106979 %+GUB*|q`',gssb_msp_cal_temp,'9595905987674306519 5746977029270130204',drp_get_vars,'',tm_set_ack,'166974572206371782179852927587121889075 1519523511',obc_get_sensors,'',gssb_get_temp_int,'',gssb_select,'1570699638',eps_hard_reset,'',tm_send_status,'2133283635803186032',obc_reset_wdt,'',gssb_get_uuid,'',drp_set_var,'+q6.;eNnC_ 12651900311767827537',obc_pwm_pwr,'3709731753408128281',obc_set_tle,'-1319228068 Y8iVu%SoY',gssb_scan,'474156166 8413322334963643416',fp_test_params,'259066704453802647925705626328037886237 919577156473038487 496293410',com_send_rpt,'v4ooVa$ 69928735740217385976430654285937421293',gssb_unlock_config,'1344038342424049024',init_dummy_sensor,'',fp_show,'',tm_send_from,'7208513221990883790 -8810810376903725091 308976697229843692924515463628161462443',com_set_node,'1599320827921341567',fp_show,'',eps_get_config,'',-6,7.4554598331451425
gssb_commit_addr,'',gssb_msp_cal_temp,'15406333993049905727 p',gssb_scan,'856215838 16818684207980550294',com_debug,'',obc_update_status,'',tm_set_ack,'-4573979854670595963 95]'^L[V',gssb_reset,'',tm_get_last,'-4053839935681609276',eps_get_hk,'',obc_set_pwm_freq,'>DaJq@ ',test,'13271617300042398391',eps_hard_reset,'',rw_get_current,'',drp_test_system_vars,'',gssb_fss_get_temp,'',gssb_get_burn_config,'',gssb_unlock_config,'8056727909734652586',fp_show,'',gssb_pwr,'91324697225990651652585199314402781590 v.H3',eps_set_heater,'-595716333 -181300170800727138340290870440215416639',com_ping,'519462262',obc_get_time,'506699078111363188',drp_test_system_vars,'',com_reset_wdt,'',com_set_config,'290306739377186556447988561939721178198 -1971875210',obc_reset_wdt,'',gssb_get_temp,'',eps_get_hk,'',com_send_rpt,'422381930 5568646798025217881',test,'a{)Ncd?',com_send_tc,'-1251125980 47719125320795356431865104650955553865',gssb_get_version,'',obc_pwm_pwr,'-1923713010290447754',init_dummy_sensor,'',obc_pwm_pwr,'22945182269451529080801351404187668116',tm_get_last,'17579719363320010802',fp_set_cmd_dt,'NOK 8479122704658160621 39341657 -1815730468747593168 -1200869156',gssb_scan,'-315083658523523145875203045384504861899 12403435883088372703',rw_set_speed,'-1739886891 -8416837020229831926485828086748966214',gssb_antenna_release,'90530630175075186948642629436500444925 -300492056996980201347312680607705010116 A6):~! oW:n',obc_prop_tle,"'*cx5G',R'",tm_send_last,'nU9Zc2x}r -6326713287155670200',fp_set_cmd,'qeeipE 18026376598134159710 tjrhF -296046928138849538042078425750494849527 -917372742984273254 264567161806693114319676850030968903737 54543123692936326759867453285833141604 -5981203264571387600 -425537168 8494783324616411794',obc_get_time,'5718412339017332358',gssb_update_status,'',com_send_tc,'-718888731876517226 -195605194397943808616556745521779662514',gssb_get_sun,'',drp_set_deployed,'-446556223',eps_get_hk,'',eps_update_status,'',-6,19.185152769088745
gssb_msp_cal_temp,'-123329926347396112638596978000906456221 4468021697552107911',fp_del_cmd,'5005506030084348404 -3320694221265552544 781227020 -1286369348 qG7# 9763122697975383194',tm_send_status,'2187525088358918167',obc_reset_wdt,'',tm_send_last,'6715902848731118751 Mw',gssb_msp_cal_temp,'7446409101004126911 517682734',fp_test_params,'JL|mK Edc 18270560227710385193',obc_debug,'-3987848070676180065',com_send_cmd,' kg',fp_set_cmd,'9dH{0IW?j[ 1443583348 -6099972220512294586 -334290119836265782400759837164364593741 -6370854694526773000 322433102038309545127215410573591051427 728495592 3690503153443141725 263557490885481493612703209471564244309 -1783172447',obc_reset_wdt,'',gssb_arm_manual,'124670853975000353618328095523352813965',gssb_msp_get_temp,'',rw_get_current,'',drp_add_hrs_alive,'-186427803080945949448827202072604021408',gssb_get_uuid,'',tm_set_ack,'1952639956 -3565562262353816822',obc_get_sensors,'',gssb_pwr,"'<Be3'&Ec ;:7@0\,'",com_set_node,'-3733427171367366684',gssb_fss_get_sun,'',tm_send_from,'2526616147721636026 3139723280438007826 17m[eFp[u',drp_set_var,'3637026663285354635 }41u.',com_send_cmd,'17118849033000442495 -440000861',com_get_config,'185903918421174227093113229897906173725',fp_del_cmd,'15372064739094440760 1455886645 3439899408015697430 -433771602 242723045 rkaA7',gssb_get_uuid,'',gssb_get_status,'',init_dummy_sensor,'',gssb_set_burn_config,'323hY(N -2502614490871709848 -2250632709828358800 1841605183 -672691520 1612344450 qF',drp_set_deployed,'8322453548111661087',gssb_commit_addr,'',obc_get_tle,'',gssb_fss_set_config,'214578985573096419401577271373309791025',gssb_unlock_config,'-1802568384',obc_set_tle,'5156920566272207382 -322199436846087193917048225092846656610',com_update_status,'',eps_set_heater,'ma &kMXM:',gssb_get_status,'',fp_test_params,"'-1215303730 \^W*:""\p/H -308458830172061236658428341748019937958'",gssb_unlock_config,'10509710957681244065',fp_del_cmd_unix,'4739004523040503255',gssb_get_temp_int,'',eps_update_status,'',fp_del_cmd,'13456576289427912770 ZNLtL$( 645985630 8512509624753689591 -188797434264034896296401691183050090607 90028761',gssb_arm_auto,'3117038382667058762',obc_prop_tle,'-738913867',fp_set_cmd_unix,'-651024787003026195 971265882 ` 840246707 335653722703989952802694546280202299921',rw_set_speed,'579965916532205793 10231210232993800723',drp_add_hrs_alive,'-311514456615551220792531982332406320623',-6,6.3979315757751465
eps_get_config,'',com_send_tc,'-273162417 16860189373067254179',obc_get_time,'312822564085748979841779277554229509805',gssb_get_status,'',gssb_set_burn_config,'-94087415641171160538761905835345601114 -330640059532417317099879928153825098423 10203213140913146859 -258093805799400846177429065115964547989 3735991045639813625 -134573112622040389290515190611548897221 18295220305933615752',gssb_arm_manual,'7191967971132819411',gssb_antenna_release,'7485002640685422690 6215785113598352317 -5973290129474979612 256964507769785868376496969968579399885',gssb_select,'315451835954337511847948690635895627799',rw_get_speed,'',obc_prop_tle,'18142017377658712754',gssb_reset,'',eps_set_heater,'996714596184319097 13834843260464960748',eps_set_heater,'241527635159580677463117456430108747046 -1041053404',obc_set_pwm_freq,'1806391094 13803538376771610361',gssb_msp_cal_temp,'6363164326780833575 ',rw_get_current,'',gssb_get_temp,'',fp_test_params,'299565200349181948 3qA -F6q^'erM',com_send_tc,'1233871497 2646823100626550401',gssb_fss_commit_config,'',obc_reset_wdt,'',gssb_get_version,'',gssb_arm_manual,'4214661411699589713',tm_send_all,'53583086456490590835977547190890580571 {:_nX',gssb_get_temp,'',drp_set_var,'137404904 16236297584328237110',gssb_get_status,'',init_dummy_sensor,'',test,'7290309891089838260',drp_ebf,'2101004969',obc_get_sensors,'',gssb_get_sun,'',init_dummy_sensor,'',gssb_scan,'-229777013 183311499376822064034421025516856338341',drp_get_vars,'',rw_get_speed,'',com_set_config,'-5980349462165329554 -2157252883730829667',obc_debug,'5iWa!uc',gssb_fss_set_config,'7244268966503664146',obc_get_mem,'',init_dummy_sensor,'',com_set_config,'-8620044241236873567 12151466760219063623',gssb_fss_get_sun,'',tm_parse_status,'',gssb_fss_set_config,'-32199203239665400879177114932127445036',gssb_burn,'',eps_update_status,'',eps_update_status,'',gssb_scan,'18434852047657761898 329623836940694605704835596295117854771',com_send_rpt,'272514207370957905948936275183134385259 -95597823689929351349248071554145368152',-6,7.384214878082275
gssb_antenna_release,'9233277182561835047 12388546595569658969 16099180873126617135 @Z(Je',drp_add_hrs_alive,'28873507',gssb_get_temp_int,'',com_get_config,'5104435507307893538',com_send_tc,'5006203441638773996 -61869691361711710857040162160291607140',gssb_msp_get_temp,'',gssb_get_model,'',obc_set_pwm_freq,'1107525829 15382020003405264386',obc_set_pwm_duty,'17283531751380957678 108311269616092864003306268171511822213',init_dummy_sensor,'',drp_set_deployed,'-1573898819',init_dummy_sensor,'',com_get_node,'',gssb_set_addr,'-164400437883467478533023876118246250214',eps_get_config,'',obc_get_mem,'',obc_set_pwm_freq,'ZoWQ< 882211995250355543',com_send_rpt,'%+ \&`',eps_set_heater,'16001269281047207611 -6308439577563754244',obc_get_sensors,'',eps_set_heater,'-3934242091940745949 2565959081803597926',obc_get_time,'6898968695905433028',gssb_fss_commit_config,'',fp_reset,'',fp_set_cmd,'250805913813927123 9585757083678080180 -461816829300843632 1909082586 ?4-ZJ/.^k 17524243161566666688 17772334671233299823 16369300681707825034 996713040 G56c',gssb_get_status,'',eps_hard_reset,'',drp_test_system_vars,'',com_ping,'3979440237807353572',fp_del_cmd_unix,'9004537122038660688',set_state,'-995024576 895292123 -1132134820',drp_test_system_vars,'',gssb_get_temp,'',gssb_reset,'',obc_debug,'RO>!A',com_get_node,'',help,'',obc_get_tle,'',tm_send_last,'1969010731 211939900',obc_ident,'',tm_send_all,'4913053867652130665 169190236262369702561831557264220247254',drp_clear_gnd_wdt,'',gssb_arm_auto,'-252103627643381665820180738982471924629',gssb_fss_commit_config,'',gssb_get_burn_config,'',fp_set_cmd_unix,'1947476227 877842931 4923465772175814559 218093581325030886412227623049117513591 A-|k',tm_send_all,';@t73o+B=h 12226176663197933348',obc_update_status,'',gssb_fss_commit_config,'',gssb_fss_set_config,'4084067325036700849',-6,8.312554121017456
obc_debug,'-55146406710939938396183880368466367545',obc_set_pwm_freq,'7097481458716255353 18042124182631404673',gssb_get_burn_config,'',gssb_msp_get_temp,'',tm_get_last,'-1788724497012124864',drp_test_system_vars,'',gssb_msp_get_temp,'',set_state,'9994726118260605056 654777704 U>Wb.m$-1',com_send_rpt,'4065043837940180096 -1809076115',gssb_reset,'',test,'5715395210812647617',gssb_update_status,'',gssb_reset,'',gssb_reset,'',eps_update_status,'',gssb_arm_auto,'33813138258551757004677750741413114959',rw_get_speed,'',drp_get_vars,'',gssb_commit_addr,'',gssb_antenna_release,'<{'W&2e:>} -211751950367880855248064172586499784467 -62693826268689605805346246899551061797 14866278580119284796',com_ping,'10793015575684173636',eps_get_config,'',obc_set_pwm_freq,'123400469651909097455746699646488886597 3iim',tm_set_ack,'-2096282140 -5108240262658165608',gssb_get_model,'',tm_send_from,'-1937930567 1402314747 4542792687762291872',gssb_get_sun,'',drp_get_vars,'',gssb_commit_addr,'',set_state,'286584581 -207809432 594253336',gssb_get_burn_config,'',fp_del_cmd,'-73224552 1108051477 9805496722553725879 224503232726166020238568915414533107030 6920700227441993175 14186674457068353227',help,'',gssb_unlock_config,'-996357777',gssb_get_temp_int,'',drp_clear_gnd_wdt,'',tm_send_from,'4606143520411074470 -9896516482661183 187039572974256086243609028717899507145',tm_send_all,'-121726044867028273558475474315449081970 k',com_send_cmd,'TQt 11661114411971265793',com_send_cmd,'1328161356 -302579748',obc_debug,'-2382057594886498797',tm_send_from,'13943879064011183636 2227225965280714865 244100771860497971134036988245444225281',com_send_rpt,'8163377611491733755 17689567950120462352',obc_set_pwm_duty,"'-338045170303022828360991773814532034105 FJ""e75G'",test,'854759718588233277',rw_set_speed,'-1345291056 5587372789829773978',gssb_set_burn_config,"'-120308645670750888404237253205656112231 98919260199415656 6:=qcknf 5096962669864878699 -1692929576 8100858286842440485 l""Aw>2DK@'",obc_get_sensors,'',gssb_get_version,'',gssb_commit_addr,'',-11,14.170778751373293
