Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Command.5,Parameters.5,Command.6,Parameters.6,Command.7,Parameters.7,Command.8,Parameters.8,Command.9,Parameters.9,Exit Code,Total Time
gssb_set_addr,'-5155981770021108408',test,'-20375457',gssb_fss_get_sun,'',fp_del_cmd,'upJ; -GN8YZGd -3174110914983579404 -8755448507081043620 dcU_n 6W)(qa}${M',obc_prop_tle,'5032808836747897101',fp_set_cmd,'15555157652950161314 6709786999551406790 -378833596 -48219189729065219894869549530057652039 -1414789209 ALOSioI -239959200965574374525040479144190592152 1911715084037785036 6243167188239196396 242837870769863023571523759822931071957',gssb_msp_get_temp,'',obc_pwm_pwr,'2065032012346537012',obc_set_pwm_duty,'-6664419943827398689 75826255876739975688752038148817325367',tm_send_status,'7339394750944050617',-6,7.065106630325317
test,'-3932990300205765606',obc_get_sensors,'',tm_parse_status,'',com_set_config,'5859133020922159750 18097798480196038369',fp_set_cmd,'-269101504259744699764704798962643300212 5sC~*d@` 168635918381563805932746469615611676116 1545221261 228415308473173102043942077990012480260 -2035597208 7452225968125806407 10455011806678478416 /` 17224998718222767444',gssb_get_temp_int,'',drp_set_deployed,'',drp_add_hrs_alive,'126723209212225710',gssb_msp_cal_temp,'3328287028701324153 3207901826905378124',obc_reset_wdt,'',-11,6.755675554275513
obc_set_tle,'-47356711 38446563692111993525674810175071218324',obc_prop_tle,'12806698238980892915',obc_get_mem,'',tm_send_status,'8196452414068977089',help,'',tm_get_last,'6929732190583363467',obc_set_pwm_freq,'V|= 16302226136554816547',gssb_set_addr,'-1600977725',gssb_scan,'-6040012954431077845 -2112411447',drp_clear_gnd_wdt,'',-6,6.939902067184447
fp_set_cmd_dt,'731306826 100072059710671922108695226534545556769 944624670 173549439351481313780539866029471166729 170856808481931815596030452209422078566',com_get_node,'',com_send_cmd,"'|'bBh= b5Q.*(,bv'",init_dummy_sensor,'',obc_get_tle,'',drp_add_hrs_alive,'782951396',obc_set_tle,'1468124999 9953396760311383143',init_dummy_sensor,'',gssb_set_burn_config,'292730567 -178465466162797319391573827519655332421 -4513327738662748020 -279955214790399754826911035672590476262 1812433241 -1420325662 -257742263999773074572058529449329471408',drp_set_deployed,'18772411219407540968572559145458659338',-6,6.214905738830566
obc_set_tle,'-2064889749 2330644029874248174',fp_del_cmd_unix,'83051802035249474003240647965788157601',com_ping,'-1242056329',eps_set_heater,'5085179715152746257 489206074654659333',eps_get_hk,'',com_set_config,'1947593366911434992 673587047',set_state,'-744162917 4545757876366608783 (qV',tm_parse_status,'',com_send_cmd,'1378773280 3267207485576255488',drp_get_vars,'',-6,6.520395040512085
tm_set_ack,'Sui -2119688495',gssb_msp_get_temp,'',obc_prop_tle,'16532603725841968321',obc_get_tle,'',fp_set_cmd,'66003356046326425110063977202133083323 dBj0J -1024420409 7692335105816067334 11328197680853150373 -1476985306 4542094742215576957 *_D' 13661370150303714949 -1529264959',tm_send_status,'4106766966523245827',com_get_config,':|X^#;%\',fp_reset,'',gssb_get_temp,'',gssb_reset,'',-6,6.709054470062256
drp_add_hrs_alive,'2791517301800140768',gssb_get_burn_config,'',gssb_update_status,'',gssb_get_uuid,'',fp_set_cmd,'8171221496150069122 1865988704 -93164021904965217949837830243792843598 1348666522 734211742 2017084694 1115939663381593161 904189899884195204 -287514925060732607575343929549179407407 1280958786',obc_update_status,'',drp_ebf,'g',com_ping,'3832441739443633390',gssb_fss_get_sun,'',com_set_node,'-887844602',-11,6.577663898468018
gssb_get_version,'',fp_set_cmd_unix,'-8848141920405184912 -224289010080442202221336514495779626531 10105122780572153516 -1036907621 -8563843025345033044',rw_set_speed,'-200883348 -244614886919938872056592834162550263568',drp_add_hrs_alive,'6754810248679490830',drp_set_var,'12788889541292653954 6843546532167133094',fp_set_cmd_dt,'1186442253 -5608868593476777551 296992303 -265289031929584727580368695435328517967 15776724740876437928',obc_reset_wdt,'',obc_get_sensors,'',set_state,'1298597661 ;k>2)BROJ 5552695483769853049',gssb_antenna_release,'0A -225671300087569689467976893136367757699 3641152461183864754 -411079443',-6,6.292428255081178
com_send_cmd,'KPZB:aJiW -7823817965294695906',obc_update_tle,'',fp_set_cmd_unix,"'195861375682672184032464602560070007302 -981507483 1000911223 3417556555759412799 +""nA4r\6'",eps_update_status,'',tm_get_last,'-4043585127623339356',com_ping,'168935952962870285697683203294124768079',gssb_get_burn_config,'',com_send_rpt,'11533490627979894801 1202196655148710399',obc_get_mem,'',fp_set_cmd_dt,"'z 5130764684358639194 ,XHa:4""m 2227416600859587015 52461788084388514900786692043320145834'",-11,6.369261741638184
obc_reset_wdt,'',gssb_antenna_release,'-7031482175847011894 701722599 465867977292246275 10584086769153863422',rw_get_current,'',tm_send_from,'59019277 7960427289166851511 16290807931693011912',gssb_msp_cal_temp,'2130672754 -164631914109523295683607536650956826502',gssb_get_uuid,'',gssb_get_temp_int,'',init_dummy_sensor,'',com_reset_wdt,'8724720707441611604',fp_del_cmd_unix,'133128887010455669161338335534299709734',-6,6.862412214279175
