Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Exit Code,Total Time
gssb_fss_set_config,'-98526161841891900661274614444838507929',drp_test_system_vars,'',obc_set_pwm_freq,'-195667113 242058629148287235653151548880607518219',fp_set_cmd_dt,'12017919461793303158 10685766673932084438 316562296480678074322945892569819525176 -4706376058693988141 7895821880778207496',tm_send_last,'17 3953127135409615327',-6,10.041040420532227
fp_del_cmd_unix,'18422761306011469982',fp_set_cmd_dt,'321665187163505156763390442948862117872 563228840630147644 -5582740396908324889 -1190516420609783706 -639635332',obc_get_time,'G+1*JbLH}i',drp_set_var,'-9172355177681338773 124981537113928098429509642876753256459',eps_update_status,'',-6,6.421635627746582
fp_set_cmd_dt,'-34212918902137404158219744708458443460 14503192412152222641 97089204081258543930313353001083844157 J`b'*v(S>1 11205235967852210695',gssb_commit_addr,'',obc_get_time,'-8270895622626349242',com_send_tc,'8289822906617729808 11660735973091987113',gssb_reset,'',-6,6.284081220626831
obc_update_tle,'',gssb_fss_commit_config,'',tm_send_from,'9245353416844848251 315489048942725433961780804411720420995 -1170928464',gssb_select,'-228218545204197543424478556569699135558',fp_del_cmd_unix,'-1314215031661146097',-6,6.5241451263427725
drp_test_system_vars,'',drp_ebf,'2522689692809734622',tm_set_ack,'289027776 .)/',eps_set_heater,'/h -1844138148',tm_send_status,'-1480120670',-6,10.355675935745241
drp_get_vars,'',tm_send_status,'-3157360017745820691',gssb_burn,'',com_send_cmd,'k@ T',com_send_cmd,'2098057242 u',-6,6.6492676734924325
init_dummy_sensor,'',eps_get_config,'',obc_get_sensors,'',fp_set_cmd_dt,'1833335722061490921 837177580 13876153403163677409 165105836585451537833418398968073382830 1120126063',tm_parse_status,'',-6,6.541005373001099
tm_set_ack,'1804627175 nT',com_get_config,'1959733787',init_dummy_sensor,'',fp_del_cmd_unix,'-831707666342018657',tm_get_last,'113621416101346325747650134227235538980',-6,6.431275367736816
com_set_config,'5397242460731849950 48055768811857037856601156482821042167',fp_del_cmd_unix,'149534994005310380023332092883148861308',fp_del_cmd_unix,'143406650734745070253528941438378557659',obc_set_pwm_freq,'5417069792554658713 393273719',gssb_get_sun,'',-6,6.31349515914917
drp_test_system_vars,'',com_send_tc,'103495872332698410 -1798999471',obc_reset_wdt,'',drp_set_deployed,'-757781331',com_send_rpt,'Gq FL)cr',-6,11.227327108383179
rw_get_speed,'',obc_get_time,'5482679620073371405',tm_send_status,'-193138090844474168434382024760471133212',gssb_select,'-136398996320255274',gssb_fss_commit_config,'',-6,6.480525016784668
tm_parse_status,'',obc_set_tle,'105495670485799904674638186647547389240 -6830356813727721287',gssb_get_version,'',gssb_get_burn_config,'',tm_send_status,'139972022484536917680628591908686548010',-6,6.572173357009888
gssb_arm_auto,'1736714885',eps_get_hk,'',fp_del_cmd_unix,'-1683350773',gssb_get_burn_config,'',obc_set_pwm_duty,'!2xRboPvh 13026442478988979353',-6,6.379239797592162
com_send_cmd,'1482036435 5131851475811773088',gssb_unlock_config,'302167960126182002223114539132968443305',com_reset_wdt,'0R|',tm_parse_status,'',com_send_tc,'-149741622813569844057375066070383924771 158362482',-6,8.299038410186768
fp_set_cmd_unix,'2371762836506863605 1552001968 -1370811473 13414759853341946149 -5221877483377804940',fp_set_cmd_unix,"'""6+ 3082380695700081554 M>*bQ 1852890975703661014 2018997702'",gssb_scan,'-290185500257534945150523288797736646081 Q',eps_update_status,'',help,'',-6,6.348317384719849
fp_del_cmd,'8692412467292168285 -308799305868699146642861201130862501561 5137488608886139938 1174820668 -92106311981652621105517363433157239437 1035383703',gssb_fss_set_config,'11863700765285963368',eps_set_heater,"'7,D<!G. -746373400'",fp_show,'',tm_parse_status,'',-6,6.3122315406799325
obc_pwm_pwr,'-183605352521755044200729833879724042787',gssb_get_sun,'',gssb_fss_set_config,'/9*H',tm_send_all,'2036840645930806145 -5926606840131987238',fp_set_cmd_dt,'228573507653957421955356998367131378903  8096768653547561760 -4919762493904529065 -600616383',-6,6.7543370723724365
fp_set_cmd,"'14680421003219406605 8219314177763525760 1153856258185634842 3868495867813200022 -51918989753706758771332053843262212655 35618031126407391547058294821624321366 14318734981319169793 8300406428559199567 17817837253487320456 9.t`ZC""<['",tm_send_status,'-237768539348278928356088606747531780508',tm_send_last,'210509411927850052 iU',com_debug,'',gssb_select,'_HL9#B',-11,6.263869047164918
drp_get_vars,'',fp_set_cmd_unix,'-272963508246267592457554240044345397163 974334556512553775  -7362335629245441794 9321123619733926638',gssb_commit_addr,'',obc_get_tle,'',com_reset_wdt,'4':*L',-6,6.654235363006593
gssb_antenna_release,'-3454093223674278550 icTx_}Q3 85442675395172576085070685360107579361 17939223877780841850',obc_set_tle,'{ZNYpAP -330730442486955205181796775116209147274',eps_set_heater,'16013723964903636765 -174462580187968350436135333155862930561',fp_del_cmd_unix,'3359456985942709008',com_ping,'-191461447',-6,6.429668664932251
fp_del_cmd_unix,'-1078901832',tm_send_last,'826438012 -3818547517477282698253786034362616359',rw_get_speed,'',tm_set_ack,'9:u. 27739927139506120',gssb_pwr,'5876296857814923940 16223579868303668813',-6,6.288821220397949
com_update_status,'',fp_del_cmd_unix,'-7046122000048101761',com_set_config,'14000034892721946085 2359000511366974784',rw_get_current,'',fp_set_cmd_dt,'2665644088529610020 -97782683954685090541960273635494349072 12680478998227601964 -332888560998460636599643121387359120645 13513547080052084039',-6,6.3161447048187265
tm_send_status,'16766155118427698896',tm_send_status,'189657495834064777212764068187581102486',obc_reset_wdt,'',obc_get_tle,'',com_get_node,'',-6,7.379915475845338
tm_parse_status,'',fp_set_cmd,'49492837991007709304726458680142663115 -181368248 693141560 -79304051558566451113257792935284283953 1779339388  -1653221771 144527048 1872369757 -435456690',tm_send_status,'-1502818105',gssb_get_burn_config,'',eps_get_config,'',-11,6.324439764022827
obc_set_pwm_duty,'SC -7813366365349281848',gssb_get_version,'',com_send_rpt,'6383149683831443395 -5764385130036949325',com_send_tc,'-4344815651484754016 ',tm_send_all,'-2203690501150242825 -1128182751197774360',-6,7.551700830459595
com_get_config,'-2047536172',gssb_reset,'',obc_set_pwm_duty,' -325503441246991316705590039119115362351',fp_set_cmd_unix,'11811629568421144453 -3995841037307782817 3067091048602031412 4991118203685516079 -608369978849958567',com_update_status,'',-6,6.426569938659668
drp_get_vars,'',tm_get_last,'-140301858784790762411784502997639241642',com_get_node,'',fp_set_cmd_dt,'12746401415468118124 -1891688612 +wgW -6484893994707654418 4944049852568533980',fp_del_cmd_unix,'1207332720',-6,6.56981635093689
fp_del_cmd,'9603257658221250899 15155604388462920974 136656133731924701016977855531111881049 2148824327797115717 IZf7{@Es -8689986375581804845',com_send_tc,'13965252959858579643 12982938272156027291',gssb_scan,'-312222728831304985568946255368865852003 gk[B/',init_dummy_sensor,'',gssb_get_temp_int,'',-6,7.439674615859985
obc_pwm_pwr,'4306065033479760230',fp_set_cmd_dt,'VK 253026690482818704239639625016972162392 6537046857788652958 209810921324966350789311597980914433775 109757743971009625220248512853048074294',gssb_reset,'',obc_ident,'',com_send_tc,'8933065114029355199 03Ib7bH@1',-6,7.475406408309936
fp_del_cmd_unix,'4781580817976442556',gssb_fss_get_sun,'',tm_send_all,'13215312321432865883 -561116682264943536',drp_clear_gnd_wdt,'',gssb_fss_get_sun,'',-6,6.295177698135376
gssb_burn,'',drp_test_system_vars,'',gssb_get_status,'',eps_update_status,'',fp_del_cmd_unix,'-1556086298701090472',-6,10.273231506347656
tm_send_last,'!% -1245059497610161014',fp_test_params,'1637687592 3432448297043886566 4499843843971012728',gssb_get_uuid,'',test,'207034782113034457585643458888931371872',tm_send_status,'1046676547',-6,6.629239797592162
gssb_fss_get_sun,'',drp_clear_gnd_wdt,'',drp_clear_gnd_wdt,'',fp_set_cmd_unix,'140120554 5579386197316116775 18245394787977707142 -44769211589509565253233360943946687862 10972043913186709697',tm_send_all,'1965868906 1659952318915028912',-11,6.597785949707031
