Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Command.5,Parameters.5,Command.6,Parameters.6,Command.7,Parameters.7,Command.8,Parameters.8,Command.9,Parameters.9,Exit Code,Total Time
gssb_select,'-4306381328807124585',eps_update_status,'',obc_debug,'952275235',fp_del_cmd,' 139600652777794320465945322488756343885 48192627208381620490781365097594083368 -5441761184503955220 -246757333 15405087969622658627',obc_set_pwm_duty,'-771085525 202834911501915630569184154444089479331',fp_set_cmd_dt,'-45466406548457837643314385704609809188 -8802590064703978628 160883735 17311868678672634918 -6475576904466873722',obc_pwm_pwr,'-70164233672627370434430312046601791465',obc_update_tle,'',drp_get_vars,'',gssb_fss_set_config,'625608969',-11,6.598347425460815
eps_get_hk,'',gssb_commit_addr,'',tm_send_from,'12603825357816839601 13085429946826087455 2080704140',gssb_set_addr,'-\',com_send_tc,' -1571439760',obc_update_status,'',gssb_scan,'15208211142785681688 93324247425870792048512265281996711414',gssb_update_status,'',fp_del_cmd_unix,'12988482998836544242',drp_set_var,'537567839 3075920659145831408',-6,7.50828218460083
eps_update_status,'',fp_del_cmd,'290138511522155280610120690084643732038 160999641003199431212253389990398233119 237257673 4822768586657698430 -247145093415428753202266388893380722311 15271111782291369084',com_update_status,'',gssb_set_addr,'10755641706855486885',com_send_tc,'17205631768563384452 1799353295',obc_update_tle,'',obc_set_pwm_freq,'-832917891 330944514922330631465008462562388708481',gssb_get_temp,'',fp_set_cmd,'\fV 4438327954557016957 {c 716673252906935185 1Vaq(x$Rl 3561331585594806160 -294944070 7048944818251497495 -145573140 17724027302624504401',test,'-819320794815780870',-11,6.366116046905518
com_get_config,'518339172980784544',tm_set_ack,'109896205254345459075829770695124781106 174709720350309350885458281942791030180',gssb_msp_get_temp,'',gssb_fss_get_sun,'',com_send_cmd,'2359797828867676075 5239088286164185833',drp_ebf,"'IBU3""'",gssb_burn,'',gssb_unlock_config,'1150381188471055858',tm_send_status,'-1961959394',com_send_data,'197702607341133641',-6,7.5283284187316895
rw_get_current,'',rw_get_current,'',rw_get_current,'',com_reset_wdt,'2138371930',obc_get_time,'-676378458',obc_get_time,'-135650018456499350861000669198223369199',obc_pwm_pwr,'-99683472086965142493762932518339811650',com_send_tc,'435812138 Hzf)~',obc_pwm_pwr,'6423043179075360231',fp_del_cmd,'16076125584883273067 -6678550870138763085 -5829142151509000265 322077296903147783484071914941763265794 -11727849609735359080047324983610350251 116094031922485644',-6,7.753781318664551
com_update_status,'',obc_reset_wdt,'',obc_prop_tle,'7930940513233659299',gssb_reset,'',com_send_cmd,'cChMOzK@ -272764478405453052850014398698311871730',com_set_node,'1578651728',fp_del_cmd_unix,'6557884802056311829',gssb_set_burn_config,"'13493686911725289652 -305320890046320292711877886538188075940 8326026348342524866 (""Bn1% 1536719167 7754654282817597914 uQvQRG'",obc_get_tle,'',eps_set_heater,'!kl 7802116110026446062',-6,6.658165454864503
fp_set_cmd_dt,'-455151084 2711087188022390685 2502364228053568983 10665091134088897261 -303031777043226927198249251699413862292',com_send_tc,'2619014901889012441 -3907449125934848375',gssb_get_model,'',com_reset_wdt,'16315611648417832385',com_send_tc,'-972044181 -6920638527023299475',fp_del_cmd_unix,'18038744972931823393',gssb_select,'*H..O',obc_set_pwm_freq,'1044799855824912939 3090111534461766056',gssb_set_addr,'4133947434469752729',obc_update_tle,'',-6,6.248607635498048
eps_get_config,'',fp_show,'',obc_get_time,'-1788055493',gssb_get_version,'',obc_get_tle,'',fp_del_cmd_unix,'-4580678477131069423',rw_get_current,'',tm_send_last,'-8000570515674998542 1340404296',gssb_get_burn_config,'',obc_prop_tle,'14612606657179140449',-6,6.8262858390808105
drp_set_deployed,'',fp_test_params,'-1480713520 8692628317353832713 I;oU=',gssb_commit_addr,'',com_send_cmd,'-1138304459 -1605684439979042566',gssb_fss_get_sun,'',obc_update_status,'',fp_del_cmd_unix,'?',rw_set_speed,"'V""5XOA/T 9486836860068279356'",drp_test_system_vars,'',tm_send_status,'%E.;6b_Qk2',-11,6.320004463195801
com_send_tc,'565442785071739287 -8147062492925586050',drp_get_vars,'',eps_hard_reset,'',tm_get_last,'-242207080448062178205315630033071609872',com_send_rpt,'r7 284260964709564239873341068393920959984',fp_set_cmd,'-4785019429106802378 n -275279386842430777463083149203219776279 39226186888485866985714110242280171768 -6553916819975121919 9023422458496298181 -104224724652776637527198483367770326405 -4265804140419840757 -1422639190 262213777657153980184436400063708133293',obc_update_tle,'',tm_send_last,'(-ZK6ff|u 2348075488592644138',gssb_update_status,'',gssb_get_temp_int,'',-6,7.393665313720702
gssb_arm_manual,'13582970631120870843',gssb_update_status,'',tm_send_status,'6692664519535439461',tm_send_all,' 8968598945494576682',fp_set_cmd,'-4011801484262420259 14015110181511654626 13298094296808247628 -262870688250917483954914983329534192843 76180895122959584995824578463220619766 1726993816 130117568296786485941454476097504404831 -4668326460317882444 1428480063 16823471184579714942',tm_send_last,'-1540273869 -4740757768431453110',com_set_config,';a^4Buz 9118267536106611247',drp_test_system_vars,'',com_update_status,'',gssb_antenna_release,'1421588797 292901746254155347015651195129649647830 10689932070123384280 -198400315106659509291446973311961929703',-6,6.6254515647888175
