Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Exit Code,Total Time
fp_set_cmd,"'-1187295301 12589355829505121152 ^""D5X7 10544161831944075512 142136886521987640386873717133615458550 1495475872283894058 ISTn#_m' 5640423474110726764 1805579273990144851 10798129327421558857'",obc_get_tle,'',obc_get_mem,'',fp_set_cmd_unix,'-398532880 -335918416655307340856488838247429625399 -307517450636530074924267479361976953650 25556934518967932198408969473666029298 18329611353857941813',com_get_node,'',-6,6.500492572784424
drp_set_deployed,'15874160036454074907',obc_get_sensors,'',obc_update_status,'',fp_set_cmd,'6878278321506618465 1937142488 9532096359366955061 107972268190486662047459983920113388924 -6510339003360181664 7967005234562148723 -1199171453 6 -6343075317664271514 'bUz=Y;-6',obc_pwm_pwr,'KiXmaE'Z',-11,6.65424656867981
com_send_tc,'314815001330460135681005319098784532695 SN',tm_send_status,'24264215446405902404710774674980433740',gssb_get_status,'',obc_get_time,'-4558915602617047319',tm_parse_status,'',-6,7.1880412101745605
rw_get_speed,'',fp_set_cmd_dt,'-38379645118273333550390398843863929042 -187042214865738227639103300589237626575 -3725826558865024610 189582332036989697446039141636368371518 iH0?1<6X',obc_set_pwm_duty,'-203369249566046259785279300260021029557 259071289396743983041898431682755040355',obc_debug,'4791668749607278698',gssb_get_version,'',-6,6.3204402923583975
obc_prop_tle,'-549049783702988297',obc_get_mem,'',gssb_msp_cal_temp,'Di 14814531397202362069',fp_del_cmd_unix,'-230422842365251338437988612627480799456',drp_get_vars,'',-6,6.496723651885986
drp_set_var,' 6706909812574891481',tm_send_all,'B 138952702541824418499967392523111422002',gssb_msp_cal_temp,'-248955404486779150723487388826509721854 4551843168957229899',fp_del_cmd_unix,'-337420039585782325783586798437336330528',gssb_get_model,'',-6,6.465302467346191
obc_get_sensors,'',com_ping,'-4320099082760853375',fp_del_cmd_unix,'3136288000381310571',gssb_get_temp,'',obc_get_tle,'',-6,7.923218727111816
gssb_get_temp_int,'',gssb_fss_get_temp,'',obc_update_tle,'',drp_get_vars,'',fp_set_cmd_dt,"'262883495351701819316366027709762477917 6441867118407780805 4310344949441330135 S,# -312937775514410148848456151762536914227'",-6,7.13927173614502
tm_send_status,'-706747083400342561',rw_set_speed,'-867216553 ',drp_test_system_vars,'',gssb_scan,'-1290939150 10596314651266894253',tm_send_last,'-34341437807473821672223683915589593658 1009072392',-6,6.362463712692262
gssb_antenna_release,'3431216617733504624 15069242326100972878 13588328549156527734 _B^lcz',gssb_fss_set_config,'3720063733264054776',gssb_fss_commit_config,'',fp_del_cmd,'-1679277914293534530 485250725 9027663463781634387 -103440549324585368698624168583980490673 45512661608611221641682844068555875435 16090276973023395620309257645731474832',eps_get_config,'',-6,6.645689487457275
drp_add_hrs_alive,'dfq]'kZ',gssb_get_temp_int,'',fp_set_cmd_unix,"'10307454496399484227 1854510826551178092 197268139453463787598093923227457449999 sfFL' m""v2(_eX4'",fp_test_params,'-993630538 -7670685449919738369 13446984587566743726',set_state,'16720056272527408841 JpqqA 3534221440553800376',-6,6.436058521270753
drp_ebf,'319644846792057344265364898598605327527',obc_get_tle,'',drp_set_var,'-622034691 8399575537275379818',fp_set_cmd_unix,'566236168185131912 8387138350565771460 12213740068864035758 -271226301247234156304797596912779781764 885846871',gssb_arm_auto,'1141649087',-6,6.433684825897218
com_update_status,'',com_debug,'',tm_send_status,'15954727216133739997',com_set_config,'-1123203840 864993581',gssb_get_model,'',-6,6.69942831993103
gssb_set_addr,'-1984423956438876164',obc_reset_wdt,'',obc_debug,'o',eps_set_heater,'-2047979049 -18862593502693986202141477039788663951',fp_set_cmd_dt,'450104295 2369899751644515301 -1825745521 ?ptuH=^;h| 4552759190595867508',-6,6.53134560585022
obc_get_mem,'',obc_ident,'',fp_set_cmd_dt,'85818103949515872069279174567386875897 4057816596482343270 -21165212580372315725602692984481056810 8221434663372685990 I',fp_del_cmd_unix,'-854772518',tm_send_status,'335546416630134017388910460515209289567',-6,6.326588869094849
