Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Command.5,Parameters.5,Command.6,Parameters.6,Command.7,Parameters.7,Command.8,Parameters.8,Command.9,Parameters.9,Exit Code,Total Time
obc_set_pwm_duty,'-209167710451337025067612516873947513922 -20451922113092780204160610977014903792',eps_update_status,'',rw_set_speed,'7717307899963730800 6069423972242096555',fp_set_cmd_unix,'XRgm_?] 281306665158769130063090996492001998988 13005909990084818168398933576056816904 z=frUL28* -572449929',tm_send_status,'1510122010498116636',obc_get_mem,'',tm_parse_status,'',gssb_get_uuid,'',tm_send_status,"',Ug}9'",obc_reset_wdt,'',-6,6.682056903839111
obc_pwm_pwr,'11836719725795920426',obc_update_status,'',tm_set_ack,"'""F 3262235138193018397'",drp_ebf,'673586030',gssb_commit_addr,'',obc_get_mem,'',set_state,'8471832001683164322 -5152331792570975241 17264330259151810229',com_send_tc,'574771095488019104 -5330011622627842703',gssb_arm_auto,'B^',gssb_fss_set_config,'-787510434',-6,7.721281290054321
obc_set_tle,'-7185957993844592027 450716819',gssb_reset,'',gssb_get_uuid,'',fp_show,'',drp_clear_gnd_wdt,'',obc_set_tle,'64756527520370494 92532448579360082501240191751381655215',test,'-8639364347787916398',tm_send_status,'4TFi',gssb_set_addr,'2256225090348993533',set_state,'-72167273545757022137687206124550784877 o_S(g 5981731127828442935',-6,6.907597541809082
gssb_msp_cal_temp,'2314082989115362702 -749519935',eps_get_config,'',obc_get_tle,'',obc_get_tle,'',obc_get_sensors,'',fp_del_cmd_unix,'107619608681427046883229595248839166421',obc_get_mem,'',com_get_config,'1916428522',gssb_get_status,'',com_update_status,'',-6,6.7701637744903564
gssb_commit_addr,'',tm_send_status,'-1080963420124662791',obc_get_time,'VN)?b',gssb_scan,'17974453592506790533 102149545990911604027968497851145033104',com_ping,'157267113',com_debug,'',tm_get_last,'qo/WqXb/Z',eps_get_hk,'',rw_set_speed,'188283133853247246740048717013720918500 p~*^5U`+]g',gssb_antenna_release,'6096609163203094682 7999361831731508732 +|Rr 1697737756',-6,6.3942627906799325
drp_ebf,'-112650108535092539580554845638200480394',eps_update_status,'',gssb_get_temp,'',tm_send_status,'9154040127963319775',eps_get_hk,'',rw_get_current,'',com_send_data,'%pg',fp_del_cmd,'8600442004316303349 -998411898 c 5215161213555472788 239677196436942580276210427983034238534 35308448',eps_hard_reset,'',gssb_get_sun,'',-6,6.84767484664917
gssb_pwr,'-225148232540684284623096224107660787218 jJy]{*c',obc_get_time,'-11818742',tm_get_last,'/7vYt_',fp_set_cmd_dt,'492537155101051687 134260712692544601618874282465161065979 4201731605460059534 =$W/~xzLA{ -25710897750073743424454015634937590516',obc_set_pwm_duty,'-628740535 -5025980219543772218',gssb_fss_get_sun,'',gssb_set_burn_config,'1073571577004293496 -1052847548 -551727703023284985  WS=Q1\]76 6869125015650968823 sQH8~NL',tm_parse_status,'',gssb_set_addr,'9200287699963323831',gssb_fss_commit_config,'',-11,6.632312536239624
obc_set_pwm_duty,'13118596697143838193 -5351607748817328865',fp_del_cmd_unix,'-246893655571006596825826391828137636720',fp_test_params,'10945964014022274951 1622909507877453241 -2993587164508896146',tm_send_from,'3553635945924894498 2398553533580246533 -259176665309406326440777390533623384008',tm_parse_status,'',gssb_reset,'',eps_get_hk,'',gssb_get_burn_config,'',drp_test_system_vars,'',test,'4941045607174557257',-6,6.658301591873169
obc_prop_tle,'-332946509584705733268781200121671043164',com_send_tc,'58827882384009228234926364679496285904 ]xc^',com_send_data,'-2902074430446042662',test,'65938383790518758819164452378633423494',gssb_reset,'',obc_set_pwm_duty,'-907917666 133660447',eps_set_heater,'6121198125515700720 ;]y',fp_del_cmd_unix,'a',com_get_config,'-1989290374',gssb_set_burn_config,'447933737871369629 5204943469504433762 14883158528550573429 8692310634028288465 E[A'p{8 -339661299307974770683766261668554151186 -8729606768180702936',-6,7.5937561988830575
com_set_config,'547994015 6952213411853318710',tm_parse_status,'',gssb_antenna_release,'\NW7m) 14291774898080761660 yl[~vy 63700278965017254844104553952862037089',gssb_get_temp,'',eps_set_heater,'5711544595889586932 -8238928899669639518',com_send_tc,'2431916201999666494 1840823175',fp_set_cmd,'-34261224385712833899154194867436855659 -1165268750 271358235246780383760454709388322000298 11892084485519489733 272493062708502048477051286254642104402 -86888912376904258454148015398985919274 4050317537284869819 -19241714434529350125763556256831912291 -62687980023931583870065228522706934756 o@(s).T1',fp_del_cmd,'-2737751069300680283 17442047277363177449 -5250447722917557329 5558869957281863637 3209392913164199733 1109347052',tm_send_from,'-161757809 -4627966274429389771 207338588412340175673575408723563892433',gssb_msp_get_temp,'',-6,7.559069156646728
gssb_fss_get_sun,'',com_send_rpt,'6376242876814407962 221160425406454566818255952083455389366',tm_get_last,'-452618849',gssb_get_temp,'',tm_send_status,'-726463159',obc_set_pwm_duty,'18353383407818837640 -1292258192',gssb_scan,'{*>I!H 12130947896097219845',obc_pwm_pwr,'4987437044338029622',eps_update_status,'',com_send_rpt,'30170067627198176828737555414292293942 -543162838',-6,6.852835893630981
fp_show,'',fp_show,'',eps_get_hk,'',com_send_rpt,'131107401892343948422200819882660735795 T',gssb_commit_addr,'',gssb_get_status,'',gssb_get_sun,'',tm_parse_status,'',rw_get_current,'',fp_del_cmd,'97877703885107517072320848037416840899 3326145019784880886 -182446466 -793928930 1015363712508277159 7423135886803543075',-6,7.323165416717528
gssb_set_burn_config,'-133226930051216725766795407316126747096 116417055 7179901091381030769 -8514211230972679556 -1469073162 -6681402116330567596 -312907407415367151636133683120274175803',com_get_config,'12980257674449501784',gssb_antenna_release,'194302975766681056462085765848781466099 11970969383640249339 GBxi -550864201',fp_del_cmd_unix,'h|m#Kc[\|',tm_parse_status,'',obc_update_tle,'',gssb_pwr,'-184512928 -301670993032482163896733905957647564129',gssb_get_sun,'',tm_send_status,'483615968',gssb_msp_cal_temp,'-1197611025 60310943438031008517740594857787673892',-6,6.950896263122559
gssb_get_status,'',tm_parse_status,'',gssb_get_uuid,'',drp_set_deployed,'7250334966387746721',fp_set_cmd,'-2364715160125233522 -3872708738307042577 -1427385125 300156678503554876496896402923743306195 290207831309955804932372094660903542038 -283693435314525137794516473063800455367 1307570059 8562096420343480027 -1332841454 13654207292511295761',gssb_get_model,'',obc_update_tle,'',obc_debug,'-1111114523',gssb_set_addr,'d26Xt8X$',gssb_commit_addr,'',-11,6.635097980499268
obc_set_tle,'317974861784057262496571615873935021104 -721623777',gssb_burn,'',drp_set_deployed,'3eR?>e',obc_set_tle,'2400387307028477826 =oV',drp_get_vars,'',com_send_tc,'-1904994745 Z',obc_debug,'14324316102822572480',com_set_node,'-3493464266191337161',rw_get_current,'',obc_get_tle,'',-6,7.796925783157349
gssb_fss_get_sun,'',com_update_status,'',fp_set_cmd_unix,'KnQcGWfbQ -3854554627622781647 1294688455941146390 i 17621176200319239231',obc_get_mem,'',eps_hard_reset,'',fp_set_cmd_unix,'8469158043188179009 9995250911935622505 1291517658 308069587095334388388115073009708854284 1894418617',gssb_get_status,'',gssb_msp_cal_temp,'Jjlp? 982106669',com_reset_wdt,'4727536276856740058',gssb_get_temp,'',-6,6.642651319503784
tm_get_last,'2558855104456671289',fp_set_cmd_dt,'214091404181573785719043870615624062774 2115298577730071124 -117428980446384138512524675563995276039 -1340411686 58963975608679671',gssb_set_addr,'a',obc_set_pwm_duty,'1567658987 -107316229052882290423639553163497582023',fp_del_cmd,'-291907913074571692339443476695010958690 -172400583409178639479333277504741613585 ``'eCw$'j %;_z4[% -331108554921116128739393911330854561539 7397771979956424716',gssb_update_status,'',tm_get_last,'180852795803048768703800629250277152691',obc_set_pwm_duty,'? 4252446297211699089',tm_send_last,'-171865103678135035832040061159493507371 -129487396335306308951152709452346724417',drp_test_system_vars,'',-6,6.371063709259032
gssb_antenna_release,'1499044273 -47735342952273519928601067559924422065 -618421179834986429 159788479811154264863836313308878387846',obc_get_time,'sJuVV',com_send_data,"',(F'",fp_test_params,'1956656387 275244621041528566318439187831118081943 18253289698978496911',com_send_tc,"'fK},c,!-k\ VN'",com_get_config,'m&',init_dummy_sensor,'',tm_send_status,'9972236463405079003',obc_get_mem,'',com_update_status,'',-6,7.703488349914551
drp_set_var,'8674327621548099902 3151618531216420552',gssb_fss_get_temp,'',tm_parse_status,'',eps_get_config,'',gssb_select,'-216985322581109889260121158040262180066',gssb_commit_addr,'',fp_show,'',fp_set_cmd,"'DS""Q8k 8297270782342014021 _dU 7151919669026354575 -483251671 dI^tb.q2B 1734642694926006123 6674175147145435855 VvWlx( 16639359361475890003'",gssb_set_addr,'-264156457698618693665251880908737200907',tm_send_status,'1568863463',-6,6.935446739196777
tm_get_last,'711793601',eps_set_heater,'5 '}@d',eps_get_hk,'',init_dummy_sensor,'',gssb_get_version,'',gssb_fss_get_sun,'',help,'',fp_set_cmd_unix,'2 -242987683191310369561423268238680743198 1623689595 308434176707325614944500264169536342566 571669473',obc_get_sensors,'',gssb_fss_get_sun,'',-6,6.760562419891357
