Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Command.5,Parameters.5,Command.6,Parameters.6,Command.7,Parameters.7,Command.8,Parameters.8,Command.9,Parameters.9,Command.10,Parameters.10,Command.11,Parameters.11,Command.12,Parameters.12,Command.13,Parameters.13,Command.14,Parameters.14,Command.15,Parameters.15,Command.16,Parameters.16,Command.17,Parameters.17,Command.18,Parameters.18,Command.19,Parameters.19,Command.20,Parameters.20,Command.21,Parameters.21,Command.22,Parameters.22,Command.23,Parameters.23,Command.24,Parameters.24,Command.25,Parameters.25,Command.26,Parameters.26,Command.27,Parameters.27,Command.28,Parameters.28,Command.29,Parameters.29,Command.30,Parameters.30,Command.31,Parameters.31,Command.32,Parameters.32,Command.33,Parameters.33,Command.34,Parameters.34,Command.35,Parameters.35,Command.36,Parameters.36,Command.37,Parameters.37,Command.38,Parameters.38,Command.39,Parameters.39,Command.40,Parameters.40,Command.41,Parameters.41,Command.42,Parameters.42,Command.43,Parameters.43,Command.44,Parameters.44,Command.45,Parameters.45,Command.46,Parameters.46,Command.47,Parameters.47,Command.48,Parameters.48,Command.49,Parameters.49,Exit Code,Total Time
gssb_select,'<.jJ3Y',tm_send_status,'4921871208707042241',fp_del_cmd_unix,'107466223631886778349691653561963481796',gssb_fss_set_config,'-2164282519051096272',obc_update_tle,'',gssb_fss_set_config,'6033837344399472066',drp_clear_gnd_wdt,'',drp_get_vars,'',gssb_arm_auto,'302250630190229160815044783722274746088',com_send_cmd,'2051561683 -4238934787819661444',com_send_data,'7511383347208621276',com_get_node,'',obc_set_tle,'8643588108339719586 -655801439',obc_update_status,'',gssb_fss_get_temp,'',drp_get_vars,'',tm_send_last,'-52298549850523278691382240273960603177 -172828919',com_set_config,'138571496308753986632865073492514439826 789587815',rw_get_current,'',tm_send_status,'-1497877401',gssb_select,'18199564214846485922',gssb_fss_get_temp,'',drp_add_hrs_alive,'-3818668549325269738',gssb_set_addr,'HwVp',obc_get_tle,'',fp_del_cmd_unix,'',drp_clear_gnd_wdt,'',fp_test_params,'25392322981815334019977508320363372153 -25924975570914756910894766310214321119 E&}5H$J',gssb_antenna_release,'12225720505485666009 -660771486130447066 -8696230202582496008 315360711020748029229966347367539654429',gssb_msp_cal_temp,'-144315551444810835774568474775116310569 -5426752908729033980',obc_ident,'',obc_get_time,'MU)ebU!',gssb_set_burn_config,'6601333365279242438 3159613495357893189 -2130527819031479751 292898158946909846857560122061315017202 478559494 7800661469359680101 -1149272193781952307',tm_get_last,'4229530641947775446',eps_get_config,'',tm_parse_status,'',obc_ident,'',obc_ident,'',tm_send_all,'-225658294426169169798102021039827740835 2197794457983582431',com_get_node,'',drp_set_var,'264610423047974669 225753759642865669227925036595928390156',tm_get_last,'11989416215650573025',obc_debug,'287038898131060509299422046620854975326',com_set_config,'12317409422188453410 4058957332196045364',obc_reset_wdt,'',eps_get_hk,'',com_get_config,'T3su>Q-',gssb_get_temp_int,'',tm_send_last,'-451210297 1526814113',gssb_get_model,'',-6,6.428367853164673
com_update_status,'',tm_send_last,'94212247803441504676218497520048139757 -1806410464',gssb_get_model,'',gssb_select,'475331412',gssb_unlock_config,'-219452834321978766621194799494954642007',fp_set_cmd_unix,'-5838652979353816058 1616961189 8859349953831481555  -2663523911697574788',com_send_rpt,'1578581640 11205972054159925944',gssb_arm_manual,"'`-/F}`,Et'",drp_set_var,'2053115477 -6362506363857420722',gssb_arm_manual,'-34735842313136731684970050207261047948',fp_del_cmd_unix,'X?',gssb_update_status,'',fp_set_cmd,'1332915815 160057855508142682854511101094782285772 347200372 1369898489224403560 296155900630048051 cj`lx3i^1 8g~ZiF 13357627772930842190 :H> -221693782001239854695109877244883845416',drp_test_system_vars,'',gssb_get_burn_config,'',fp_del_cmd_unix,'17563073593180508847',com_update_status,'',drp_set_var,'11731830681901867687 Yq)T',obc_get_time,'792726807043443858',obc_get_mem,'',obc_debug,'234276037660490422319718380839000797681',gssb_get_sun,'',tm_get_last,'\!$.6zm',com_debug,'',com_get_config,'-726846085',drp_ebf,'-51218016421306623670477901054924074019',gssb_scan,'-113003883 17424784380690823883',set_state,'209592175 YmWh< -2042705985',gssb_antenna_release,'1191501962 275846883652018361651905913631292158212 pP ',fp_set_cmd_dt,'1569545848606910502 7699607539099541186 30419945384517992111870794892978365290 1723394036 198125564936912028191563922595399195979',gssb_select,'16517459924104756607',gssb_set_addr,'62587040874499828255249280563302394512',com_send_cmd,"'-954698558 6Z""FPem'",fp_del_cmd,'-156557239129509067165324692294452527570 1880590543282990008 -1783454990 -183836901515122071781047205188303980109 #aK\$J -1704694635',fp_set_cmd,"'326689059 13702213140881717200 {ZSOE(k 11956636959283725152 330461951 8162472982168813507 246861736262189931602717909842544962232 -267277944503305876658438273924374879360 <<(S}""Aa 13106044308097629849'",fp_set_cmd_dt,'-339845006800656896815101708572146253111 894966159 5512505674894665418 -941818967547234234 255685973406666630000619453250813230391',fp_del_cmd_unix,'(r.%H/',gssb_arm_manual,'-130947169676920932385161924853713600777',gssb_unlock_config,'-267869462363228573507978299510464506482',gssb_update_status,'',gssb_arm_auto,'6441425134733348160',rw_get_speed,'',eps_get_config,'',gssb_msp_get_temp,'',gssb_scan,"'-256548920550482669062032440140799940010 R+PPL,ND'",gssb_get_version,'',fp_del_cmd,'-1153827782 -117137309409427074546323092511454245166 16165529176661514692 -6876782765527782030 1345822994687219416 157274524935129501804939039082540193167',obc_get_tle,'',obc_get_sensors,'',obc_get_sensors,'',-6,6.614493846893311
fp_set_cmd_dt,'274958098696730369 -6288418748223464792 35385700181799913095271227993981153397 6500511197154738503 J@XX!a3;G',gssb_get_temp_int,'',obc_ident,'',rw_get_speed,'',obc_get_sensors,'',tm_send_status,'7330028234942365955',com_send_rpt,'-208735576942359805131124419626174900852 -7758073512163562379',drp_clear_gnd_wdt,'',obc_set_tle,'-185180238388316102313426079680783754433 3T:}0t',tm_send_status,'1685650543621866194',fp_set_cmd_dt,'1428149450 -247108967122815849528276473928494004751 7Zqg eB 17826023510456093732',obc_set_pwm_duty,'9981244596868385946 -4047207406883818394',gssb_fss_get_sun,'',obc_prop_tle,'-285281061989673326441117068287364061299',com_set_node,'4541352261715545627',fp_set_cmd_unix,'660209208 -1336542535380292078 -5871064353638517449 4853130155995961529 -4791334487582571698',gssb_get_version,'',help,'',gssb_get_uuid,'',com_send_cmd,'41MKJB 4383668088763521413',com_get_node,'',com_get_config,'4061990380660368919',gssb_fss_get_sun,'',eps_hard_reset,'',gssb_get_uuid,'',gssb_get_status,'',eps_get_hk,'',drp_clear_gnd_wdt,'',fp_set_cmd,"'565197806209115353 2374106903142207415 O[\ 16975462834278772624 -1972309489 s""gdi 1094444367518220242 68684627783770997023593492673043125236 5176599096564234086 1004906635'",obc_debug,'-6212762367201398754',gssb_get_uuid,'',gssb_fss_commit_config,'',gssb_get_status,'',gssb_fss_commit_config,'',eps_hard_reset,'',gssb_fss_get_sun,'',drp_get_vars,'',gssb_set_addr,'2124844379',gssb_get_uuid,'',gssb_burn,'',com_send_rpt,'130972680719733606031928893062453923469 kra',drp_set_var,'4923959116941620043 j+8<~\;4',com_get_config,'6747757567234395284',tm_get_last,'9729531689023044597',gssb_update_status,'',gssb_set_burn_config,'2060690732 -325468985361366136787649540617927023170 bF@YP}qJ6s \ 6688716 894700301022980079 =277s0',tm_get_last,'-926747238',gssb_get_burn_config,'',gssb_reset,'',gssb_get_temp,'',-6,6.453280448913574
tm_parse_status,'',drp_ebf,'JTo',com_update_status,'',help,'',test,'-880859363',obc_ident,'',obc_get_tle,'',set_state,'146146632110786604096802226716715213861 462484925980411796 5946590787818020465',eps_update_status,'',gssb_get_temp_int,'',gssb_fss_get_temp,'',fp_set_cmd_dt,'12008576733583045068 k>2*ex} 13484950225524159459 1754024551819192128 643647711491220822',com_get_config,'787650396',drp_ebf,'-8719449884608848138',fp_show,'',com_ping,'8365629077882260080',gssb_set_burn_config,'81265616197548662357302089163276440335 W 9168840393496939036 209706613648464160978097328143625633705 -633937536  5575917781700577576',drp_get_vars,'',fp_del_cmd,'-9211353994055100743 -315723209 9089531436300158070 P$!<( 5470447505361519921 480584025',gssb_get_sun,'',gssb_update_status,'',gssb_pwr,'4488425527607735882 221401202573989307087089534228831618441',rw_set_speed,'-1829235237470230091 foGdRe>',eps_update_status,'',gssb_get_temp_int,'',eps_get_config,'',tm_send_status,'-561424567',gssb_msp_get_temp,'',obc_prop_tle,'N!ziB',com_set_node,'847387937',com_set_config,'-1790516172 290975159305325002730025175102552942521',drp_clear_gnd_wdt,'',eps_get_config,'',tm_set_ack,'-1522974640 1412658505641725548',drp_clear_gnd_wdt,'',gssb_get_sun,'',drp_set_var,'57409634343453532 8140160112811505904',gssb_get_uuid,'',gssb_unlock_config,'-86153633646344098367207855314595263872',obc_get_sensors,'',fp_set_cmd_dt,'6375033857695966957 ] 8330522092934865242 15314935978362079030 14238703741635700182',tm_send_all,'2&E -1620429051',gssb_fss_set_config,'8370827945703316065',gssb_get_model,'',obc_get_mem,'',drp_add_hrs_alive,'`8iX9hDK_G',drp_get_vars,'',obc_get_sensors,'',fp_show,'',drp_clear_gnd_wdt,'',-6,10.285547256469727
drp_ebf,'1516356579',gssb_scan,'483919391 -215180179765797658047251358151280023763',test,'866891296798916068',drp_test_system_vars,'',gssb_burn,'',gssb_scan,'V=+DTU(dhI 7o$qrw',com_send_cmd,"'96506740185853303266075707443342585241 ~""r=yo+'",gssb_msp_get_temp,'',rw_set_speed,'r>PB\QQ O^Zjl1L`X',obc_get_sensors,'',obc_ident,'',fp_set_cmd,"'-54068146577785415873732406456338364949 1305002620 7592053324888297986 1610170082907221158 291162412758385717766855188131509379092 325023160327504299456048946200058001042 iK8<6,> 234196382153483512947302876687344157223 4965448541822601396 k5]'D:_('",gssb_get_temp_int,'',obc_prop_tle,'-99663041203841773484856182976294051853',tm_send_from,'-3490304525996165454 7378574605322036544 135336963',gssb_get_uuid,'',gssb_select,'-7038431672551844481',rw_set_speed,'-134242215400253145444143240553789778102 -1147591056',rw_get_current,'',eps_update_status,'',tm_send_status,'3756558422787236029',com_reset_wdt,'}36',gssb_get_status,'',com_send_data,'16642756923284209985',com_send_tc,'-174604266453891967633178138797189916874 391660609',tm_get_last,'1442803678',com_debug,'',gssb_get_temp,'',gssb_set_burn_config,'4428724766104795834 -6728185 17011496052660080231 0 6176274540904154062 278685618784473176259835463782594917278 12713798728125886529',gssb_get_model,'',gssb_msp_cal_temp,'8054101626616636172 ]5~isM\',test,'_',com_ping,'B\w7',tm_send_status,'f2}Ci#',tm_send_status,'56TZ4Un^IV',gssb_unlock_config,'2809210982170058490',set_state,'12075683302312253074 -1419228342233298332 $~r5MN',gssb_update_status,'',gssb_unlock_config,'1498769261373318387',eps_hard_reset,'',help,'',gssb_get_status,'',obc_update_tle,'',fp_del_cmd,'152165481000539854960082103727850940452 296990744 7820095982082443686 6288010366181352334 1915234249 12816530393735449081',tm_get_last,'-2670749118506511706',gssb_get_model,'',drp_set_var,'-1453028520472007251 tvJJ',gssb_fss_commit_config,'',gssb_pwr,'3t8kt 9707608843260031034490592573995601794',com_send_tc,'8526657577423259090 -494694063',-6,11.792508840560913
drp_set_var,'8440534930554273406 15444636868050048260',help,'',gssb_arm_auto,'-7513761386824466761',gssb_unlock_config,'214082670280638275447638301816364849710',gssb_get_version,'',drp_set_var,'-96547362212617822567320658802131720116 -87715581595760837808318635044079412270',gssb_msp_get_temp,'',tm_send_status,'-10500273',obc_reset_wdt,'',gssb_select,'267223175',rw_get_current,'',gssb_pwr,'5196489371839959875 898781683',com_get_config,'-486551799',obc_get_time,'3571660645908890206',fp_show,'',tm_set_ack,"'-1870645631 P#o=xjK""'",fp_show,'',com_send_data,'i#:7&;u',tm_get_last,'1101169858',tm_parse_status,'',gssb_reset,'',gssb_get_uuid,'',gssb_update_status,'',com_ping,'%VEpFax5L$',test,'150172416867083039013805685011429387079',obc_prop_tle,'1787583636470133607',rw_get_current,'',com_send_rpt,'-26271782552359669173575837259869135085 c',eps_set_heater,'-1941951817 -2351278895984609481',drp_add_hrs_alive,'4711470670931244047',drp_add_hrs_alive,'17323123313251297882',gssb_antenna_release,'17531376510173950965 1101625212288991833 976657787535956483 6561815990858394214',com_send_data,'36816383026407830285561771520343961467',init_dummy_sensor,'',gssb_get_status,'',obc_ident,'',fp_reset,'',com_get_node,'',com_send_cmd,'426871723 106160053763730643',obc_get_tle,'',obc_set_pwm_freq,'330031911896238739957989233097366101342 -7365669061132773770',drp_ebf,'-1415465278',gssb_arm_manual,'223559294',fp_reset,'',gssb_set_burn_config,'-103087106 5474121070346796679 HEDG -1002764690 37785520029679148932408251127229180312 2119601532 8:|k',eps_get_config,'',obc_set_pwm_freq,'-2147155560570194839 1500611073',eps_update_status,'',eps_hard_reset,'',obc_update_status,'',-6,7.111919641494751
obc_get_sensors,'',gssb_get_temp,'',rw_get_speed,'',drp_set_deployed,'171674865963362795212193925577108130781',gssb_burn,'',obc_prop_tle,'11207466026107596713',drp_ebf,'',com_send_tc,')g5 16224431016212385134',gssb_get_status,'',com_reset_wdt,'468215592',gssb_update_status,'',gssb_antenna_release,'170309520706688070706792529241473552576 o(Y#G5(*]E 4p5K{MrP -6652538448406557601557363911749477616',obc_prop_tle,'-221033038111158093841838014538557949196',com_set_node,'?W}T',com_set_config,'-541104217 6*$)',tm_get_last,'1712213391561608582',com_set_config,'8245747357215291411 13184420917392383556',gssb_fss_get_sun,'',gssb_select,'7947688141654894026',obc_pwm_pwr,'3537923475920895439',set_state,'-7439503926420963626 281839518 3642086759414680680',tm_send_status,'3525179862550576838',tm_send_status,'25120931170245604133042334919523704749',help,'',tm_get_last,'11041785566210033835',obc_get_sensors,'',gssb_get_status,'',com_set_node,'-1320459810',rw_get_speed,'',gssb_update_status,'',com_send_data,'-944289902',eps_hard_reset,'',tm_get_last,'15806518750664895542',com_send_data,'-309932338434476468716847467762420948632',gssb_burn,'',obc_set_pwm_duty,'-4751913311446729216 1844578316180312579',gssb_get_version,'',obc_get_tle,'',fp_set_cmd_dt,"'-675085592628006532 ,j$Uy 1423303028 -304304884329096377594560499052587781518 959195990414722076'",gssb_arm_auto,'-1245650538',gssb_get_burn_config,'',gssb_unlock_config,'-699848160581376170',gssb_get_uuid,'',gssb_unlock_config,'1699435858',gssb_msp_get_temp,'',obc_pwm_pwr,'51612402375360901952390620067741197411',com_reset_wdt,'-2108134764',gssb_pwr,'HOqQY$a -209900213',gssb_set_addr,'1269192658817500707',fp_del_cmd_unix,'3663197075907464236',-6,8.155333280563353
set_state,'K )53j9JTi[Z 7111199797836423353',tm_parse_status,'',gssb_get_temp,'',drp_set_var,' 608891979',gssb_set_burn_config,'-1287194429 9130175289515694560 -898480182 107892136026068788481117663012462658246 1070706204 -1208089467583092958 8509861701167957298',com_update_status,'',eps_get_config,'',drp_clear_gnd_wdt,'',obc_set_pwm_duty,'-7048939873252776235 1121116154564048037',com_set_node,'O$',gssb_get_version,'',obc_debug,'fg9`[k',drp_ebf,'330738999',gssb_fss_get_sun,'',com_ping,'7298990466679616239',obc_get_sensors,'',obc_update_tle,'',obc_set_tle,'16314562736370214319 -8925438190885837072',fp_set_cmd_unix,'323105730315887692419257126931675546459 -116650927561212291 7785933004761751553 104034542447987540064336163575095228540 -3934604850124067307',obc_ident,'',eps_update_status,'',com_ping,"',F$g'",eps_get_config,'',gssb_get_temp_int,'',eps_hard_reset,'',obc_reset_wdt,'',gssb_arm_auto,'-230834911539136871369978416815318017643',gssb_commit_addr,'',gssb_get_burn_config,'',gssb_get_temp,'',obc_set_pwm_freq,'-3886468042653847628 1551292528938553720',eps_hard_reset,'',gssb_set_burn_config,'459162034871000091 d 5301411098653078872 -7013911988818512066 -6437123756513850677 6227078056806527103 X@bQBd',tm_send_status,'6290945741410965038',tm_send_all,'303210747535805954955018454498218316244 12629767657348817136',com_send_tc,'-1843721268 16873422613865064303',gssb_arm_auto,'F2NUlS',gssb_fss_get_temp,'',gssb_msp_get_temp,'',com_get_node,'',gssb_antenna_release,'-52938223198707666573643809705067795637 1680739310025905434 2494218299344935532 -434966212',gssb_set_burn_config,'c -862304284200963007 -918079401 3195629455913972843 -4852433935844198112 3667828464716499148 -5458434378993778132',com_get_node,'',tm_parse_status,'',obc_set_pwm_duty,'139696193547298518974057880330727984898 4167737387981453136',com_send_cmd,'3401502165256513199 -7500068686563512708',gssb_msp_cal_temp,'-145986695 -6921299394006994849',obc_get_mem,'',gssb_unlock_config,';-gZ5Oy',obc_get_tle,'',-11,10.756712675094604
com_get_config,'9534783933710547446',fp_set_cmd_unix,"'""H$0RSa$@ =]8_9#' 2967516208973481003 -1068687924 198466751995272783636380183261796618296'",tm_send_from,'H>az6R00 11534930229447294762 17359070798142115902',gssb_burn,'',obc_get_tle,'',gssb_fss_commit_config,'',help,'',eps_hard_reset,'',fp_del_cmd_unix,'7033288980770666895',tm_send_from,'6515559366466890970 625102493244906695 212959566984918827258581531032873204783',gssb_scan,'-230743823594787517 10775770982195157000',gssb_set_burn_config,'-1245287502864701266 1561951367 2883920547189453801 Bx_; -1716971489 122823867 17594638969917566877',tm_parse_status,'',obc_reset_wdt,'',drp_test_system_vars,'',tm_send_from,'-7150071972930787887 =LHA}LIA 11057336824673671919',obc_set_tle,'-238403079439052523743310085296294989281 11443919569862129339',gssb_get_model,'',obc_get_mem,'',obc_debug,'321185834572837207785201603118267272074',fp_show,'',obc_set_pwm_duty,'15784978403060945204 8797967861926156452',gssb_set_burn_config,'204818284667718509290424119078438237361 6048062727503242794 947331646 1955551632254272550 -69136799421069505512299536143425238000 8261885093703400135 -522320507',gssb_get_temp,'',gssb_get_status,'',drp_get_vars,'',gssb_msp_cal_temp,'-1418875505 -1345975622',eps_update_status,'',fp_del_cmd,"'5854148118980093296 9090617495929385070 2245455935156738606 2046237205693343069 865946088 n,'",obc_reset_wdt,'',fp_set_cmd_unix,'4786740274152193180 ave! -281451687536912612911202083737607891109 9132724838948428058 752144739',com_send_rpt,'122946150 -145699183180690513046778241112621318173',obc_set_pwm_duty,'13385471082536849491 11665948915440662801',drp_add_hrs_alive,"'t]""qKQ3N&'",gssb_set_addr,'1097882881358165432',com_debug,'',tm_send_all,'-7022956815803782882 5782784170834549440',drp_get_vars,'',tm_send_from,'17889644765742029268 17605529967436231793 8785354453840514322',drp_test_system_vars,'',com_debug,'',gssb_fss_set_config,'j',gssb_get_model,'',init_dummy_sensor,'',rw_get_current,'',gssb_fss_get_temp,'',gssb_get_temp,'',rw_set_speed,'DZZGKDk -3371665713580757680',gssb_msp_get_temp,'',com_get_config,'1393843971',-6,6.8641884326934814
gssb_fss_get_temp,'',fp_set_cmd_dt,'101046713038329278619690307701854594095 4682227713937275749044529916238952478 ~T_8'<*so 7559052147611390230 9553428322117775848',help,'',gssb_select,'311114447821916273497372217345833638404',com_send_cmd,'8528224368950792039 T;U&JS&x',gssb_burn,'',obc_get_tle,'',gssb_fss_commit_config,'',gssb_get_uuid,'',gssb_arm_manual,'1913476723122479415',rw_set_speed,'113293840 -1046762805998282995',rw_get_current,'',help,'',gssb_burn,'',obc_update_tle,'',com_send_rpt,'9u^fMk 8457488',drp_ebf,'5226874685473244490',obc_set_pwm_duty,'11391057105816233548 -5433095238898992092',gssb_get_model,'',drp_set_deployed,'3057865179365061406',com_ping,'xlQ',com_send_cmd,"'5875985631257579237 1xl$,/('",com_get_node,'',gssb_pwr,'rN0{ 5027523046464647711',gssb_get_burn_config,'',gssb_get_status,'',rw_get_speed,'',obc_debug,'-79358000889496038917458791519172506213',gssb_get_model,'',drp_ebf,'14473774745613444095',gssb_get_version,'',gssb_get_uuid,'',fp_del_cmd_unix,'-855984371523240552',fp_set_cmd,'8085107812910224354 1002569635 1616957930 )?*n'E -8665106911982573352 -300137406 10065270506231924289 865923082063957551 &~ri -144028983538997689421543597808578930328',eps_set_heater,'13269905810062528695 13692462128467880377',com_ping,'-1833453569',gssb_fss_get_temp,'',rw_set_speed,'298888310061123278374712647281719480924 -115079765821979768286501590181606315129',com_get_config,'15185470939749542754',gssb_burn,'',com_reset_wdt,'-67034456889087178055750169292001632010',obc_get_sensors,'',tm_send_all,'z$]%?Bo6 10285524245586396713',obc_reset_wdt,'',com_set_config,'16975392474265386643 4846289092385981785',gssb_msp_cal_temp,"'6665089870753176049 ""C}BTdD'",com_set_config,'-229673058496588916450792948018283368045 1569493325946481638',com_set_node,'78836548479303393805947502881135821441',fp_set_cmd,'7926147004278521098  8032094908730282214 d5 -3270233467973418143 -1905349682 -249854530188464454825826206037855679614 1846359144 63560207404383173520252006749317356317 160735620269222812819136555192426045708',rw_set_speed,'7899947385449360221 63908963644048642334810351353914623332',-6,8.823367357254027
