Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
set_state,'1803903917961748959 11529408500055901933 -1579612611',gssb_fss_commit_config,'',gssb_get_model,'',com_ping,'-357563264',gssb_fss_set_config,'1828003818',rw_get_current,'',gssb_select,'1702300324',com_send_rpt,'193083719 #',tm_set_ack,'178339589555517064 8239189759574133545',obc_update_tle,'',obc_reset_wdt,'',com_reset_wdt,'210204183',com_send_cmd,'-563577532 &S',drp_ebf,'-460986914',drp_set_var,'-1765725328 1991453238',obc_set_pwm_freq,'-898198061 102296188111739171900591422501287833531',gssb_unlock_config,'1742865652',com_set_node,'-23268997',com_reset_wdt,'859539498',fp_set_cmd,'-1862739048 1429327447 947636615 -475994028 1191379543 1463186141 -381994484 1870234372 pJCRFq. ',com_send_data,'d9/3.t',drp_add_hrs_alive,'1939764748',gssb_msp_cal_temp,'-853646732 1002895169',help,'',rw_set_speed,'-559526325 178644118',fp_del_cmd,'1568443965 1400318036 -160809996 -2046381218 649334613 171679326',set_state,'2068594007724691655 12099555281987015315 1050653950',com_get_node,'',gssb_pwr,'407911113 -2109385869',eps_hard_reset,'',gssb_update_status,'',gssb_arm_auto,'-1419654709',gssb_get_sun,'',fp_reset,'',com_send_tc,'1349091970 =-.PEZS{*',drp_test_system_vars,'',gssb_update_status,'',gssb_fss_get_temp,'',com_send_data,'uzj\6RYF^',gssb_get_uuid,'',obc_update_status,'',gssb_update_status,'',tm_send_from,'17381063373552378779 3959186416532369704 3686699658733202555',obc_update_status,'',obc_debug,'1794294782',obc_get_time,'1723475995',gssb_unlock_config,'213951068',rw_get_current,'',tm_parse_status,'',com_debug,'',-11,10.475735664367676,444020.0,10888.0
gssb_get_status,'',drp_ebf,'912829034',eps_set_heater,'1614684789 1193197648',test,'[V%',obc_debug,'-580629164',com_reset_wdt,'-1980244246',init_dummy_sensor,'',gssb_get_burn_config,'',gssb_fss_commit_config,'',obc_set_pwm_duty,'1607516996 1529135178',gssb_antenna_release,'511119650 -1583909012 -2071922353 -1231752188',obc_debug,'-1398732072',gssb_msp_get_temp,'',tm_send_all,'13845297737162286078 4597213799170645402',tm_parse_status,'',obc_debug,'-1067086692',obc_ident,'',drp_set_var,'-876508812 -1314436233',obc_set_pwm_freq,'551247792 138548452227229241988777024485562542678',obc_pwm_pwr,'-747611188',obc_set_pwm_freq,'1213271761 -23913528548045767997857126898530913601',drp_ebf,'577197392',tm_send_from,'1974728489385710754 11717069670590399704 8366563768646568351',tm_send_all,'2348359329053352960 3102941073485507515',eps_get_config,'',obc_update_tle,'',com_debug,'',com_send_rpt,"'1436863953 ):x:,'",com_ping,'607215996',obc_get_tle,'',gssb_antenna_release,'-1349873121 -444169821 331579557 54712796',gssb_commit_addr,'',com_debug,'',tm_set_ack,'9491857673181706536 11034049799141974996',gssb_fss_get_sun,'',fp_set_cmd,'-288154378 -87080251 -1044638660 -1767323828 693116266 960195869 -963807481 -1317805862 B~l D',drp_clear_gnd_wdt,'',gssb_get_model,'',com_send_rpt,'1275369616 {n>m'R/',test,'L',gssb_update_status,'',fp_set_cmd_dt,'1653111624 422592004 307710622 (w6 vr63y',gssb_commit_addr,'',obc_get_time,'-754087267',com_update_status,'',fp_show,'',obc_prop_tle,'-2468866261483177117',gssb_get_temp,'',gssb_arm_manual,'-1341231926',fp_set_cmd_unix,'-759400793 692264998 -2003011151 <C78 Zvyu/?RZl',-11,11.069224834442139,444020.0,10728.0
gssb_msp_get_temp,'',fp_set_cmd_unix,"'259087077 -16241237 -1650747244 t?Y,?N e8p'",rw_set_speed,'-718379834 -985459583',eps_update_status,'',eps_hard_reset,'',eps_get_config,'',drp_add_hrs_alive,'-21976597',fp_del_cmd,'-941078580 1438904035 -405554772 1146500250 -2093468983 -1997159251',drp_set_deployed,'131385180',gssb_pwr,'-453867265 1270103839',drp_set_var,'-727885548 1741246634',gssb_fss_get_temp,'',gssb_antenna_release,'313857426 -979438399 -337138671 -1352627248',gssb_msp_get_temp,'',eps_hard_reset,'',gssb_get_status,'',rw_get_current,'',gssb_set_addr,'510749979',fp_set_cmd_unix,"'1176800930 -861955391 862522746 V'{""b9vu$^ yVLn?T#'",gssb_get_model,'',drp_set_var,'-2047055551 1509218416',obc_ident,'',fp_set_cmd_dt,'308843625 794713476 -342900495 sMiZ]` ',obc_debug,'923880273',obc_get_sensors,'',obc_pwm_pwr,'-1634643564',gssb_burn,'',gssb_fss_set_config,'1071374255',fp_del_cmd_unix,'-1360101780',gssb_update_status,'',gssb_get_temp_int,'',rw_get_speed,'',tm_send_status,'-41161704',drp_ebf,'637573772',gssb_fss_get_sun,'',tm_send_all,'2656329729124221002 6158393736771372298',com_send_cmd,'560786470 ^@Q',obc_get_tle,'',tm_send_all,'741638766454647145 6982114503811176982',gssb_get_sun,'',init_dummy_sensor,'',fp_del_cmd_unix,'-187751984',fp_test_params,'74372966  -1359599181',tm_set_ack,'16818614444526995708 17354265753398189507',gssb_scan,'752574285 -1900270943',set_state,'7919106506534589403 14693956993238376204 867476999',eps_set_heater,'1726805704 -1780514753',gssb_burn,'',drp_set_deployed,'652832274',init_dummy_sensor,'',-6,6.37607741355896,444020.0,10888.0
rw_get_speed,'',gssb_select,'1478204839',gssb_fss_set_config,'-260840771',eps_update_status,'',drp_test_system_vars,'',obc_debug,'-82603082',gssb_fss_get_sun,'',gssb_get_version,'',gssb_set_burn_config,'1605665079 -2108398818 208471585 -1442023517 -1085133870 -148758087 -1000907596',com_update_status,'',rw_get_current,'',com_get_config,"'=,/'",com_ping,'79666313',fp_test_params,"'2120208164 $d{qv""xA+C 789820295'",obc_update_tle,'',eps_hard_reset,'',com_send_cmd,'-425374984 Jgi)<#iL2',gssb_msp_get_temp,'',drp_add_hrs_alive,'-471979708',obc_reset_wdt,'',drp_set_var,'-118119747 736072474',obc_get_mem,'',tm_send_from,'5445451326024168845 10914439588453641150 16945518569175550018',obc_get_sensors,'',obc_pwm_pwr,'-714221268',gssb_select,'1812955476',help,'',eps_get_config,'',rw_get_speed,'',gssb_arm_auto,'462560141',obc_set_tle,'23300816 nQa=',obc_update_tle,'',obc_ident,'',tm_send_from,'12901970956291976426 9185505148758095029 7856422007329528667',com_send_data,'v0O\5NO9Q',eps_get_config,'',obc_get_tle,'',tm_set_ack,'6701171761901223677 9008286686791755851',com_send_rpt,'-176506900 i9.EV',gssb_set_addr,'-45362301',drp_set_deployed,'-1724724272',obc_ident,'',com_debug,'',obc_set_tle,'221910795 &v{5W?7)',help,'',fp_test_params,'63785691 C -500783113',gssb_arm_manual,'-98687601',gssb_set_burn_config,'378072081 259239706 240663138 -228784596 1712904598 -1657750426 -698823472',obc_set_pwm_freq,'-1027679712 -299839375853660999143200626672271088732',obc_get_mem,'',0,15.904876232147217,444020.0,10752.0
obc_ident,'',fp_reset,'',gssb_get_version,'',com_send_data,'7qXP`r',com_send_cmd,'942463554 ;IK',fp_set_cmd_unix,'-658820564 1472305862 1180572547 ygMPGn K)%-bE',set_state,'9599165442271127834 6440689373524218230 142880312',rw_get_speed,'',gssb_arm_auto,'169870648',tm_send_last,'16643085119671809911 16433140583999309858',obc_pwm_pwr,'1960897759',test,'[K_f{O&{',gssb_set_burn_config,'-563372031 1471778659 -1026739303 2070359610 1039576067 -1854883047 390785499',gssb_get_temp_int,'',test,'`PEjjk`<',com_reset_wdt,'424299016',gssb_burn,'',gssb_get_temp,'',obc_get_time,'-747823444',drp_ebf,'1445384650',obc_set_pwm_freq,'-245892871 186194327070261864788689466536643397861',gssb_get_temp_int,'',gssb_get_temp_int,'',gssb_msp_get_temp,'',fp_del_cmd,'1526216099 -258430366 1575319302 699960928 1445336952 -1936275175',tm_send_status,'1232425976',com_get_node,'',gssb_set_burn_config,'-24512478 -1273139057 -1520377398 -2058692333 -2028093161 1382831021 1973382674',obc_get_mem,'',fp_set_cmd_dt,'-1020376358 -1021729712 -54750086 J-_ REp5j8r'Y%',gssb_scan,'-49921119 1324625794',com_debug,'',obc_set_pwm_freq,'-811983901 -286904644577485148639012981243329997233',eps_get_hk,'',fp_set_cmd_unix,'-1371050992 -930681930 -1070954081 143jW 6Htj:hy',obc_get_time,'-273765359',gssb_update_status,'',obc_reset_wdt,'',drp_get_vars,'',gssb_scan,'-1827011586 1267440981',gssb_fss_get_temp,'',gssb_get_temp_int,'',obc_prop_tle,'1643687699194009628',drp_set_deployed,'503308912',drp_ebf,'1396759220',eps_get_hk,'',com_ping,'-499677475',eps_get_config,'',set_state,'3869685882630386623 5005757237600631374 1324466215',fp_reset,'',-11,8.445395946502686,444020.0,10724.0
tm_send_from,'12658983533537085792 3883811935434480156 12217422487597095652',gssb_set_burn_config,'-1006107131 1945658705 655352650 304116889 112281238 1623012239 -272742096',com_update_status,'',drp_add_hrs_alive,'-707945220',gssb_get_sun,'',set_state,'12909539729795961171 3623746625912235581 1167685619',rw_get_current,'',fp_del_cmd,'1706271214 705214030 535620637 -1523706197 225691716 887469014',tm_send_all,'1280983607410762554 980883388237512366',tm_send_status,'2041158939',tm_send_from,'9850623313482168338 13631727919640994546 5454687305502873056',com_get_node,'',obc_get_time,'1691459126',set_state,'4642031099337260777 13827511566463736342 1742068137',fp_set_cmd_unix,"'1001517114 -1074935214 1669056355  ""[iew('",obc_set_tle,'-1180389349 $^bi',gssb_set_burn_config,'-657047130 392803551 339749906 -1651468698 623578252 -1014530768 -1842528281',drp_get_vars,'',com_get_config,'m%2c&K',gssb_unlock_config,'2130825104',drp_ebf,'343622146',rw_set_speed,'895909334 2017843073',com_reset_wdt,'810936505',drp_clear_gnd_wdt,'',fp_del_cmd,'848835571 -85367790 89846467 1854946702 -1540888370 -1212164953',fp_reset,'',gssb_fss_set_config,'-1076453453',tm_send_last,'3647998397190274590 17395197028892468845',gssb_pwr,'-2089491000 -1599170875',obc_update_tle,'',gssb_unlock_config,'1939985383',obc_reset_wdt,'',test,'mnU0TgMUcB',obc_debug,'457220304',drp_clear_gnd_wdt,'',gssb_get_burn_config,'',tm_send_status,'2130041903',help,'',drp_ebf,'903045243',fp_set_cmd,"'-56839557 -8275567 -1642333198 73710737 -1925333302 1109810735 -218162583 1183961071 ya ""(U}gHld'",tm_send_from,'15078166231448046737 416356709549089506 223931542640596473',gssb_reset,'',obc_get_sensors,'',fp_reset,'',com_set_node,'-1786884996',gssb_set_addr,'1225055141',com_debug,'',gssb_burn,'',eps_hard_reset,'',com_debug,'',-11,6.7641918659210205,444020.0,10752.0
gssb_update_status,'',drp_ebf,'-1473372461',tm_send_status,'-1444080095',gssb_fss_get_sun,'',gssb_burn,'',obc_update_tle,'',obc_ident,'',gssb_get_model,'',gssb_update_status,'',com_debug,'',tm_send_status,'1868162179',eps_get_hk,'',gssb_set_addr,'321343339',fp_set_cmd_dt,'-1662540949 -1976324915 -1839503970 F)1@# ibh>AD',com_reset_wdt,'-1092989516',drp_get_vars,'',fp_test_params,"'-177690117 m""&\=B -1859822260'",drp_set_var,'-1819898562 -385866079',gssb_select,'1075599295',tm_send_from,'2935303641810168444 12061166530063935303 18394358657741796875',rw_set_speed,'-46364602 -1459423798',obc_set_pwm_duty,'-922426797 811638105',fp_set_cmd_dt,"'1645138063 -73073886 1003251674 nNx ""sl|L7D-'",obc_set_tle,'-540386357 ',obc_set_pwm_freq,'1917081142 -78814934732000662512227014892047498459',gssb_reset,'',gssb_reset,'',com_get_node,'',rw_set_speed,'-1255428521 409538655',gssb_get_temp_int,'',fp_test_params,'-663772792 ! 836942',tm_parse_status,'',gssb_get_model,'',com_ping,'-858968436',com_send_tc,'1403533126 jP{x<;XEl',com_ping,'-211310702',gssb_get_temp,'',gssb_fss_set_config,'-1837875189',com_set_node,'-2065783920',gssb_update_status,'',gssb_msp_cal_temp,'1511925821 -689625928',com_send_rpt,'-1377840890 ['d6t',fp_set_cmd,"'832200195 -1799188277 -1959425371 -1969545516 -1916255549 1487011030 2014960232 1804774952  ""1'o'",gssb_get_version,'',gssb_burn,'',gssb_get_version,'',com_ping,'1300117878',gssb_antenna_release,'-881140784 569528872 1530469826 63281225',gssb_get_model,'',help,'',-6,6.525346040725708,444020.0,10876.0
set_state,'16316231273370425466 8514040620648568908 -1886032570',gssb_msp_get_temp,'',fp_set_cmd,'-1702724121 -2102165515 -600470712 1646146730 142802657 2045995038 -1106782321 -125392124 A]WyX[ Jz5jI|',gssb_get_temp_int,'',drp_get_vars,'',eps_hard_reset,'',drp_get_vars,'',fp_show,'',gssb_set_burn_config,'1315121108 -1582828306 1303999124 1463855111 -106197701 -1957498491 -1089646940',eps_get_hk,'',com_reset_wdt,'1173137447',gssb_burn,'',tm_send_status,'-1950581857',obc_update_tle,'',drp_set_var,'-747570965 831857825',com_update_status,'',gssb_arm_auto,'669780445',com_reset_wdt,'-1939366587',tm_parse_status,'',fp_set_cmd_dt,'1617269241 -627002148 16391856 V&uL+f__g (]_bv!8s',gssb_fss_set_config,'-1706861924',gssb_scan,'-678676350 -199711293',gssb_unlock_config,'1218661282',fp_set_cmd,'2127636047 -1378677292 1360377667 654381233 -610160490 721337976 990952164 -811785787 HZE 6b',eps_get_config,'',fp_test_params,'1099165929 l7wY]J.:! 1386579398',drp_ebf,'2091832437',com_ping,'-844069600',gssb_fss_commit_config,'',com_get_config,"'P0'""4B'",gssb_fss_get_sun,'',rw_get_current,'',com_set_config,' O4:]ciY};8',obc_set_pwm_freq,'1398247549 -109759502760549309818207706604060299869',tm_send_last,'14993638765515545552 15570508917989393374',eps_get_config,'',gssb_commit_addr,'',com_set_config,'B ',tm_set_ack,'15919724722949688178 13222290145868158598',com_send_data,'6]',init_dummy_sensor,'',obc_set_tle,'2114530390 R@w',tm_send_all,'15038046423050814472 11307881447627813243',gssb_fss_get_sun,'',fp_set_cmd_unix,'-143395295 1362975248 -2042279761 NGc Xe',fp_show,'',gssb_scan,'-665637994 432958167',com_reset_wdt,'-2032260434',obc_set_pwm_duty,'-679637639 -904388389',obc_update_tle,'',-6,6.313607454299927,444020.0,10512.0
tm_send_last,'3072008075354130184 10877796602872107332',gssb_fss_commit_config,'',gssb_get_model,'',tm_send_status,'609119954',com_reset_wdt,'-1961036249',com_send_tc,'-1072026632 }u[)t(',eps_update_status,'',gssb_scan,'801306882 619821046',init_dummy_sensor,'',test,"'""Zk42)#:'",drp_get_vars,'',obc_update_tle,'',drp_set_var,'1107258869 -1438739142',fp_set_cmd_dt,"'-926890301 1824037958 1871238185 {-'FJO+7 ^P5+""X'",fp_del_cmd,'1176067512 -1757023701 -1565087153 694750921 -1569938712 -1899980931',gssb_get_version,'',obc_update_tle,'',com_get_node,'',gssb_get_temp_int,'',obc_get_sensors,'',gssb_set_burn_config,'-214106517 -1378711166 1029870767 949583933 2001068366 1342059240 -256667912',obc_update_status,'',fp_del_cmd_unix,'-1367019576',com_get_config,'1',eps_get_config,'',com_set_config,'_0e3mfll6 6YW4t:S'K',fp_show,'',rw_get_speed,'',obc_set_pwm_duty,'2137805240 1519822747',gssb_select,'-1268820130',drp_clear_gnd_wdt,'',tm_send_status,'1589165323',obc_update_tle,'',eps_hard_reset,'',gssb_get_sun,'',fp_del_cmd_unix,'216758223',obc_set_pwm_duty,'677747211 1704901231',com_debug,'',drp_test_system_vars,'',gssb_update_status,'',fp_show,'',com_get_node,'',help,'',fp_set_cmd,'-1506489900 2057213229 -1952473944 1173435944 -1587043372 1951250470 1042100151 768409403 iT6A4; ',eps_get_config,'',gssb_burn,'',drp_set_var,'1191942922 -599049080',gssb_pwr,'1556146520 177393588',gssb_reset,'',tm_send_from,'9168514695310905622 6318206216935580302 3711683015529249457',-6,6.692844390869141,444020.0,10488.0
drp_test_system_vars,'',gssb_set_addr,'-1865990162',gssb_antenna_release,'1857216687 -27201129 1339284364 2073186935',fp_set_cmd,'-1561116208 -1650462085 -350590104 -869707341 481345484 1181131634 -119049762 -999365953 I qrv\=.J',tm_send_last,'8072474023991229934 12493132193586734354',help,'',gssb_burn,'',obc_get_tle,'',fp_reset,'',tm_send_from,'4269869445183386718 13372930293120434553 5536500087575285399',obc_get_mem,'',gssb_get_version,'',gssb_msp_get_temp,'',drp_clear_gnd_wdt,'',drp_clear_gnd_wdt,'',gssb_get_temp_int,'',obc_debug,'-1192472967',gssb_get_uuid,'',obc_update_tle,'',com_send_tc,'-1272327895 =SA*',com_send_cmd,'-1625191340 5X7B['o!',gssb_msp_cal_temp,'-1456955944 1298455055',com_get_node,'',fp_reset,'',fp_set_cmd_dt,'1746245147 269964058 -1852915240 Au^m n[s}l',obc_set_tle,'-1912602746 DVcgZ',com_send_tc,'-732776310 P',init_dummy_sensor,'',com_update_status,'',gssb_get_sun,'',obc_set_pwm_duty,'1613956329 -1264252828',tm_set_ack,'133546856205440487 11559798138755238339',drp_test_system_vars,'',obc_get_mem,'',gssb_msp_cal_temp,'770830815 1968513443',gssb_unlock_config,'-2061332700',gssb_reset,'',gssb_antenna_release,'-1875718945 -1969529263 1188819038 -1244245937',drp_set_deployed,'-714288319',drp_add_hrs_alive,'-312654496',gssb_fss_get_sun,'',gssb_fss_get_sun,'',fp_show,'',init_dummy_sensor,'',drp_add_hrs_alive,'-1752386210',com_send_data,'~dMC]T!k)6',gssb_burn,'',gssb_select,'340574024',obc_prop_tle,'-2966733421659660973',help,'',-6,10.0499849319458,444020.0,10592.0
