Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
init_dummy_sensor,'',drp_set_var,'1992622928 755676362',gssb_get_version,'',obc_get_tle,'',com_get_node,'',0,7.0114922523498535,444020.0,10804.0
tm_get_last,'6986860594156623354',gssb_get_burn_config,'',fp_set_cmd_unix,"'-780855119 316375947 -795116737 M/?EMO_DY jy8uK,Oz?U'",gssb_set_burn_config,'-1617775097 -1514528519 -333546364 -304274083 1622455964 -599171289 -1116573191',gssb_antenna_release,'-1356579414 -559769787 -321435981 -569102195',-6,6.332918643951416,444020.0,10584.0
gssb_get_temp,'',help,'',fp_del_cmd_unix,'1490185656',obc_update_status,'',obc_reset_wdt,'',-6,6.394622802734375,444020.0,10652.0
gssb_fss_get_temp,'',gssb_select,'1022258356',eps_set_heater,'-1252868466 -1946901012',gssb_reset,'',gssb_set_burn_config,'716203234 2072539651 -628950158 -464204806 -989861527 830167196 -1875639972',0,6.933246612548828,444020.0,10660.0
obc_update_status,'',gssb_unlock_config,'-1743244216',fp_show,'',com_reset_wdt,'1627568681',fp_set_cmd,'-643500757 155162253 141882488 -1754207843 1403525139 1867630653 -601218975 1717385229 73\{!-] LdeS*',-11,6.4817798137664795,444020.0,10628.0
fp_test_params,'1996107666 +cxo)@9 2043271269',obc_ident,'',fp_test_params,'-1685133891 JS 1478142052',fp_del_cmd_unix,'-1524722665',com_send_rpt,'2074525298 9',-6,6.779595851898193,444020.0,10460.0
obc_set_pwm_freq,'-352441868 225595695910227005741404827662760833309',gssb_msp_get_temp,'',com_send_tc,'634422985 6SnN`a',com_send_cmd,'-57451788 !7L87:N>',drp_add_hrs_alive,'-1666157423',-6,7.416072130203247,444020.0,10600.0
gssb_scan,'-65018432 225888724',tm_set_ack,'11835666228517938840 12239374422696891021',gssb_fss_commit_config,'',tm_get_last,'5917301359042681847',rw_get_speed,'',0,6.965943813323975,444020.0,10556.0
fp_del_cmd,'639980511 -1231574309 1348437812 -133334427 652019175 -1688020909',obc_pwm_pwr,'-454097327',gssb_fss_commit_config,'',eps_get_hk,'',com_set_config,'`# r'j>',-11,6.254069566726685,444020.0,10852.0
com_set_node,'-629872207',gssb_select,'-408039856',com_get_node,'',gssb_get_sun,'',obc_prop_tle,'-7174887311341644541',0,6.90502667427063,444020.0,10616.0
drp_clear_gnd_wdt,'',tm_send_from,'2312710981638004910 1649174384964017665 2291070260976097213',com_set_config,' ',com_set_node,'2092940893',gssb_set_addr,'1214882307',0,6.411756277084351,444020.0,10604.0
obc_set_tle,'305342643 u7Mr$UQ',fp_del_cmd_unix,'-2112592601',rw_get_current,'',rw_get_current,'',gssb_arm_auto,'199258414',-6,6.448223352432251,444020.0,10840.0
rw_get_current,'',gssb_set_burn_config,'-849756425 -955613771 -1981090342 -250803117 -1117087 -1532437223 937615429',eps_set_heater,'-1764330078 1028027070',obc_set_pwm_freq,'326930448 170637893230090718653941112528313022953',gssb_fss_get_sun,'',0,6.972281455993652,444020.0,10692.0
com_reset_wdt,'-1216965178',gssb_get_uuid,'',gssb_get_burn_config,'',obc_get_tle,'',gssb_fss_get_temp,'',0,7.156784534454346,444020.0,10652.0
fp_set_cmd_dt,"'203085530 738406255 -1353907319 AGP yfR""e\x%OA'",obc_set_tle,'-1059704848 Sl^trli',gssb_scan,'384914104 1123244606',drp_add_hrs_alive,'1378330270',obc_set_pwm_freq,'1451579227 310399490928571800425822448672705014085',-6,6.293149709701538,444020.0,10652.0
com_get_node,'',obc_get_sensors,'',drp_clear_gnd_wdt,'',fp_reset,'',fp_del_cmd_unix,'1664887616',-6,6.53737735748291,444020.0,10596.0
fp_set_cmd_unix,'-649181736 -705056672 1823778529 {3\l\K3 *ed$!C~Y',rw_get_current,'',gssb_reset,'',gssb_unlock_config,'-1290318528',gssb_get_burn_config,'',-6,6.423320293426514,444020.0,10660.0
eps_hard_reset,'',com_send_tc,'-1871046533 2g0`SGyR<)',gssb_set_addr,'1254044826',drp_set_var,'-1419186352 -614812369',obc_set_tle,'-669154638 jxce'',-6,7.292828798294067,444020.0,10464.0
