Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_get_sun,'',obc_prop_tle,'-1251092412475044485',com_send_data,':+@',obc_update_tle,'',eps_get_hk,'',0,7.208116054534912,444020.0,10648.0
drp_add_hrs_alive,'227928672',gssb_fss_get_sun,'',gssb_get_burn_config,'',rw_get_speed,'',tm_parse_status,'',0,7.123583078384399,444020.0,10616.0
obc_get_mem,'',eps_hard_reset,'',gssb_set_burn_config,'792849882 -260093486 -189766988 502484924 -1722286117 -186808437 -470893269',gssb_msp_get_temp,'',help,'',0,6.982144117355347,444020.0,10888.0
com_send_tc,'-1163454583 ^V',com_set_node,'-864850959',obc_update_status,'',obc_reset_wdt,'',tm_send_last,'1206764188750736554 17281044688288739549',-6,7.288365125656128,444020.0,10600.0
gssb_burn,'',com_send_rpt,'-1094291370 x7U*',tm_send_status,'-647532822',gssb_get_uuid,'',drp_set_deployed,'-2081725619',-6,6.473103284835815,444020.0,10552.0
drp_ebf,'-1414978811',tm_get_last,'5786633432989754326',fp_set_cmd_unix,'1479370606 -434101907 759994412 `jL*+ -/jH|',obc_get_tle,'',gssb_commit_addr,'',-6,6.377374649047852,444020.0,10576.0
gssb_get_model,'',com_send_rpt,'-706977305 Z',com_send_data,'o`g!h|&1',obc_set_pwm_freq,'523477944 338914898121298552276761074952687172173',gssb_set_burn_config,'1443112709 434192100 -1263188773 1462501633 953750081 1255102130 -296575786',0,7.2932820320129395,444020.0,10844.0
drp_set_deployed,'683935835',drp_clear_gnd_wdt,'',tm_send_all,'1328595156720375902 11424251057617258400',com_get_node,'',com_send_rpt,'1870798637 a=4qQ',0,6.4552342891693115,444020.0,10524.0
obc_ident,'',rw_set_speed,'929997260 -1890464686',tm_send_all,'4891846015834328787 792892265178813482',obc_ident,'',fp_set_cmd_dt,"'979628337 1542989534 400643691 Af.nt#""=; A7a3''",-6,6.516784191131592,444020.0,10616.0
fp_show,'',gssb_arm_manual,'1914201924',help,'',gssb_fss_commit_config,'',fp_del_cmd_unix,'746833980',-6,6.709923028945923,444020.0,10608.0
tm_set_ack,'5552152029100041753 11941900921222207731',gssb_antenna_release,'751332430 576999072 -533090985 -111987697',gssb_scan,'569644890 2040724737',com_reset_wdt,'805145582',obc_pwm_pwr,'1575819792',0,6.9456212520599365,444020.0,10876.0
tm_set_ack,'15298281806316943269 8923206004146460075',fp_del_cmd,'-119584958 -243718925 693639031 1899000229 -1695391966 1801369312',com_reset_wdt,'-72900169',fp_set_cmd_dt,"'-1655174285 -1556603485 711342255 ""5{}sRX .p!T>b<'",obc_set_pwm_freq,'-1546719218 339709866159401947890803911812158632021',-11,6.488571405410767,444020.0,10876.0
obc_get_time,'93735597',gssb_get_temp_int,'',gssb_get_uuid,'',rw_get_current,'',tm_get_last,'9570066342572264286',0,7.094696760177612,444020.0,10648.0
gssb_set_addr,'1765464268',obc_update_tle,'',tm_send_status,'-299012276',obc_get_sensors,'',com_ping,'-1407356297',-6,6.5696120262146,444020.0,10812.0
rw_set_speed,'340814009 -911860971',eps_update_status,'',obc_set_pwm_freq,'1470797089 -84562250814220641316531813573062409078',gssb_msp_get_temp,'',obc_set_pwm_freq,'-417706936 -210113090397265733497195219331933448858',0,6.92178750038147,444020.0,10476.0
eps_hard_reset,'',obc_get_time,'-1516281125',tm_send_all,'311524027120832861 4024265825923347286',obc_get_sensors,'',drp_ebf,'172663015',0,6.650542497634888,444020.0,10580.0
tm_get_last,'8366896501373224483',drp_get_vars,'',gssb_msp_cal_temp,'-922261791 -1586458536',gssb_fss_set_config,'-1337184580',obc_update_status,'',0,7.077570915222168,444020.0,10660.0
gssb_arm_auto,'1205956319',fp_reset,'',com_reset_wdt,'-380677970',tm_parse_status,'',drp_set_var,'-4539338 1816740018',0,6.940914154052734,444020.0,10812.0
obc_reset_wdt,'',obc_set_pwm_freq,'350387377 -177070088524343102960964595156756430207',obc_set_tle,'-723739137 LL',gssb_arm_manual,'-784161455',gssb_get_temp,'',0,6.873760938644409,444020.0,10604.0
gssb_get_uuid,'',com_reset_wdt,'-730430803',fp_test_params,'280779266 RJ(44 -1460421625',com_set_config,"'^::""&YE qbhhGbYw'",eps_hard_reset,'',0,6.985411643981934,444020.0,10492.0
tm_send_last,'8356097748777083672 18047699115350105991',obc_get_mem,'',com_set_config,'oNL|Yg v9iXG@kF}',fp_show,'',drp_add_hrs_alive,'-1146128202',0,6.91051173210144,444020.0,10752.0
com_send_rpt,'851235629 %#l3~ScZ',gssb_set_addr,'1295609676',gssb_fss_set_config,'-1330393695',drp_clear_gnd_wdt,'',rw_get_speed,'',0,6.887880086898804,444020.0,10660.0
tm_send_all,'16940245255991059402 9168146263156386776',fp_reset,'',gssb_fss_get_temp,'',rw_set_speed,'988591650 -2026346954',com_debug,'',0,7.003635406494141,444020.0,10656.0
com_set_config,"'|eDp ""fjsqV{lW'",obc_get_tle,'',obc_get_sensors,'',test,'<o6^i3#*G',help,'',0,6.400001525878906,444020.0,10840.0
tm_send_all,'9615988275427066879 211369750095731969',eps_hard_reset,'',tm_send_from,'9082969350497662419 2664552157580513268 1508558760105379340',gssb_get_uuid,'',init_dummy_sensor,'',0,6.963253974914551,444020.0,10572.0
gssb_set_burn_config,'-592064469 1845928667 -621976614 -1763202271 141161074 -2011962827 1598000708',obc_prop_tle,'3168568125029485298',gssb_msp_get_temp,'',gssb_pwr,'-591280949 2001040372',gssb_fss_set_config,'983801582',0,6.905393600463867,444020.0,10900.0
gssb_commit_addr,'',com_set_config,"'6q,nN8%( nj'",fp_del_cmd_unix,'-320875018',fp_set_cmd_unix,'224043575 32811342 -2104796914 HnPX<t:^ .guZ',fp_test_params,'-1749326957 rK3Qaw -1962941603',-6,6.346101760864258,444020.0,10580.0
drp_test_system_vars,'',gssb_get_uuid,'',com_get_node,'',gssb_get_version,'',tm_set_ack,'17753428694537851377 598669368817388121',0,9.851249933242798,444020.0,10564.0
init_dummy_sensor,'',rw_get_current,'',gssb_fss_get_temp,'',gssb_fss_get_temp,'',obc_set_pwm_freq,'-2133717185 317035049574614081684746736121787051945',0,6.940991401672363,444020.0,10564.0
eps_set_heater,'1277363732 466127299',tm_send_all,'6957871572300459630 13561863313744233519',obc_prop_tle,'5372628262160642537',eps_set_heater,'847006040 696006154',fp_reset,'',0,6.8117241859436035,444020.0,10592.0
gssb_reset,'',obc_get_sensors,'',gssb_reset,'',obc_get_tle,'',drp_test_system_vars,'',0,10.039389610290527,444020.0,10864.0
com_ping,'-1578239091',gssb_get_uuid,'',drp_add_hrs_alive,'-725106874',tm_get_last,'15914536557715907027',gssb_pwr,'751438541 -1332912487',0,9.31579875946045,444020.0,10624.0
