Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
gssb_msp_cal_temp,'-1056747876 -2078397161',com_update_status,'',com_send_rpt,'-857193128 W',drp_set_deployed,'1656682019',gssb_msp_get_temp,'',0,6.921618223190308,444020.0,10500.0
com_set_config,'t R',test,'*3',fp_reset,'',drp_set_var,'1207342145 -1257323512',obc_ident,'',0,6.940912485122681,444020.0,10588.0
gssb_fss_set_config,'1011056742',drp_add_hrs_alive,'121390424',obc_set_pwm_freq,'-1940526394 -237065807891134676037050689511758526320',gssb_msp_get_temp,'',drp_clear_gnd_wdt,'',0,7.213942766189575,444020.0,10652.0
com_get_node,'',obc_set_pwm_duty,'-1592294592 -785189215',gssb_get_uuid,'',drp_set_var,'2030277641 -1385548999',gssb_get_temp,'',0,7.332741737365723,444020.0,10664.0
gssb_pwr,'-569872524 -1062085447',drp_set_var,'-990564814 -928327674',gssb_antenna_release,'-48945456 1672888353 -817879223 -1294736141',eps_set_heater,'197277460 101618304',eps_hard_reset,'',0,6.961416244506836,444020.0,10844.0
gssb_msp_cal_temp,'-1561966100 1032556231',obc_set_pwm_duty,'-1407042700 767985891',rw_get_current,'',com_update_status,'',drp_ebf,'1798355318',0,7.011098146438599,444020.0,10656.0
obc_get_mem,'',gssb_get_temp,'',gssb_burn,'',com_ping,'-1695825204',gssb_select,'-1801161082',0,9.288517475128174,444020.0,10720.0
obc_get_sensors,'',eps_get_hk,'',gssb_fss_get_temp,'',help,'',test,'3:wS~g',0,7.002110958099365,444020.0,10612.0
com_ping,'1861932015',fp_show,'',obc_get_mem,'',eps_hard_reset,'',gssb_antenna_release,'1161440212 1928103395 743330220 1475881077',0,9.168165922164917,444020.0,10544.0
gssb_get_status,'',gssb_fss_get_sun,'',drp_set_var,'1204008130 -1481130482',init_dummy_sensor,'',drp_clear_gnd_wdt,'',0,6.912609577178955,444020.0,10488.0
gssb_get_uuid,'',gssb_fss_commit_config,'',obc_ident,'',tm_parse_status,'',set_state,'10542868802297476771 6363393588689463076 1976000859',0,7.009164333343506,444020.0,10664.0
gssb_fss_get_sun,'',drp_set_deployed,'-223216031',eps_set_heater,'1715924199 1642536879',gssb_get_uuid,'',obc_set_pwm_duty,'69707524 752414025',0,6.940377235412598,444020.0,10704.0
gssb_arm_manual,'-1651348111',drp_set_var,'-436569955 -1577017800',obc_get_sensors,'',gssb_scan,'1570792324 -1969413183',tm_send_last,'1194112786745045507 13728919669197045037',0,6.953572511672974,444020.0,10896.0
obc_set_pwm_freq,'1819910486 -269623830226124837720118375182094295323',eps_set_heater,'-1349335280 -1946793054',eps_get_config,'',drp_add_hrs_alive,'1548194511',com_get_node,'',0,6.874452590942383,444020.0,10840.0
gssb_get_sun,'',gssb_arm_manual,'1031581671',drp_clear_gnd_wdt,'',drp_test_system_vars,'',eps_update_status,'',0,9.993587493896484,444020.0,10612.0
rw_set_speed,'-53576422 -1245358545',obc_ident,'',init_dummy_sensor,'',gssb_get_status,'',drp_set_deployed,'1797816353',0,6.949474573135376,444020.0,10552.0
obc_debug,'-181693821',com_set_node,'-43401759',obc_ident,'',com_send_rpt,'-942930062 7u%0j.',gssb_get_model,'',0,6.867006540298462,444020.0,10628.0
gssb_set_burn_config,'-460750213 -834220221 134054739 366651753 237821336 -1222087245 -1454359082',drp_add_hrs_alive,'-501737132',gssb_antenna_release,'-1485493815 -218311896 -72320205 -1733933109',gssb_set_addr,'-1887182552',obc_debug,'-2018242788',0,7.147107362747192,444020.0,10624.0
gssb_get_status,'',obc_get_sensors,'',obc_update_status,'',fp_set_cmd,'-914805829 -406518570 739666397 1681937386 1920696459 521151067 258504777 -1000766074 }c ZBI;2',gssb_antenna_release,'-1627797265 -1110730784 787042101 -1515806421',-11,6.46258282661438,444020.0,10656.0
gssb_arm_manual,'-270046495',gssb_get_status,'',test,'@f',drp_add_hrs_alive,'125351155',drp_test_system_vars,'',0,9.924714803695679,444020.0,10844.0
com_send_data,''bUz=Y;-6',obc_pwm_pwr,'282407210',rw_get_current,'',obc_get_time,'1548475115',com_set_node,'1482877938',0,7.140958309173584,444020.0,10660.0
gssb_select,'306619924',fp_show,'',eps_update_status,'',obc_pwm_pwr,'-1340800674',fp_show,'',0,6.9488770961761475,444020.0,10580.0
gssb_set_addr,'-1140678662',com_send_tc,'-1233870458 ',help,'',eps_set_heater,'921849517 1373155933',obc_get_sensors,'',-6,7.2722790241241455,444020.0,10592.0
rw_get_current,'',gssb_get_burn_config,'',gssb_pwr,'597915231 -2133010116',help,'',gssb_arm_manual,'1854969356',0,6.966197490692139,444020.0,10848.0
rw_set_speed,'177297308 1612856070',obc_update_tle,'',com_reset_wdt,'663571765',drp_set_var,'-1444846845 -1944093879',com_set_node,'-2026686539',0,6.907320499420166,444020.0,10904.0
eps_hard_reset,'',gssb_arm_manual,'-1126394387',com_send_data,'kX5ok#',gssb_get_model,'',rw_get_current,'',0,7.251126050949097,444020.0,10576.0
com_send_data,';k',obc_set_pwm_freq,'407342063 -207148133480372756698138024223898288382',obc_update_tle,'',gssb_set_addr,'1225195139',tm_send_all,'1360536094921447686 9882468066444746420',0,7.369540452957153,444020.0,10660.0
com_send_cmd,'2141513740 #8{#F'0/vN',fp_show,'',gssb_fss_get_temp,'',drp_get_vars,'',tm_set_ack,'12579406631920216751 6189867513338605231',0,7.2990946769714355,444020.0,10880.0
drp_get_vars,'',obc_debug,'-16989626',com_set_node,'-308448812',rw_set_speed,'862711819 -597137088',gssb_select,'2023286312',0,6.85321569442749,444020.0,10844.0
rw_set_speed,'1804810743 -1433623595',obc_debug,'122063863',obc_reset_wdt,'',com_send_data,'',com_send_cmd,'1307457284 P',0,7.51053786277771,444020.0,10684.0
fp_set_cmd,"'1655625264 1511808081 -1765559442 99187281 -1417827850 638601624 1191899442 -113749554 Nq}:`% @O$Cm,rqK'",fp_set_cmd,"'720612442 -1257395837 2128853386 1231082377 2056864134 -316364957 402805277 -941202684 /Qy%2o,) :1~%x'",drp_add_hrs_alive,'-1708177201',gssb_get_uuid,'',tm_send_last,'16158387832243677201 467040748460659636',-6,6.430644273757935,444020.0,10552.0
obc_set_tle,'-50870057 1S',gssb_get_model,'',tm_send_status,'553922443',gssb_scan,'-1061455255 569742987',gssb_get_burn_config,'',-6,6.473283290863037,444020.0,10860.0
gssb_reset,'',gssb_set_burn_config,'325685956 2003575458 1267028679 1160070498 -2022470214 -651664756 -895610171',test,"'/O""T-'",eps_set_heater,'-193075905 -1633303124',gssb_fss_set_config,'969969855',0,6.885090351104736,444020.0,10664.0
fp_del_cmd,'1800589842 -857534404 1663063577 216734001 -418594237 -1474143842',test,'Phgi',gssb_fss_set_config,'-1606303700',eps_hard_reset,'',gssb_arm_manual,'1880215373',-11,6.3210132122039795,444020.0,10880.0
fp_del_cmd_unix,'-1941850805',gssb_arm_manual,'-419398002',com_send_tc,'-407024968 I3ULB68',fp_set_cmd_unix,'898024226 593904500 1124925859 ?H3L9.u;e Z8;',gssb_get_sun,'',-6,6.2465503215789795,444020.0,10752.0
eps_update_status,'',com_set_config,'R- 6Fqx4',gssb_arm_manual,'1989625133',rw_set_speed,'27703579 -1488134979',gssb_select,'-61649018',0,6.974148750305176,444020.0,10580.0
gssb_fss_set_config,'192614872',drp_get_vars,'',obc_set_tle,'-1050556465 mc%N',com_send_rpt,'-1211993187 nBXD3g?',obc_reset_wdt,'',0,6.938342332839966,444020.0,10864.0
com_update_status,'',obc_reset_wdt,'',com_debug,'',obc_set_pwm_duty,'-1600263426 907121464',obc_ident,'',0,7.066250324249268,444020.0,10752.0
gssb_set_addr,'-680738533',com_get_config,'G[:&d',com_update_status,'',gssb_get_version,'',obc_get_tle,'',0,6.939172267913818,444020.0,10744.0
gssb_get_status,'',tm_set_ack,'12606446896139146125 9700961387419588978',tm_set_ack,'2319828593920816755 6949063192699072868',fp_set_cmd,"'-138409216 650481413 1808689226 611279181 -975205125 -1940759838 471834863 1253527010 C Av,hb'",eps_set_heater,'1184789169 1840903988',-11,6.54482889175415,444020.0,10660.0
tm_get_last,'14111219847877936453',gssb_msp_get_temp,'',obc_get_time,'56891408',test,'U',gssb_unlock_config,'-1644644735',0,6.875483274459839,444020.0,10540.0
obc_prop_tle,'6800311659659850700',gssb_arm_auto,'-161424905',gssb_get_status,'',obc_get_mem,'',gssb_msp_cal_temp,'-143065944 1455323913',0,6.916996479034424,444020.0,10908.0
obc_set_tle,'337529357 ',test,'sK?=4J?0',tm_send_from,'12581156816780843371 1071027098630735847 2943566110571153447',gssb_burn,'',gssb_arm_manual,'1289711988',0,6.934446573257446,444020.0,10576.0
rw_get_current,'',fp_test_params,'-998467365  1879684658',gssb_commit_addr,'',gssb_update_status,'',obc_ident,'',0,7.020682096481323,444020.0,10668.0
test,'Rjb}^\MP',gssb_msp_get_temp,'',com_ping,'2059134556',fp_del_cmd,'-1069040850 -96473160 499806313 866583044 241178165 331850835',com_set_config,' *$',-11,9.315582752227783,444020.0,10660.0
eps_update_status,'',gssb_get_temp,'',fp_reset,'',tm_send_last,'9498109868084809236 3881982997712718816',gssb_fss_commit_config,'',0,6.94093918800354,444020.0,10800.0
gssb_unlock_config,'-1329241493',com_get_node,'',gssb_scan,'-185435610 1708280273',com_ping,'1492213848',eps_get_hk,'',0,9.281346082687378,444020.0,10656.0
com_send_cmd,'1192828444 2_0',tm_send_last,'368930980982734013 16041351647519386268',fp_reset,'',drp_set_var,'266522684 1561574128',tm_send_all,'12909031585859505508 7028688149244387837',0,7.509346961975098,444020.0,10732.0
gssb_msp_cal_temp,'-217555095 -1087675074',fp_del_cmd_unix,'1671393557',fp_set_cmd_unix,'-165750092 -289310989 668487262 @s-gZky<a _I'z4',fp_set_cmd,'-1840728446 -1101430723 -1400718321 687259392 -1876911507 -2140042247 1770809473 -826723572 68OhX=u 8',eps_update_status,'',-6,6.287429332733154,444020.0,10656.0
drp_ebf,'1996463038',gssb_fss_set_config,'938311855',gssb_set_burn_config,'-1377354650 -1352092446 -985348939 401464246 338857886 -2078441181 -1301090004',fp_test_params,'-265683324 G 1042972529',fp_del_cmd_unix,'2128320237',-6,6.447296142578125,444020.0,10656.0
gssb_get_model,'',com_get_node,'',com_debug,'',gssb_update_status,'',fp_show,'',0,7.009598016738892,444020.0,10660.0
